证券代码,证券名称,风险评分,风险项,风险项数量,风险详情
600355.SH,精伦电子,85,财报亏损;长期不分红,2,最新季度20230630净利润：-1993.80万;久不分红，公司最近一次现金分红为2002-12-31财报：10转增10股派4元(含税)
002828.SZ,贝肯能源,84,短期负债风险;财报亏损,2,截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新年报20221231净利润：-3.19亿
002685.SZ,华东重机,85,财报亏损;换手率过高,2,最新季度20230630净利润：-4551.45万;截止最新交易日，该股票近5日换手率达103.8122%
603123.SH,翠微股份,75,营业外支出过大;扣非净利润陡降风险;财报亏损,3,"截至20221231,该公司营业外支出超过营业利润的20%;截止20230630，公司扣非净利润相比去年同期降幅超过50%;最新年报20221231净利润：-4.39亿"
002248.SZ,华东数控,57,市净率过高;经营现金流风险;高负债率;股票频繁更名;换手率过高;长期不分红,6,"该公司最新财报显示净利润为正，但市净率超过30;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止20230630,公司负债率为84.722%;截止目前，该公司历史更名次数达4次及以上;截止最新交易日，该股票近5日换手率达146.1510%;久不分红，公司最近一次现金分红为2011-12-31财报：10派0.5元(含税)"
000536.SZ,华映科技,79,流动性风险;财报亏损;员工人数陡降,3,截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-7.27亿;截止2022-12-31，公司员工人数相对上期下降34.54%
603280.SH,南方路机,100,,,
002315.SZ,焦点科技,94,货币资产充足仍举债,1,"截止20230630,公司货币资产为17.61亿元,流动负债合计为10.29亿元"
603189.SH,网达软件,90,财报亏损,1,最新季度20230630净利润：-3557.16万
002406.SZ,远东传动,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为80.51%"
002380.SZ,科远智慧,59,应收账款占收入比例过高;高库存隐忧;财报亏损;审计报告保留意见,4,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为95.04%;截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;最新年报20221231净利润：-4.34亿;我们提醒财务报表使用者关注，财务报表附注十“关联方及关联交易”之“（九）关联方承诺”；财务报表附注十二“承诺及或有事项”之“2、或有事项”注释所述，科远智慧存放在上海浦东发展银行股份有限公司南通分行（以下简称“浦发银行南通分行”）的定期存款2.95亿元被质押事项，科远智慧已提起诉讼并获受理。2022年7月8日，南通市崇川区人民法院做出《民事裁定书》，裁定驳回科远智慧能源的起诉。公司目前已向南通市中级人民法院提起上诉并获立案受理，案号分别为（2022）苏06民终5436号、（2022）苏06民终5437号。截至报告出具日，该案件尚未进一步开庭审理。
针对上述定期存款被质押事项，公司控股股东刘国耀、胡歙眉承诺如司法机关最终判决公司承担全部或者部分民事责任，承诺弥补上述全额损失，保证公司利益不受损害。
本段内容不影响已发表的审计意见。"
002236.SZ,大华股份,95,高应收款隐忧;应收账款占收入比例过高,2,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为109.52%"
002038.SZ,双鹭药业,100,,,
001298.SZ,好上好,82,扣非净利润陡降风险;大比例解禁,2,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;好上好首发、公开增发网下配售股份,在三个月内解禁3782.21万股，解禁比例18.74%>8%"
000936.SZ,华西股份,77,扣非净利润陡降风险;会计师事务所变动;控股股东高质押,3,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;最近1-2年内,会计师事务所发生变动;该公司存在控股股东质押比例超80%"
603895.SH,天永智能,74,负债率逐年递增;经营现金流风险;高库存隐忧;财报亏损,4,"截止20221231，资产负债率逐年递增10%以上且最近年度高于70%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;最新年报20221231净利润：-1.26亿"
001282.SZ,三联锻造,100,,,
002855.SZ,捷荣技术,90,财报亏损,1,最新季度20230630净利润：-4688.86万
603042.SH,华脉科技,72,财报亏损;被频繁问询监管;行政监管措施或处罚;换手率过高,4,最新季度20230630净利润：-3727.20万;截止至2023-09-26，公司近一年内问询监管次数大于3次;华脉科技：关于公司及相关责任人员收到中国证券监督管理委员会江苏监管局行政监管措施决定书的公告TXT:http://static.cninfo.com.cn/finalpage/2023-07-25/1217376900.PDF;截止最新交易日，该股票近5日换手率达113.8282%
001266.SZ,宏英智能,82,扣非净利润陡降风险;最大客户占营收比过高,2,截止20230630，公司扣非净利润相比去年同期降幅超过50%;根据该公司20211231的数据：第一大客户占公司全部营业收入比例83.55%
603656.SH,泰禾智能,100,,,
600185.SH,格力地产,69,短期负债风险;财报亏损;公司被立案调查,3,"截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新季度20230630净利润：-2.12亿;截止至20230712,格力地产股份有限公司（以下简称""公司""）于2023年7月12日收到中国证券监督管理委员会（以下简称""中国证监会""）下发的《立案告知书》（编号：证监立案字0062023017号），因公司涉嫌信息披露违法违规行为，根据《中华人民共和国证券法》《中华人民共和国行政处罚法》等法律法规，中国证监会决定对公司立案。"
002691.SZ,冀凯股份,84,高库存隐忧;财报亏损,2,截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;最新季度20230630净利润：-1788.20万
002559.SZ,亚威股份,87,市盈率过高;股权分散,2,该公司最新财报显示净利润为正，但TTM市盈率超过300;江苏亚威科技投资有限公司(第一大股东)持股比例为7.47%。
600243.SH,青海华鼎,80,财报亏损;员工人数陡降;股权分散,3,最新季度20230630净利润：-2013.87万;截止2022-12-31，公司员工人数相对上期下降42.82%;李松强(第一大股东)持股比例为8.66%。
002599.SZ,盛通股份,85,营业外支出过大;财报亏损,2,"截至20221231,该公司营业外支出超过营业利润的20%;最新季度20230630净利润：-3121.15万"
300200.SZ,高盟新材,85,高商誉风险,1,截止20230630公司商誉占总资产比例为30.25%
300011.SZ,鼎汉技术,64,扣非亏损;应收账款占收入比例过高;经营现金流风险;短期负债风险;财报亏损;会计师事务所变动,6,"该公司最新财报显示净利润为正，但扣非净利润为负;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为235.30%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新年报20221231净利润：-1.96亿;最近1-2年内,会计师事务所发生变动"
688500.SH,*ST慧辰,40,公司被立案调查;审计无法表示或否定;股东户数偏少;*ST股票,4,"截止至20230427,北京慧辰资道资讯股份有限公司（以下简称“公司”）于2023年4月27日收到中国证券监督管理委员会（以下简称“中国证监会”）下发的《立案告知书》（编号：证监立案字0142023010号），因公司涉嫌信息披露违法违规，根据《中华人民共和国证券法》《中华人民共和国行政处罚法》等法律法规，中国证监会决定对公司立案调查。;(一)中国证监会立案调查
如财务报表附注九(2)所述，因涉嫌信息披露违法违规，于2023年4月27日，慧辰股份收到中国证券监督管理委员会下发的《立案告知书》（编号：证监立案字0142023010号）。截止本审计报告日，该立案调查尚未开始，我们无法判断立案调查结果对慧辰股份财务报表的影响程度。
(二)北京信唐普华科技有限公司（“北京信唐”）的相关交易
慧辰股份于2020年12月完成了对北京信唐22%股权的收购，交易对价约人民币5,676万元以现金支付。收购完成后，慧辰股份持有北京信唐70%的股权并产生约人民币1.51亿元的商誉，北京信唐作为慧辰股份的控股子公司自收购完成日起纳入慧辰股份的合并范围。
在对慧辰股份2022年度财务报表执行审计工作的过程中，我们注意到与北京信唐相关的以下事项：
(1)北京信唐的收入和应收账款
北京信唐于2020年与A客户就提供软件系统建设的技术服务项目签署了金额为人民币505万元（含税）的合同（以下简称“2020年合同”），北京信唐以《服务确认单》作为验收依据于2020年确认了相关收入及应收账款。截止2022年12月31日，北京信唐尚未收到2020年合同对应的应收账款回款，该笔应收账款已逾期近2年。在2022年的审计过程中，北京信唐向我们提供了一份与A客户于2022年12月就同一项目签署的金额为人民币605万元（含税）的合同（以下简称“2022年合同”），经比对，我们发现，前述2020年合同及《服务确认单》中的A客户印章与2022年合同中的A客户印章不一致（以下简称“特殊事项”）。上述情况导致我们对上述合同、《服务确认单》和相关业务安排的真实性存疑。
我们进一步注意到，北京信唐于2022年12月31日对第三方应收账款（包括A客户）原值合计约人民币7,886万元，该等应收账款普遍存在未按合同约定还款且逾期等情况，北京信唐于2022年度计提约人民币3,936万元信用减值损失。该等应收账款截止2022年12月31日的预期信用损失准备余额约为人民币6,648万元，应收账款净值约为人民币1,238万元。应收账款未按合同约定收款且逾期等情况，可能表明相关项目于历史期间未按合同实际完成履约义务或相关服务并未发生。对应上述应收账款，北京信唐于2022年度确认的收入约为人民币23万元（2021年度：约人民币2,492万元）。
我们在2022年度审计过程中与慧辰股份管理层及审计委员会沟通了上述特殊事项以及2022年12月31日北京信唐应收账款普遍出现未按合同约定还款且逾期等异常情况，慧辰股份审计委员会已要求慧辰股份聘任第三方机构开展独立调查。截止本审计报告日，第三方机构的独立调查尚在进行中。同时我们对包括A客户在内的北京信唐于2022年12月31日应收账款所对应的项目抽样执行了包括项目现场走访，最终客户访谈及查看交付过程文件等程序并提出与收入及应收账款确认相关的若干问题，然而，慧辰股份和北京信唐管理层均尚未就我们提出的问题提供合理解释及相关支持文件或资料。
因此，我们无法取得充分、适当的审计证据，也无法执行其他替代性程序以评估北京信唐相关应收账款及其对应的收入的真实性、准确性，也无法判断累计计提的预期信用损失的充分性和准确性，我们亦无法确定是否有必要于财务报表中对北京信唐相关应收账款及其对应的收入和预期信用损失准备做出调整，也无法确定应调整金额及相关财务报表披露的影响。
(2)收购北京信唐形成的商誉
如财务报表附注四(16)所述，慧辰股份在2020年收购北京信唐22%股权时确认了约人民币1.51亿元的商誉。慧辰股份在进行商誉减值测试时，采用预计未来现金流量的现值确定其可收回金额，其未来现金流量预测的基础包括北京信唐的历史业绩表现和基于减值测试时点北京信唐管理层准备的北京信唐未来期间的经营预测等资料。根据每年末商誉减值测试结果，慧辰股份于2021年及2022年对收购北京信唐形成的商誉分别计提了约人民币5,189万元和约人民币9,863万元的商誉减值准备，于2022年12月31日，商誉的账面价值为零。
由于上述第(1)项所述的审计范围受限的情况，我们无法评估北京信唐管理层各年末基于北京信唐历史收入信息编制的未来现金流预测中使用的历史数据的准确性和采用的关键假设的合理性，因此我们也无法评估慧辰股份管理层各年末商誉减值测试结果的合理性。无法确定是否有必要于财务报表中对上述各年度商誉减值金额做出调整，也无法确定应调整金额及相关财务报表披露的影响。;截至20230920，该公司股东户数<4000;"
301199.SZ,迈赫股份,100,,,
688498.SH,源杰科技,82,扣非净利润陡降风险;营收陡降风险;大比例解禁,3,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止20230630，公司营业收入相比去年同期降幅超过50%;源杰科技首发、公开增发网下配售股份,在三个月内解禁4078.42万股，解禁比例34.34%>8%"
688088.SH,虹软科技,100,,,
300199.SZ,翰宇药业,65,短期负债风险;流动性风险;财报亏损;换手率过高;控股股东高质押,5,截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-3413.37万;截止最新交易日，该股票近5日换手率达127.1527%;该公司存在控股股东质押比例超80%
300609.SZ,汇纳科技,90,财报亏损,1,最新季度20230630净利润：-1513.34万
603000.SH,人民网,94,货币资产充足仍举债,1,"截止20230630,公司货币资产为13.19亿元,流动负债合计为11.85亿元"
832982.BJ,锦波生物,95,股东户数偏少,1,截至20230630，该公司股东户数<4000
300126.SZ,锐奇股份,92,市盈率过高,1,该公司最新财报显示净利润为正，但TTM市盈率超过300
300796.SZ,贝斯美,90,清仓式减持;拟大比例减持;已大比例减持,3,"一、股东持股情况
    截至公告日，股东嘉兴保航持有公司股份数为7497900股，占公司总股本比例为3.74%。
    三、减持计划的主要内容
    1、减持原因：股东自身资金需求。
    2、股份来源：公司首次公开发行前已发行的股份及公司资本公积金转增的股份。
    3、减持方式：集中竞价、大宗交易等方式。
    4、减持数量和比例：计划减持股份数量不超过7497900股，即不超过公司总股本的3.74%；采取集中竞价交易方式减持，在任意连续90个自然日内，减持股份的总数不超过公司股份总数的1%；采取大宗交易方式减持，在任意连续90个自然日内，减持股份的总数不超过公司股份总数的2%。若减持期间公司有送股、资本公积金转增股本等股份变动事项，前述减持股份数量进行相应调整。
    5、减持价格：根据减持时的市场价格确定，并且减持价格不低于公司首次公开发行股票时的发行价。
    6、减持时间区间：2022年11月17日至2023年5月17日（根据相关法律法规规定禁止减持的期间除外）。(公告日期：20221110);持有绍兴贝斯美化工股份有限公司（以下简称“公司”）25061400股股份（占公司总股本的6.94%）的股东上海禾凯祁源企业管理咨询合伙企业(有限合伙)（以下简称“上海禾凯祁源”）计划通过集中竞价、大宗交易等方式减持公司股份不超过12530700股（即不超过公司总股本的3.47%），其中通过集中竞价交易减持的期间自公司公告本次减持计划之日起15个交易日后的3个月内，通过大宗交易减持的期间自公司公告本次减持计划之日起3个交易日后的3个月内。
    持有22932000股公司股份（占公司总股本的6.35%）的股东上海祥万健石企业管理咨询合伙企业（有限合伙）（以下简称“上海祥万健石”）计划通过集中竞价、大宗交易等方式减持公司股份不超过11466000股（即不超过公司总股本的3.17%），其中通过集中竞价交易减持的期间自公司公告本次减持计划之日起15个交易日后的3个月内，通过大宗交易减持的期间自公司公告本次减持计划之日起3个交易日后的3个月内。;截止至20230823，该公司重要股东近半年已减持的股份占总股本的比例为：11.12%"
300971.SZ,博亚精工,80,会计师事务所变动;换手率过高;拟大比例减持,3,"最近1-2年内,会计师事务所发生变动;截止最新交易日，该股票近5日换手率达141.1034%;持有本公司股份135000股（占本公司总股本比例0.16%）的董事周继红计划在自公告之日起十五个交易日后六个月内以集中竞价方式减持本公司股份不超过33750股（占本公司总股本比例0.04%）"
300130.SZ,新国都,95,营业外支出过大,1,"截至20221231,该公司营业外支出超过营业利润的20%"
688036.SH,传音控股,100,,,
688032.SH,禾迈股份,94,存货同比大幅增加,1,截止至20230630，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%
300836.SZ,佰奥智能,62,扣非净利润陡降风险;最大客户占营收比过高;高库存隐忧;财报亏损;拟大比例减持,5,"截止20230630，公司扣非净利润相比去年同期降幅超过50%;根据该公司20221231的数据：第一大客户占公司全部营业收入比例54.11%;截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;最新年报20221231净利润：-4760.43万;持有昆山佰奥智能装备股份有限公司（简称“公司”）股份16034850股（占总股本的25.04%）的股东肖朝蓬先生拟通过大宗交易或集中竞价方式减持公司股份不超过3841946股（若此期间公司有送股、资本公积金转增股本等股份变动事项，应对该数量进行相应调整，但减持股份占公司总股本的比例不变），即不超过公司总股本的6%
    如通过大宗交易方式减持的，减持期间为减持计划披露公告之日起3个交易日之后的6个月内进行；如通过集中竞价交易方式减持的，减持期间为自本公告之日起15个交易日之后的6个月内进行。如采取大宗交易方式减持的，在任意连续90个自然日内，减持股份的总数合计不超过公司股份总数的2%；如采取集中竞价交易方式减持的，在任意连续90个自然日内，减持股份的总数合计不超过公司股份总数的1%。"
300678.SZ,中科信息,100,,,
301041.SZ,金百泽,95,股东退出,1,"最新一个报告期,公司有超过5个非自然人股东有退出或减仓"
300823.SZ,建科机械,90,扣非净利润陡降风险,1,截止20230630，公司扣非净利润相比去年同期降幅超过50%
600853.SH,龙建股份,85,高应收款隐忧;应收账款占收入比例过高;股东退出;诉讼风险,4,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为82.33%;最新一个报告期,公司有超过5个非自然人股东有退出或减仓;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次"
300353.SZ,东土科技,78,短期负债风险;高库存隐忧;财报亏损,3,截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;最新季度20230630净利润：-1.11亿
688603.SH,天承科技,100,,,
301205.SZ,联特科技,90,扣非净利润陡降风险,1,截止20230630，公司扣非净利润相比去年同期降幅超过50%
300826.SZ,测绘股份,90,扣非净利润陡降风险,1,截止20230630，公司扣非净利润相比去年同期降幅超过50%
300645.SZ,正元智慧,100,,,
688507.SH,索辰科技,77,应收账款坏账风险;最大客户占营收比过高;财报亏损,3,"截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500;根据该公司20220630的数据：第一大客户占公司全部营业收入比例59.41%;最新季度20230630净利润：-3204.44万"
300083.SZ,创世纪,85,应收账款占收入比例过高;会计师事务所变动;股权被司法拍卖,3,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为84.26%;最近1-2年内,会计师事务所发生变动;创世纪：关于持股5%以上股东部分股份被司法拍卖的进展公告"
600172.SH,黄河旋风,65,应收账款占收入比例过高;短期负债风险;流动性风险;财报亏损;控股股东高质押,5,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为90.21%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30，流动比率小于1，速动比率小于0.5;最新季度20230630净利润：-2.19亿;该公司存在控股股东质押比例超80%"
300494.SZ,盛天网络,100,,,
300212.SZ,易华录,74,高应收款隐忧;应收账款占收入比例过高;短期负债风险;应收账款坏账风险;财报亏损;研发人员减少,6,"截止20230630,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为398.49%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2023-06-30,该公司应收账款(应收票据)周转天数大于500;最新季度20230630净利润：-2.98亿;截止2022-12-31,公司研发人员相对上期减少19.66%"
300418.SZ,昆仑万维,85,扣非净利润陡降风险;被频繁问询监管,2,截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止至2023-09-26，公司近一年内问询监管次数大于3次
300735.SZ,光弘科技,89,货币资产充足仍举债;员工人数陡降,2,"截止20230630,公司货币资产为21.32亿元,流动负债合计为14.19亿元;截止2022-12-31，公司员工人数相对上期下降31.96%"
301125.SZ,腾亚精工,100,,,
300488.SZ,恒锋工具,100,,,
002175.SZ,东方智造,85,扣非净利润陡降风险;股票频繁更名,2,截止20230630，公司扣非净利润相比去年同期降幅超过50%;截止目前，该公司历史更名次数达4次及以上
301261.SZ,恒工精密,100,,,
000628.SZ,高新发展,92,最大客户占营收比过高,1,根据该公司20221231的数据：第一大客户占公司全部营业收入比例92.20%
600751.SH,海航科技,85,毛利率偏低;会计师事务所变动;长期不分红,3,"截止20230630,该公司扣非净利润为正，但毛利率为-5.30%;最近1-2年内,会计师事务所发生变动;久不分红，公司上市以来未进行现金分红"
688207.SH,格灵深瞳,82,最大客户占营收比过高;拟大比例减持;已大比例减持,3,"根据该公司20221231的数据：第一大客户占公司全部营业收入比例75.39%;大股东持股的基本情况
    截至本公告披露日，HyundaiMotorCompany（以下简称“现代汽车”）持有北京格灵深瞳信息技术股份有限公司（以下简称“公司”）股份8992124股,占公司总股本的4.86%；HyundaiMobisCo.,Ltd.（以下简称“现代摩比斯”）持有公司股份1284590股,占公司总股本的0.69%。上述股份均来源于公司首次公开发行前持有的股份，且已于2023年3月17日解除限售后上市流通。
    集中竞价减持计划的主要内容
    现代汽车、现代摩比斯因自身经营发展需要，计划通过集中竞价方式分别减持其持有的公司股份不超过3239664股、459952股，即合计不超过公司总股本的2%。通过集中竞价交易方式减持的，减持期间为自本公告披露之日起15个交易日后的6个月内(2023/5/16～2023/11/15)进行，且在任意连续90个自然日内，减持股份的总数不超过公司股份总数的1%。如计划减持期间有派息、送股、资本公积金转增股本、配股等除权除息事项，减持股份数量将相应进行调整。;截止至20230816，该公司重要股东近半年已减持的股份占总股本的比例为：9.69%"
002021.SZ,*ST中捷,-24,负债率逐年递增;流动性风险;诉讼风险;股票频繁更名;定期报告存疑;被频繁问询监管;交易所公开谴责;交易所监管;审计无法表示或否定;可能终止上市;*ST股票,11,"截止20221231，资产负债率逐年递增10%以上且最近年度高于70%;截止至2023-06-30，流动比率小于1，速动比率小于0.5;截止至2023-09-26，公司近三年内诉讼仲裁次数大于2次;截止目前，该公司历史更名次数达4次及以上;ST中捷：监事会关于《董事会关于对无法表示意见的审计报告涉及事项的专项说明》的意见;截止至2023-09-26，公司近一年内问询监管次数大于3次;于2023-08-24公布关于对中捷资源投资股份有限公司及相关当事人给予纪律处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2023-08-25_002021101798.pdf;关于对中捷资源投资股份有限公司的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_002021181068.pdf;我们提醒财务报表使用者关注，如财务报表附注二（二）所述，中捷资源超过三个会计年度扣除非经常性损益前后净利润孰低者均为负值；2022年12月31日合并资产负债表的所有者权益为-296,882,217.08元，合并报表货币资金余额为121,715,762.94元，短期借款余额为142,312,264.33元，广州农村商业银行股份有限公司（以下简称“广州农商行”）金融借款合同纠纷案相关的预计负债余额为956,187,130.60元。这些事项或情况，连同附注二（二）所述的其他事项，表明存在可能导致对中捷资源持续经营能力产生重大疑虑的多个重大不确定性。因此，我们无法判断中捷资源采用持续经营假设基础编制财务报表是否恰当。;;"
688097.SH,博众精工,89,应收账款占收入比例过高;高库存隐忧,2,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为110.94%;截止至2023-06-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%"
002184.SZ,海得控制,95,关联交易风险,1,业务单一且大量关联方交易(关联交易方占净利润118.34%)
832089.BJ,禾昌聚合,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为97.69%"
605333.SH,沪光股份,74,应收账款占收入比例过高;经营现金流风险;短期负债风险;财报亏损,4,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为83.35%;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2023-06-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新季度20230630净利润：-4102.03万"
301155.SZ,海力风电,95,应收账款占收入比例过高,1,"截止至2023-06-30,该公司营业收入大于5亿,应收账款占收入比例为150.70%"
