股票代码,股票简称,风险评分,风险项,风险项数量,风险详情
002005.SZ,ST德豪,22.0,财报亏损;诉讼风险;审计报告其他非标;ST股票,4.0,最新季度20220930净利润：-2.30亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;我们提醒财务报表使用者关注，如财务报表附注二、(二)“持续经营”所述，德豪润达2021年度净利润为-5.35亿元，截至2021年12月31日德豪润达累计未分配利润为-51.70亿元，流动负债为17.11亿元，流动资产为12.77亿元，经营活动产生的现金流量净额为-1.11亿元。如财务报表附注二、(二)所述，这些事项或情况表明存在可能导致对德豪润达持续经营能力产生重大疑虑的重大不确定性。该事项不影响已发表的审计意见。;
873152.BJ,天宏锂电,90.0,长时间停牌;股东户数偏少,2.0,于2022-06-23，Jun 23 2022  9:30AM单次停牌时长超过两个月;截至20220930，该公司股东户数<4000
002968.SZ,新大正,100.0,,,
600724.SH,宁波富达,100.0,,,
600935.SH,华塑股份,100.0,,,
688408.SH,中信博,100.0,,,
600285.SH,羚锐制药,95.0,研发人员减少,1.0,"截止2021-12-31,公司研发人员相对上期减少33.33%"
601121.SH,宝地矿业,100.0,,,
300995.SZ,奇德新材,80.0,净利润陡降风险;业绩公告预警,2.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为1500万元至1800万元，与上年同期相比变动幅度为-53.6%至-44.33%。
600187.SH,国中水务,57.0,业绩公告预警;业绩变脸风险;财报亏损;被频繁问询监管;审计报告保留意见;交易所公开谴责;长期不分红,7.0,"预计公司2022年01-12月归属于上市公司股东的净利润为-13000万元至-9000万元，与上年同期相比变动幅度为-43.56%至0.61%。;截止2023-01-21，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-1.37亿;截止至2023-03-14，公司近一年内问询监管次数大于3次;如财务报表附注十四、7（1）“资产管理计划到期”所述，根据2018年7月6日董事会决议公告及后续相关年度补充公告，公司先后出资人民币700,000,000.00元参与设立民生加银资管添益资产管理计划（以下简称“资管计划”）。根据该资管计划相关合同及补充协议约定，该资管计划应于2021年7月16日到期终止。公司于本期计入投资收益10,183,438.15元。我们已于2022年4月25日收到资产管理人民生加银资产管理有限公司（以下简称“民生加银”）的函证回函，民生加银按公司2021年8月13日通知函、2021年7月16日投资指令函继续持有委托资产，2022年3月8日民生加银通知公司以资管计划财产现状方式对委托人进行财产分配及进行底层资产所涉文件的原件接收，国中水务尚未开始接收。由于资管计划到期尚未进行清算、底层资产接收工作尚未完成。我们无法实施满意的审计程序以获取充分、适当的审计证据，以确认国中水务公司在该资管计划中可能形成的损益，进而无法确定该资管计划和投资收益的列报是否公允。我们按照中国注册会计师审计准则的规定执行了审计工作。审计报告的“注册会计师对财务报表审计的责任”部分进一步阐述了我们在这些准则下的责任。按照中国注册会计师职业道德守则，我们独立于国中水务公司，并履行了职业道德方面的其他责任。我们相信，我们获取的审计证据是充分、适当的，为发表审计意见提供了基础。;于2022-12-02公布关于对黑龙江国中水务股份有限公司时任独立董事吴昊予以公开谴责的决定TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/ident/c/263a04ad-4ad7-4883-b17f-4121b85698b0.pdf;久不分红，公司最近一次现金分红为2001-12-31财报：10派1元(含税)"
600808.SH,马钢股份,70.0,净利润陡降风险;业绩公告预警;业绩变脸风险;分析师评级下调,4.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于上市公司股东的净利润为-89300万元，与上年同期相比变动幅度为-116.75%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;马钢股份2021年利润增长强劲，市场将面临困境
    马钢股份公布2021年归母净利为53亿元，同比+169%，得益于价格上涨以及利润率扩张。2021年产销量同比+2.6%/1.8%至2,045/2,052万吨，同时售价同比+48.3%至5,154元/吨，推动利润率扩张1.3个百分点至13%。马钢4Q21录得净亏损12亿元（3Q21：盈利19亿元），主因利润率环比下跌12.9个百分点以及大额减值13亿元。公司宣布派发现金红利0.35元/股（派息率为50.5%）。2022年，因受房地产市场恶化、新冠动态清零以及双碳政策边际弱化等多因素冲击，我们预计公司钢价/利润率将同比下滑。下调马钢22年盈利预测至45亿元（前值：71亿元）。维持H股（636HK）“持有”评级和目标价3.2港币（0.6x22EBVPS4.49元），将A股（600808CH）评级下调至“持有”，目标价3.7元。"
600220.SH,江苏阳光,65.0,高库存隐忧;短期负债风险;公司被立案调查;关联交易风险,4.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;信披违法违规;业务单一且大量关联方交易(关联交易方占净利润46.34%)
002116.SZ,中国海诚,100.0,,,
603985.SH,恒润股份,65.0,净利润陡降风险;业绩公告预警;清仓式减持,3.0,"截止20220930，公司扣非净利润相比去年同期降幅超过50%;预计公司2022年01-12月归属于母公司所有者的净利润为8500万元至11500万元，与上年同期相比变动幅度为-80.77%至-73.98%。;股东TXT:    股东持股的基本情况
    截至减持计划披露日（2022年10月27日），佳润国际投资有限公司（以下简称“佳润国际”）持有江阴市恒润重工股份有限公司（以下简称“公司”）股票10654073股，占公司总股本比例为2.42%；智拓集团（香港）网路咨询有限公司（以下简称“智拓集团”）持有公司股票5110404股，占公司总股本比例为1.16%。上述股份来源于首次公开发行前取得的股份以及以资本公积金转增股本取得的股份。
    减持计划的主要内容
    佳润国际拟通过集中竞价方式减持持有的公司股份数量不超过8817160股，占公司总股本的2.00%，该等减持在任意连续九十日内减持股份的总数不超过公司股份总数的1%；通过大宗交易减持不超过10654073股，占公司总股本的2.42%，该等减持在任意连续九十日内减持股份的总数不超过公司股份总数的2%。若减持期间公司发生派发股利、送红股、转增股本或配股等除息、除权行为的，则前述减持股数以经除息、除权等因素调整后的股数计算。
    智拓集团拟通过集中竞价方式或大宗交易方式减持持有的公司股份数量不超过5110404股，占公司总股本的1.16%。若采取集中竞价交易方式减持公司股份的，在任意连续九十日内，减持股份的总数不超过公司股份总数的1%。若减持期间公司发生派发股利、送红股、转增股本或配股等除权、除息事项的，则前述减持股数以经除权、除息等因素调整后的股数计算。
    佳润国际、智拓集团如采取大宗交易方式减持的，减持期间为本次减持计划自公司减持公告披露之日起3个交易日后的六个月内（即2022年11月1日-2023年4月28日）；如采取集中竞价交易方式减持公司股份的，减持期间为本次减持计划自公司减持公告披露之日起15个交易日后的六个月内（即2022年11月17日-2023年5月15日）。"
000672.SZ,上峰水泥,90.0,业绩公告预警,1.0,预计公司2022年01-12月归属于上市公司股东的净利润为92000万元至103000万元，与上年同期相比变动幅度为-57.72%至-52.67%。
603398.SH,沐邦高科,50.0,短期负债风险;高商誉风险;流动性风险;业绩公告预警;业绩变脸风险;存货同比大幅增加,6.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止20220930公司商誉占总资产比例为30.03%;截止至2022-09-30，流动比率小于1，速动比率小于0.5;预计公司2022年01-12月归属于上市公司股东的净利润为-21800万元至-17800万元，与上年同期相比变动幅度为-57.88%至-28.91%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%
002461.SZ,珠江啤酒,100.0,,,
300273.SZ,*ST和佳,-77.0,短期负债风险;应收账款坏账风险;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;被频繁问询监管;定期报告存疑;交易所公开谴责;公司被立案调查;行政监管措施或处罚;股权冻结;股权分散;*ST股票;审计无法表示或否定,15.0,"截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30,该公司应收账款(应收票据)周转天数大于500;预计公司2022年01-12月归属于上市公司股东的净利润为-127000万元至-107000万元，与上年同期相比变动幅度为-235.71%至-182.84%。;截止2023-01-18，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-3.56亿;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;ST和佳：监事会关于公司2021年度无法表示意见审计报告的专项说明;于2022-07-12公布关于对珠海和佳医疗设备股份有限公司及相关当事人给予纪律处分的决定TXT:http://reportdocs.static.szse.cn/UpFiles/cfwj/2022-07-14_3002731173.pdf;信披违法违规;*ST和佳：安信证券股份有限公司关于珠海和佳医疗设备股份有限公司收到《行政处罚事先告知书》事项的受托管理事务临时报告TXT:http://static.cninfo.com.cn/finalpage/2023-03-13/1216110164.PDF;2022-08-25,*ST和佳：关于原控股股东收到《执行裁定书》暨部分股份被轮候冻结的公告;蔡孟珂(第一大股东)持股比例为9.44%。;;（一）关联方事项
1、关联方资金占用
如财务报表附注十一、关联方及关联方交易（七）疑似关联方占用资金、附注十四、资产负债表日后事项（一）关联方资金占用所述，和佳医疗于2022年3月18日对外披露《关于原控股股东非经营性占用公司资金暨可能被实施其他风险警示的提示性公告》（公告编号：2022-037），涉及郝镇熙先生确认存在未告知公司的非经营性资金占用总额44,988.68万元（未计算利息），其中：通过融资租赁业务占用资金39,719.15万元、通过员工借款、关联方预付款等形式占用资金5,269.53万元。郝镇熙先生同时承诺将通过处置资产、借款等方式筹措资金，不晚于2022年4月18日解决上述相关违规资金占用问题，并及时履行信息披露义务。另外，公司披露融资租赁业务尚有19,809.35万元的应收款项性质不明，尚待核查。
截止2021年12月31日，郝镇熙先生确认占用资金涉及账面应收款项余额397,191,537.16元、坏账准备余额2,920,344.62元，公司未能明确款项性质的应收融资租赁款账面原值198,093,462.84元、坏账准备余额1,456,479.11元。由于和佳医疗未能提供形成上述资金占用事项的完整证据，也未在承诺期限内归还上述资金，我们无法判断和佳医疗关联方资金占用披露金额的完整性、准确性、真实性及其减值计提金额的准确性，以及对财务报表可能产生的影响。
2、关联关系和关联交易
如财务报表附注十一、关联方及关联方交易所述，和佳医疗未能向我们提供关联方关系和交易方面充分适当的审计证据，我们无法实施满意的审计程序，以获取审计证据对和佳医疗关联方关系和交易的识别、认定、披露完整性和准确性等方面发表审计意见。
（二）审计受限
1、函证受限我们针对和佳医疗的具体情况设计并执行了函证、访谈、沟通等程序。由于和佳医疗未能提供涉及事项的有效函证地址与联系人、部分单位无法盖章确认等原因，导致往来含（收入、成本）函证、访谈、沟通程序无法执行。截至审计报告日，共有2份银行函证、192份往来（含收入、成本）函证无法发出；已发出函证尚有7份银行函证，418份往来（含收入、成本）函证未收回。我们执行的替代程序仍然不能为发表审计意见提供充分、适当的审计证据，因此我们无法确认上述函证涉及相关报表项目列报的准确性。
2、损益类项目审计受限情况如财务报表附注六、合并财务报表主要项目（四十）营业收入和营业成本、（四十二）销售费用所述，和佳医疗未能提供充分适当的审计证据，导致审计范围受限而未能实施满意的审计程序，以证实和佳医疗营业收入、营业成本、销售费用的真实存在性及确认和计量的准确性。
（三）应收款项减值计提
如财务报表附注六、合并财务报表主要项目（三）应收账款、（五）其他应收款、（八）一年内到期的非流动资产、（十）长期应收款所述，截至2021年12月31日，和佳医疗按组合计提预期信用损失的应收账款余额1,055,476,549.73元、其他应收款余额132,477,898.62元、一年内到期的非流动资产余额1,846,926,791.72元、长期应收款余额1,702,489,060.88元，以上四项应收款项计提的坏账准备余额共计714,416,296.93元。我们未能取得相应的审计证据评估其减值计提金额的合理性和准确性，以确定应调整的金额。
（四）诉讼及预计负债事项
如财务报表附注十二、承诺及或有事项（二）或有事项所述，和佳医疗部分涉讼案件在审理或执行过程中，对于上述事项我们虽然实施了检查企业信用报告、管理层访谈、检查诉讼材料等审计程序，但我们仍无法判断和佳医疗就上述事项是否需要计提预计负债或计提的金额，也无法判断和佳医疗是否存在其他未充分披露诉讼事项及其对财务报表产生的影响"
600710.SH,苏美达,70.0,高预付款隐忧;高应收款隐忧;高负债率,3.0,"截止20220930,该公司预付款和净资产均大于10亿，且预付款占净资产的1/2及以上;截止20220930,该公司应收帐款和净资产均大于20亿，且(应收票据+应收账款)占净资产的1/2及以上;截止20220930,公司负债率为80.051%"
000751.SZ,锌业股份,85.0,业绩公告预警;财报亏损;长期不分红,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为5500万元至7800万元，与上年同期相比变动幅度为-76.07%至-66.06%。;最新季度20220930净利润：-57.44万;久不分红，公司最近一次现金分红为2001-12-31财报：10派0.5元(含税)
600256.SH,广汇能源,79.0,"应收款增加,低现金流;公司被立案调查",2.0,"截止20220930,公司应收账款增速为305.14%，净利润增速为204.37%，经营活动现金流（706844.20万元）小于净利润（840192.40万元）;截止至20221031,广汇能源股份有限公司（以下简称“公司”或“广汇能源”）于2022年10月31日接到控股股东新疆广汇实业投资（集团）有限责任公司（以下简称“广汇集团”）的通知，其收到中国证券监督管理委员会《立案告知书》（证监立案字007202228号），因涉及未按规定履行要约收购义务等事项被立案调查。"
603888.SH,新华网,92.0,关联交易风险,1.0,业务单一且大量关联方交易(关联交易方占净利润45.50%)
300069.SZ,金利华电,75.0,营收陡降风险;扣非亏损;被频繁问询监管;交易所监管,4.0,截止20220930，公司营业收入相比去年同期降幅超过50%;该公司最新财报显示净利润为正，但扣非净利润为负;截止至2023-03-14，公司近一年内问询监管次数大于3次;关于对金利华电气股份有限公司的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_30006950423.pdf
603429.SH,集友股份,95.0,高层被立案调查,1.0,"截止至20230120,安徽集友新材料股份有限公司（以下简称“公司”）于2023年1月20日收到重庆市巴南区监察委员会签发的关于对公司实际控制人、董事长、总裁徐善水先生个人因涉嫌行贿而被留置并立案调查的通知书。"
300012.SZ,华测检测,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为30.19%，净利润增速为19.81%，经营活动现金流（45177.52万元）小于净利润（66329.13万元）"
300322.SZ,硕贝德,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-6900万元至-6000万元，与上年同期相比变动幅度为-244.13%至-225.33%。;截止2023-01-20，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-2261.79万
603161.SH,科华控股,84.0,短期负债风险;财报亏损,2.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;最新季度20220930净利润：-4665.33万
603444.SH,吉比特,84.0,货币资产充足仍举债;子公司风险,2.0,"截止20220930,公司货币资产为28.48亿元,流动负债合计为20.79亿元;吉比特：厦门吉比特网络技术股份有限公司关于全资子公司涉及重大诉讼事项的公告TXT:http://static.cninfo.com.cn/finalpage/2023-01-04/1215518176.PDF"
601908.SH,京运通,100.0,,,
300332.SZ,天壕环境,92.0,诉讼风险,1.0,截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次
600929.SH,雪天盐业,100.0,,,
688215.SH,瑞晟智能,95.0,股东户数偏少;成交不活跃,2.0,"截至20220930，该公司股东户数<4000;截止20230313,该公司最近20日日均成交量低于30万股(北证低于10万股)"
300286.SZ,安科瑞,94.0,"应收款增加,低现金流",1.0,"截止20220930,公司应收账款增速为51.98%，净利润增速为1.96%，经营活动现金流（7016.91万元）小于净利润（13852.11万元）"
002166.SZ,莱茵生物,100.0,,,
002345.SZ,潮宏基,100.0,,,
603388.SH,元成股份,61.0,短期负债风险;业绩公告预警;业绩变脸风险;交易所监管;大比例解禁;关联交易风险,6.0,"截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于母公司所有者的净利润为-5900万元至-4800万元，与上年同期相比变动幅度为-220.52%至-198.05%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损;就公司更换会计师事务所事项明确监管要求TXT:http://www.sse.com.cn/disclosure/credibility/supervision/measures/other/c/6033882023010988036826.doc;元成股份非公开发行限售,在三个月内解禁4059.15万股，解禁比例12.46%>8%;业务单一且大量关联方交易(关联交易方占净利润155.15%)"
688378.SH,奥来德,85.0,清仓式减持;已大比例减持,2.0,"股东TXT:    股东持股的基本情况
    本次减持计划实施前，吉林奥来德光电材料股份有限公司（以下简称“公司”）股东深圳南海成长同赢股权投资基金（有限合伙）（以下简称“深圳南海”）持有公司股份3192131股，占公司总股本的3.11%；杭州南海成长投资合伙企业（有限合伙）（以下简称“杭州南海”）持有公司股份346986股，占公司总股本的0.34%；深圳南海、杭州南海同受深圳同创伟业资产管理股份有限公司控制，为一致行动人，合计持有公司股份3539117股，占公司总股本的3.45%。
    上述股份均为无限售流通股，来源于公司首次公开发行前取得的股份及公司实施资本公积金转增股本，涉及首次公开发行前取得的股份已于2021年9月3日解除限售并上市流通。
    减持计划的主要内容
    因自身资金需求，深圳南海拟通过集中竞价方式减持不超过2053224股；大宗交易方式减持不超过3192131股，合计不超过3192131股，占公司总股本的3.11%。
    杭州南海拟通过集中竞价方式减持不超过346986股；大宗交易方式减持不超过346986股，合计不超过346986股，占公司总股本的0.34%。
    股东通过集中竞价交易方式减持的，减持期间为自本公告披露之日起15个交易日后的六个月内（2023/1/11～2023/7/10）；通过大宗交易方式减持的，减持期间为自本公告披露之日起3个交易日后的六个月内。;截止至20230206，该公司重要股东近半年已减持的股份占总股本的比例为：6.94%"
603689.SH,皖天然气,100.0,,,
002303.SZ,美盈森,100.0,,,
600319.SH,亚星化学,76.0,经营现金流风险;短期负债风险;流动性风险;股票频繁更名;长期不分红,5.0,"截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;截止至2022-09-30，流动比率小于1，速动比率小于0.5;截止目前，该公司历史更名次数达4次及以上;久不分红，公司最近一次现金分红为2008-12-31财报：10派0.2元（含税）"
300613.SZ,富瀚微,86.0,"最大客户占营收比过高;应收款增加,低现金流",2.0,"根据该公司20211231的数据：第一大客户占公司全部营业收入比例60.34%;截止20220930,公司应收账款增速为32.72%，净利润增速为29.07%，经营活动现金流（23973.76万元）小于净利润（34743.61万元）"
600084.SH,中葡股份,55.0,业绩公告预警;业绩变脸风险;财报亏损;股票频繁更名;高质押风险;长期不分红;股权冻结,7.0,"预计公司2022年01-12月归属于上市公司股东的净利润为-88300万元至-86800万元，与上年同期相比变动幅度为-5323.31%至-5234.58%。;截止2023-01-21，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-630.35万;截止目前，该公司历史更名次数达4次及以上;截止20230310公司质押比例已达41.19%;久不分红，公司最近一次现金分红为2003-12-31财报：10送1转增9股派0.25元(含税);2022-07-13,中葡股份：中信国安葡萄酒业股份有限公司关于公司持股5%以上股东所持股份被轮候冻结的公告"
002285.SZ,世联行,69.0,财报亏损;诉讼风险;员工人数陡降;交易所监管;负面事件,5.0,最新季度20220930净利润：-1971.85万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止2021-12-31，公司员工人数相对上期下降34.05%;关于对深圳世联行集团股份有限公司的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_002285175370.pdf;公司与恒大集团存在业务往来，公司为恒大集团提供新房代理销售服务，收取相应的佣金
603979.SH,金诚信,100.0,,,
300973.SZ,立高食品,90.0,净利润陡降风险,1.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%
002051.SZ,中工国际,95.0,公允价值收益异常,1.0,"截止至20220930,该公司净利润大于1000万，公允价值变动收益和投资收益之和为负且绝对值大于净利润的1/4"
300670.SZ,大烨智能,71.0,短期负债风险;业绩公告预警;业绩变脸风险;财报亏损;诉讼风险;被频繁问询监管;交易所监管,7.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;预计公司2022年01-12月归属于上市公司股东的净利润为-15000万元至-11000万元，与上年同期相比变动幅度为-458.7%至-363.05%。;截止2023-01-30，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-4464.22万;截止至2023-03-14，公司近三年内诉讼仲裁次数大于2次;截止至2023-03-14，公司近一年内问询监管次数大于3次;关于对江苏大烨智能电气股份有限公司及相关当事人的监管函TXT:http://reportdocs.static.szse.cn/UpFiles/jgsy/gkxx_jgsy_30067047246.pdf
002843.SZ,泰嘉股份,88.0,"应收款增加,低现金流;存货同比大幅增加",2.0,"截止20220930,公司应收账款增速为197.60%，净利润增速为105.16%，经营活动现金流（3626.01万元）小于净利润（9605.67万元）;截止至20220930，该公司存货超过2亿且超过本期收入的1/3，存货相对去年同比增幅大于100%"
300094.SZ,国联水产,78.0,高库存隐忧;短期负债风险;大比例解禁,3.0,"截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3;国联水产非公开发行限售,在三个月内解禁22123.89万股，解禁比例19.52%>8%"
301099.SZ,雅创电子,94.0,短期负债风险,1.0,截止至2022-09-30，货币资金占短期负债和一年内到期非流动负债不足40%，利息保障倍数<3
300054.SZ,鼎龙股份,100.0,,,
000159.SZ,国际实业,89.0,高库存隐忧;被频繁问询监管,2.0,截止至2022-09-30，货币资金占总资产不足15%，应收票据与应收款项之和占总资产超20%，存货占总资产超15%且存货周转率低于1.2 或 非房地产公司的存货超总资产的50%;截止至2023-03-14，公司近一年内问询监管次数大于3次
002769.SZ,普路通,75.0,扣非亏损;市盈率过高;经营现金流风险;业绩公告预警;业绩变脸风险,5.0,"该公司最新财报显示净利润为正，但扣非净利润为负;该公司最新财报显示净利润为正，但TTM市盈率超过300;截止至2022-12-31，经营活动产生的现金净流量低于净利润50%,资产负债率>60%;预计公司2022年01-12月归属于上市公司股东的净利润为-11000万元至-5500万元，与上年同期相比变动幅度为-399.69%至-249.85%。;截止2023-01-31，三季报显示公司盈利，但预告今年业绩或将亏损"
301111.SZ,粤万年青,90.0,净利润陡降风险,1.0,截止20220930，公司扣非净利润相比去年同期降幅超过50%
301061.SZ,匠心家居,100.0,,,
603709.SH,中源家居,90.0,业绩公告预警;业绩变脸风险;财报亏损,3.0,预计公司2022年01-12月归属于上市公司股东的净利润为-5200万元至-3800万元，与上年同期相比变动幅度为-239.19%至-147.87%。;截止2023-01-20，三季报显示公司盈利，但预告今年业绩或将亏损;最新季度20220930净利润：-457.62万
689009.SH,九号公司,72.0,清仓式减持;关联交易风险;股权分散,3.0,"存托凭证持有人TXT:    存托凭证持有人持有存托凭证的基本情况
    截至本公告披露日，九号有限公司（以下简称“公司”）存托凭证持有人情况如下：
    ZhongTouYuanQuanGroupLimited（以下简称：ZhongTouYuanQuan）目前持有公司存托凭证15999000份，占公司存托凭证总数的2.25%。上述存托凭证均来源于公司公开发行前持有的公司股票转化的存托凭证，于2022年3月31日起上市流通。
    减持计划的主要内容
    ZhongTouYuanQuan计划根据市场情况拟通过集中竞价或大宗交易的方式减持。通过集中竞价或大宗交易的方式减持其所持有的公司存托凭证合计不超过15999000份，拟减持存托凭证数量占公司存托凭证总数的比例合计不超过2.25%，其中以集中竞价方式减持的数量不超过14229086份，比例不超过公司存托凭证总数的2%，减持期间为本公告披露15个交易日后的6个月内（2022/9/1～2023/2/28）；以大宗交易方式减持的数量不超过15999000份，比例不超过公司存托凭证总数的2.25%，减持期间为本公告披露3个交易日后的6个月内。;业务单一且大量关联方交易(关联交易方占净利润35.13%);Sequoia Capital China GF Holdco III-A,Ltd.(第一大股东)持股比例为9.54%。"
601098.SH,中南传媒,94.0,货币资产充足仍举债,1.0,"截止20220930,公司货币资产为93.52亿元,流动负债合计为86.84亿元"
600739.SH,辽宁成大,100.0,,,
603767.SH,中马传动,100.0,,,
301258.SZ,富士莱,90.0,大比例解禁,1.0,"富士莱首发、公开增发网下配售股份,在三个月内解禁1033.00万股，解禁比例11.27%>8%"
603565.SH,中谷物流,100.0,,,
