证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,所属概念,沪深指数
300763.SZ,锦浪科技,327.4,430.3,108.48,12.38,电力设备-电力设备-光伏设备,逆变器,光伏,电力设备,光伏逆变器,国内最早进入国际市场的组串式并网逆变器企业之一,专业从事分布式光伏发电系统核心设备组串式逆器的高新技术企业,"储能,光伏","创业板50,沪深300,创业300"
301398.SZ,星源卓镁,10.4,43.3,54.08,10.57,交运设备-汽车零部件-汽车零部件Ⅲ,一体化压铸,汽车零部件,汽车,汽车压铸件、电动自行车功能件,公司专注于镁合金在汽车零部件行业的替代应用,国家级专精特新“小巨人”，主营镁合金、铝合金精密压铸产品及配套压铸模具,"特斯拉,新材料,无人驾驶,专精特新,新能源汽车,减速器",
002496.SZ,辉丰股份,32.1,42.4,2.81,10.2,基础化工-化学制品-农药,农药,基础化工,化工,农药,全球最大的咪鲜胺原药生产企业,全球最大的咪鲜胺原药生产企业之一,"天然气,LNG加气站,农村电商,电子商务,医疗废物处理,新型杀菌剂,草地贪夜蛾防治,乡村振兴",
301016.SZ,雷尔伟,8.1,32.6,27.16,10.14,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,轨道车辆零部件,轨道交通装备行业较早引入搅拌摩擦焊设备和工艺的企业,轨道交通装备行业较早引入搅拌摩擦焊设备和工艺的行业先行者,"储能,无人驾驶,轨道交通,高端装备,高铁",
002251.SZ,步步高,43.3,43.3,5.01,10.11,商贸零售-零售-百货零售,百货,零售,可选消费,湖南超市,湖南、广西两地连锁商品零售龙头企业,湖南省连锁零售龙头企业,"预制菜,新零售,移动购物,湖南国企改革,统一大市场,消费金融,双十一,免税店,商超百货,REITs,移动支付,冷链物流,智能物流,地方国企改革",
600719.SH,大连热电,28.8,28.8,7.11,10.06,公用事业-电力-热力,热电,电力,公共事业,蒸汽,大连市城市中心区核心供热企业,大连地区供热、供电联产龙头企业,"大连自贸区,东北亚经贸中心,辽宁国企改革,国企改革,振兴东北,地方国企改革,锂电池",
002590.SZ,万安科技,53.9,56.7,11.83,10.05,交运设备-汽车零部件-汽车零部件Ⅲ,刹车,汽车零部件,汽车,制动系统,汽车底盘控制系统一级供应商,致力于汽车制动系统零部件的研发和制造,"军工,无人驾驶,无线充电,比亚迪,小鹏汽车,理想汽车,新能源汽车,蔚来汽车,独角兽,毫米波雷达,车联网,汽车电子",
603023.SH,威帝股份,28.3,28.3,5.04,10.04,交运设备-汽车零部件-汽车零部件Ⅲ,汽车电子,汽车零部件,汽车,CAN总线产品,国内领先的客车车身电子控制产品提供商,国内汽车电子控制产品供应商,"无人驾驶,地方国企改革,国企改革,黑龙江自贸区,EDR,车联网,胎压监测,汽车电子",
000767.SZ,晋控电力,111.8,118.2,3.84,10.03,公用事业-电力-火电,火电,电力,公共事业,火电（华北）,山西电网和华北电网的主力发电企业,山西省最大的煤电企业，同时有光伏、风力发电业务,"碳交易,煤价下跌受益,中电投合并,电力改革,供应链金融,国企改革,绿色电力,山西国企改革,有色铝,碳中和,风电,超超临界发电,地方国企改革",中证1000
603291.SH,联合水务,7.3,72.9,17.23,10.03,环保-环保-水务及水治理,水务,环保,公共事业,供水,布局全国，跨区域发展的水务公司,主营供水及相关配套工程、污水处理，供水业务在宿迁和咸宁具有垄断优势,"PPP,一带一路,污水处理",
603131.SH,上海沪工,43.3,43.3,13.61,10.02,机械设备-通用设备-其他通用设备,焊割设备,机械设备,机械,焊接与切割设备,焊接、切割行业的龙头企业之一,国内较早从事焊接与切割设备生产的企业之一，国家高新技术企业,"工业机器人,军工,海工装备,长三角一体化,专精特新,新能源汽车,卫星导航,机器人,工业4.0",
603070.SH,万控智造,16.2,80.1,19.98,10.02,电力设备-电力设备-输变电设备,输变电,电气设备,电力设备,配电开关控制设备,全国知名的电气机柜行业领军企业,国内规模最大的电气机柜生产制造商,"智能电网,数字经济,数据中心,共同富裕示范区",
000020.SZ,深华发A,28.8,45.1,15.92,10.02,电子-光学光电子-面板,电视,家电,可选消费,液晶显示器,液晶显示器供应商之一,国家彩电定点生产企业,"元器件,粤港澳大湾区",
603871.SH,嘉友国际,113.6,113.6,16.25,10.02,交通运输-物流-物流Ⅲ,物流,物流,交通运输,供应链贸易,跨境多式联运综合物流服务领先企业,中国商务部批准成立的“壹级国际货运代理”企业,"中俄贸易,统一大市场,北京自贸区,中非合作,一带一路,航运港口,冷链物流",中证1000
603103.SH,横店影视,121.3,121.3,19.12,10.01,传媒-传媒-影视院线,影视,传媒,科技,电影放映业务,国内行业领先的民营院线及影院投资公司,国内处于行业领先且极具潜力的民营院线及影院投资公司,"虚拟现实,大消费,影视娱乐,共同富裕示范区,文化传媒",中证1000
002976.SZ,瑞玛精密,25.4,47.4,39.34,10.01,交运设备-汽车零部件-汽车零部件Ⅲ,精密模具,机械设备,机械,精密金属零部件及模具,汽车零部件赛道新贵,从事于精密金属零部件及相应模具的研产销,"特斯拉,通信基站,无人驾驶,富士康,一带一路,新能源汽车,5G,汽车电子",
605228.SH,神通科技,10.9,47.2,11.1,10.01,交运设备-汽车零部件-汽车零部件Ⅲ,精密模具,机械设备,机械,汽车非金属部件,中国精密注塑模具重点骨干企业,中国精密注塑模具重点骨干企业,"新能源汽车,毫米波雷达,特斯拉",
002905.SZ,金逸影视,40.7,43.8,11.65,10.01,传媒-传媒-影视院线,影视,传媒,科技,电影放映,国内著名的院线发行和电影放映企业,国内第一批进入中国电影放映终端的民营公司，业内处于领先地位,"大消费,影视娱乐,虚拟现实,文化传媒,职业教育,VR影视",
001270.SZ,铖昌科技,70.5,154.8,98.88,10.0,国防军工-国防军工-军工电子,射频,半导体,科技,控阵T/R芯片,国产微波毫米波模拟相控阵T/R芯片龙头企业,国内少数能够提供相控阵T/R芯片完整解决方案的企业,"军工,集成电路,国产替代,杭州湾大湾区,军民融合,射频器,芯片,5G,芯片设计,遥感技术,雷达,第三代半导体,专精特新,砷化镓,卫星导航,氮化镓,基站射频,共同富裕示范区",中证1000
605011.SH,杭州热电,51.2,169.0,42.24,10.0,公用事业-电力-热力,热电,电力,公共事业,热电联产,浙江较早建成的热电联产集中供热企业,浙江省较早建成的热电联产、集中供热环保节能型企业,"煤炭,分布式发电,电力改革,国企改革,浙江国企改革,光伏,节能环保,地方国企改革",上证150
603379.SH,三美股份,153.1,153.1,25.08,10.0,基础化工-化学制品-氟化工,氟,化工原料,化工,氟制冷剂(产品),浙江省制冷剂领先企业，氟化工产品知名供应商,浙江省制冷剂领先企业，主产氟碳化学品和无机氟产品等氟化工产品,"集成电路,氟化工,氢氟酸,制冷剂,PVDF,锂电池",中证500
002813.SZ,路畅科技,48.2,49.0,40.81,10.0,交运设备-汽车零部件-汽车零部件Ⅲ,汽车电子,汽车零部件,汽车,矿渣微粉、车载导航,后装车载导航产品占据我国车载导航市场的主导地位,汽车信息化、智能化、网络化的全面供应商,"无人驾驶,智能汽车,机械装备,车联网,百度,胎压监测,机器人",
002114.SZ,罗平锌电,26.3,26.3,8.14,10.0,有色金属-工业金属-铅锌,铅锌,有色金属,资源,锌,公司“久隆”牌电解锌获中国驰名商标,公司“久隆”牌电解锌获中国驰名商标,"磷化工,金属锌,锌电池,国企改革,绿色电力,铟,小金属,地方国企改革,稀有金属",
002150.SZ,通润装备,64.9,65.1,18.27,9.99,机械设备-通用设备-金属制品,容器,金属制品,机械,工具箱柜,中国工具箱柜行业的龙头企业,国内工具箱柜行业龙头企业,"储能,农机,人民币贬值受益,海上风电,光伏,乡村振兴,风电",
002970.SZ,锐明技术,38.3,61.5,35.55,9.99,计算机-计算机设备-计算机设备Ⅲ,汽车电子,汽车零部件,汽车,商用车监控产品,公司在全球车载视频监控市场占有率排名前三,车载视频监控市占率全球前二，深耕商用车安全及信息化领域的智能创新与场景化应用,"无人驾驶,比亚迪,专精特新,新能源汽车,华为,垃圾分类,人脸识别,毫米波雷达,EDR,车联网,机器视觉,人工智能,汽车电子",
603093.SH,南华期货,73.9,73.9,12.11,9.99,非银金融-保险及其他-多元金融,期货,非银金融,金融,风险管理业务,全球化金融衍生品服务平台，国内最大规模期货公司之一,全球化金融衍生品服务平台，国内最大规模的期货公司之一,"期货,半年报预增",中证1000
002115.SZ,三维通信,50.4,58.1,7.16,9.98,通信-通信服务-通信服务Ⅲ,通信网络,通信,科技,广告业务,国内主流的移动通信网络建设供应商及综合服务商,国内主流的移动通信网络建设供应商及移动互联网信息综合服务商,"通信基站,网红经济,6G,电子信息,TMT,腾讯,快手,华为,文化传媒,智慧灯杆,5G,抖音,虚拟数字人,广告营销,卫星导航,王者荣耀,共同富裕示范区,AIGC,人工智能",
002893.SZ,京能热力,27.6,27.7,13.66,9.98,公用事业-电力-热力,热电,电力,公共事业,热力服务收入,专注于供热领域业务的专业化供热企业,国家高新技术企业和北京市企业技术中心,"碳中和,节能环保,北京国企改革,地方国企改革,国企改革",
000570.SZ,苏常柴A,33.5,47.4,6.72,9.98,交运设备-汽车零部件-汽车零部件Ⅲ,发动机,汽车零部件,汽车,柴油机,中国最早的内燃机专业制造商之一,国内具有百年历史的柴油机及配件制造企业，农机零部件龙头企业,"金改,农机,国企改革,锂电隔膜,国四,乡村振兴,地方国企改革,锂电池",
301266.SZ,宇邦新材,27.4,76.1,73.18,9.96,电力设备-电力设备-光伏设备,光伏辅材,光伏,电力设备,光伏焊带,国内光伏焊带领域龙头之一,国内光伏焊带领域龙头,"太阳能,HJT电池,专精特新,光伏,硅能源",
600495.SH,晋西车轴,61.4,61.4,5.08,9.96,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,铁路车辆,铁路车轴的制造、研发和工艺创新能力处于全球领先地位,铁路车轴的制造、研发能力和工艺创新能力处于全球领先地位,"高端装备,国产替代,中兵系,高铁,一带一路,轨道交通,污水处理,国企改革,央企国企改革,铁路基建,地方国企改革",
603528.SH,多伦科技,53.1,53.1,8.51,9.95,计算机-计算机应用-软件开发,交通管理,计算机,科技,驾考和培训系统,我国驾驶人自动化考试行业的先行者和推动者,智能驾考绝对龙头，深耕智能交通领域多年,"物联网,智能交通,职业教育,芯片,华为,物联网感知层,机器视觉,机器人,物联网应用层,国产软件,大数据,无人驾驶,滴滴,比亚迪,在线教育,ChatGPT,卫星导航,驾驶培训,云计算,人工智能",
002616.SZ,长青集团,29.1,45.9,6.19,9.95,公用事业-电力-新能源发电,环保设备,环保,公共事业,发电,全国农林生物质发电装机规模二十强,全国农林生物质发电装机规模前二十名企业中发电效率行业第一,"生物质能发电,绿色电力,节能环保,半年报预增,粤港澳大湾区",
600293.SH,三峡新材,32.4,32.4,2.79,9.84,建筑材料-建筑材料-玻璃玻纤,玻璃,建筑材料,建筑业,玻璃制造加工,中国平板玻璃制造业10强,湖北省玻璃行业唯一一家上市公司,"低辐射玻璃（Low-E）,稀缺资源,光伏,光伏玻璃,玻璃",
000897.SZ,津滨发展,34.4,34.4,2.13,9.79,房地产-房地产开发-住宅开发,住宅,房地产,金融,天津地产,天津滨海新区基础设施的投资商和建设者,主要从事商品销售、房屋租赁及销售的房地产企业,"滨海新区,天津国企改革,一元股,国企改革,环渤海,天津自贸区,地方国企改革,雄安新区",
002411.SZ,必康退,10.6,10.6,0.69,9.52,电力设备-电力设备-电池,医药商业,医疗服务,生物医药,医药流通+新能源材料,国内医药中间体领先企业,国内医药中间体龙头企业,,
300438.SZ,鹏辉能源,187.5,240.8,52.21,9.32,电力设备-电力设备-电池,锂电池,储能,电力设备,锂电池,国内领先的规模化生产锂铁电池产品的企业,中国品种齐全的电池制造商,"军工,储能,新型烟草,石墨烯,镍氢电池,独角兽,燃料电池,小米,锂电制造,充电桩,磷酸铁锂,新能源汽车,固态电池,钠离子电池,无线耳机,锂电池","创业板50,中证500,创业300"
300594.SZ,朗进科技,23.4,23.7,25.85,8.98,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,轨道交通车辆空调,我国城市轨道交通车辆空调行业的领先企业之一,专业从事轨道交通车辆空调及其控制系统领域的高新技术企业,"储能,空气能热泵,汽车热管理,芯片,数据中心,液冷服务器,国产软件,大数据,芯片设计,比亚迪,磁悬浮,轨道交通,高铁,新能源汽车,IGBT,专精特新,新型城镇化",
300407.SZ,凯发电气,20.6,29.6,9.7,8.87,电力设备-电力设备-电气自控设备,电控设备,电气设备,电力设备,铁路供电自动化,国内轨道交通自动化领域的重要企业,专注于轨道交通领域相关自动化设备,"无人驾驶,京津冀一体化,职业教育,磁悬浮,高铁,一带一路,轨道交通,专精特新,垃圾分类,智慧城市,铁路基建,雄安新区",
301092.SZ,争光股份,14.0,43.9,32.95,8.75,基础化工-化工合成材料-合成树脂,合成树脂,合成材料,化工,吸附树脂材料,国内领先的能够规模化生产离子交换与吸附树脂的企业,致力于离子交换与吸附树脂材料的研发及其在新领域的推广与应用,"新材料,核电,国产替代,净水,盐湖提锂,超超临界发电",
300366.SZ,创意信息,73.9,90.6,14.91,8.67,计算机-计算机应用-软件开发,电子政务,计算机,科技,系统集成,“大数据+”行业解决方案的提供者,能源及政务大数据行业领军企业和5G产品及解决方案优势提供商,"军工,智能交通,MLOps,数字视觉,电力物联网,国产操作系统,华为,信创,数字乡村,边缘计算,阿里巴巴,CAD,智能电网,大数据,数据安全,数字经济,华为鲲鹏,数据要素,VPN,卫星导航,智慧政务,5G,节能环保,华为欧拉,云计算,人工智能",中证1000
600199.SH,金种子酒,165.6,165.6,25.17,8.54,食品饮料-饮料制造-白酒,白酒,饮料,必需消费,绵柔型白酒,徽酒的主要代表企业之一,"安徽省知名白酒企业，拥有""金种子""、""醉三秋""两个中国驰名商标","白酒,地方国企改革,国企改革",
601012.SH,隆基绿能,2249.9,2251.0,29.69,8.52,电力设备-电力设备-光伏设备,光伏组件,光伏,电力设备,单晶硅棒.硅片；光伏组件,全球光伏龙头，单晶硅片和组件出货量均为全球第一,全球最大的单晶光伏制造商，单晶硅片和组件出货量均为全球第一，单晶电池、组件产品转换效率多次刷新世界纪录,"特斯拉,太阳能,MSCI,钙钛矿电池,光伏建筑一体化,同花顺漂亮100,硅能源,华为,新能源,证金持股,HJT电池,百度,氢能源,光伏","上证50,沪深300"
688226.SH,威腾电气,18.3,33.8,21.69,8.5,电力设备-电力设备-线缆部件及其他,电缆,电气设备,电力设备,高低压母线,国内母线产品主要的生产供应商之一,国内母线产品主要的生产供应商之一,"储能,智能电网,光伏,风电,华为",
301359.SZ,东南电子,6.4,25.7,29.91,8.29,电力设备-电力设备-输变电设备,输变电,电气设备,电力设备,微动开关产品,公司是国内微动开关龙头之一,主营微动开关产品，下游客户主要为家电制造商,"比亚迪,专精特新,新能源汽车,家用电器,共同富裕示范区,汽车电子",
300923.SZ,研奥股份,8.2,20.3,25.78,8.27,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,轨道车辆电气设备,城轨车辆电气设备领先企业,在城轨车辆电气设备领域形成了领先的市场地位,"储能,高铁,电子纸,轨道交通",
002176.SZ,江特电机,214.6,214.7,12.58,8.26,有色金属-小金属-能源金属,锂,有色金属,资源,碳酸锂,国内产量居前的碳酸锂生产商,国内最大起重冶金电机生产商,"军工,MSCI,鄱阳湖经济区,稀缺资源,大飞机,锂矿,赣南振兴,机器人,锂电原料,电机电控,新能源汽车,抽水蓄能,风电,稀有金属,锂电池",中证1000
603786.SH,科博达,292.1,294.9,73.0,8.23,交运设备-汽车零部件-汽车零部件Ⅲ,汽车电子,汽车零部件,汽车,照明控制系统,汽车智能、节能电子部件的系统方案提供商,汽车智能、节能电子部件的系统方案提供商,"专精特新,新能源汽车,比亚迪,国六标准、国六排放、国六,汽车电子",中证500
600744.SH,华银电力,80.8,80.8,3.98,8.15,公用事业-电力-火电,火电,电力,公共事业,火电（湖南）,湖南省火电装机最大的发电企业,火电机组装机规模在湖南处于领先位置,"煤炭,碳交易,煤价下跌受益,电力改革,国企改革,绿色电力,新能源,光伏,央企国企改革,碳中和,风电,超超临界发电,地方国企改革",上证150
603737.SH,三棵树,351.3,351.3,66.66,7.86,建筑材料-建筑材料-其他建材,建筑材料,建筑材料,建筑业,建筑涂料,国内建筑涂料龙头企业之一,"国内领先的、行业独创""健康+""新标准的涂料生产和服务型制造企业","精装修,半年报预增,建筑涂料",中证500
000802.SZ,北京文化,60.1,60.1,8.4,7.55,传媒-传媒-影视院线,影视,传媒,科技,影视+旅游服务,全产业链影视娱乐传媒集团,全产业链影视娱乐传媒集团,"影视娱乐,旅游,文化传媒,冬奥会",
002751.SZ,易尚退,1.3,1.5,1.0,7.53,社会服务-其他社会服务-专业服务,会展,社会服务,可选消费,展示道具,国内展示领域居领先地位的企业,国内3D扫描、AR/VR/全息、展览展示、低碳循环会展领域领军企业,,
300965.SZ,恒宇信通,8.2,29.9,49.9,7.4,国防军工-国防军工-航空装备,飞机,军工,公共事业,直升机显控设备,已取得军用直升机机载多功能显控设备大部分市场,国内机载领域的一流企业,"军工,无人机,卫星导航,通用航空",
600438.SH,通威股份,1555.0,1555.0,34.54,7.27,电力设备-电力设备-光伏设备,硅料,光伏,电力设备,太阳能电池及组件,全球光伏多晶硅料及电池片龙头,全球高纯晶硅龙头企业及全球领先的晶硅电池生产企业,"太阳能,预制菜,农村电商,MSCI,钙钛矿电池,TOPCON电池,同花顺漂亮100,乡村振兴,硅能源,多晶硅,饲料,HJT电池,光伏","上证50,沪深300"
605020.SH,永和股份,49.3,107.4,28.32,7.23,基础化工-化学制品-氟化工,氟,化工原料,化工,氟化学产品,我国氟化工行业中产业链最完整的企业之一,我国氟化工行业中产业链最完整的企业之一,"氟化工,氢氟酸,环氧丙烷,萤石,PVDF",中证1000
300818.SZ,耐普矿机,15.9,26.9,25.66,7.23,机械设备-通用设备-磨具磨料,磨具,金属制品,机械,选矿设备制造,集研发、生产、销售和服务于一体的选矿装备制造企业,主营选矿设备及橡胶制品的研销，曾获“江西省工程技术研究中心”称号,"一带一路,专精特新,新材料,人民币贬值受益,高端装备,宁德时代",
601888.SH,中国中免,2295.3,2432.2,117.56,7.2,商贸零售-零售-旅游零售,免税,零售,可选消费,旅行服务+商品,全球第四大免税业务运营商，我国免税店龙头企业,全球第四大免税业务运营商，我国免税店龙头企业,"MSCI,国企改革,五一出境游,大消费,同花顺漂亮100,证金持股,免税店,电子商务,奢侈品,海南旅游岛,央企国企改革,同花顺中特估100,地方国企改革","上证50,沪深300"
300552.SZ,万集科技,30.2,51.2,24.0,7.14,计算机-计算机设备-计算机设备Ⅲ,智慧城市,计算机,科技,车载单元,ETC龙头企业,智能交通信息采集与处理行业取得了领先的市场地位,"激光器,无人驾驶,电子车牌,智能交通,雷达,传感器,数字孪生,ETC,激光,智慧城市,车联网,华为,机器人,汽车电子,边缘计算",
603085.SH,天成自控,42.9,46.0,11.58,7.12,交运设备-汽车零部件-汽车零部件Ⅲ,内饰,汽车零部件,汽车,车辆座椅,工程机械座椅国家标准的起草单位之一,工程机械座椅国家标准的起草单位之一,"比亚迪,新能源汽车,航空航天,三胎,工业4.0",上证150
300598.SZ,诚迈科技,80.7,82.8,50.42,7.09,计算机-计算机应用-软件开发,软件外包,计算机,科技,软件外包服务,领先的操作系统专家,全球领先的智能科技专家,"智能汽车,英伟达,国产操作系统,芯片,华为,信创,机器视觉,小米,汽车电子,鸿蒙,国产软件,无人驾驶,虚拟现实,比亚迪,百度,蔚来汽车,华为海思,华为欧拉,人工智能","创业300,中证1000"
605099.SH,共创草坪,9.8,98.0,24.5,6.89,轻工制造-家用轻工-其他家用轻工,体育,社会服务,可选消费,人造草坪,全球生产和销售规模最大的人造草坪企业,人造草坪行业的全球龙头企业,"人民币贬值受益,足球,体育产业",
002583.SZ,海能达,79.5,118.6,6.53,6.87,通信-通信设备-通信网络设备及器件,通信设备,通信,科技,专网通讯设备,全球专网通信市场排名第二，国内第一,研制对讲机终端、集群系统等专业无线通信设备的龙头企业,"物联网,区块链,安防,6G,专网通信,电子信息,俄乌冲突,黑洞,汽车电子,中俄贸易,5G,骨传导,宽带中国,物联网平台层,互联网金融,半年报预增,粤港澳大湾区,一带一路,人民币贬值受益,智慧城市,卫星导航,反恐,口罩",中证1000
605188.SH,国光连锁,5.8,47.3,9.55,6.82,商贸零售-零售-百货零售,百货,零售,可选消费,江西超市,江西本土领先的连锁经营企业之一,江西本土领先的连锁经营企业之一,"智能物流,预制菜,新零售,商超百货,电子商务",
839167.BJ,同享科技,7.9,13.2,12.12,6.78,电力设备-电力设备-光伏设备,光伏辅材,光伏,电力设备,互连条,全球第二的光伏焊带供应商,全球第二的光伏焊带供应商,,
688472.SH,阿特斯,71.8,627.0,17.0,6.72,电力设备-电力设备-光伏设备,光伏组件,光伏,电力设备,晶硅光伏组件,公司组件出货量位列全球前五名,全球光伏组件供应商第一梯队，组件产品出货量行业前五,"储能,HJT电池,半年报预增,TOPCON电池,光伏",
300649.SZ,杭州园林,24.1,30.3,22.89,6.71,建筑装饰-建筑装饰-装饰园林,园林景观,家居装修,建筑业,园林设计,全国首批风景园林工程设计专项甲级资质单位,全国首批风景园林工程设计专项甲级资质单位，代表作杭州西溪湿地,"PPP,碳中和,水利,园林开发,杭州亚运会,共同富裕示范区,新型城镇化,雄安新区",
002343.SZ,慈文传媒,36.3,36.3,7.64,6.7,传媒-传媒-影视院线,影视,传媒,科技,影视+游戏,影视剧制作龙头企业,国内第一批被授予电视剧制作经营许可证的民营影视公司,"手机游戏,IP,元宇宙,国企改革,影视娱乐,动漫,文化传媒,地方国企改革",
300691.SZ,联合光电,37.2,50.3,18.79,6.7,计算机-计算机设备-计算机设备Ⅲ,光学镜头,消费电子,科技,安防类光学镜头,国内知名的光学镜头产品生产设计企业,公司始终走在中国光学镜头制造行业的前列,"屏下指纹技术,安防,消费电子,智能制造,冬奥会,元宇宙,华为,机器视觉,机器人,汽车电子,无人驾驶,虚拟现实,比亚迪,新能源汽车,智慧城市,毫米波雷达,人工智能",
603006.SH,联明股份,25.1,33.4,13.12,6.67,交运设备-汽车零部件-汽车零部件Ⅲ,汽车物流,汽车相关,汽车,地板加强件、横梁,国内最早从事循环物流器具供应链管理业务的企业,国内最早从事循环物流器具供应链管理业务的企业，通用一级供应商,"冷链物流,汽车制造,特斯拉",上证150
001360.SZ,南矿集团,10.3,41.9,20.55,6.59,机械设备-专用设备-能源及重型设备,煤矿设备,机械设备,机械,矿机装备,国内技术领先的中高端矿机装备供应服务商之一,国家级“专精特新”小巨人，主营砂石骨料和金属矿山相关的破碎、筛分设备,"专精特新,一带一路,高端装备",
300565.SZ,科信技术,36.0,39.7,19.1,6.58,通信-通信设备-通信网络设备及器件,通信设备,通信,科技,ODN产品,专注于提供FTTX接入网、无线接入和传输网之高新企业,国内少数同时具备电池系统、电源系统等网络能源核心软硬件自主研发生产能力的企业，子公司生产了业内首款2U100Ah电芯,"物联网,储能,智慧灯杆,5G,数据中心,数字孪生,锂电池,边缘计算",
300053.SZ,航宇微,92.5,101.9,14.62,6.56,电子-半导体及元件-集成电路设计,SoC,半导体,科技,嵌入式SOC芯片,我国宇航SPARC V8处理器SOC的标杆企业,航空航天领域高可靠嵌入式SOC芯片及系统集成的骨干企业之一,"太空经济,智能终端,智能交通,安防,航空航天,横琴新区,国企改革,东数西算（算力）,芯片,数据中心,珠海国企改革,汽车芯片,时空大数据,EDA,芯片设计,AI芯片,广东国企改革,半年报预增,专精特新,数据要素,卫星导航,人脸识别,集成电路,农业信息化,地方国企改革,人工智能",创业300
301229.SZ,纽泰格,13.7,32.0,40.03,6.52,交运设备-汽车零部件-汽车零部件Ⅲ,一体化压铸,汽车零部件,汽车,汽车悬架系统,少数同时掌握铝压铸和吹注塑生产工艺的汽车零部件企业,国内为数不多的能同时掌握铝压铸和吹注塑生产工艺的汽车零部件企业,"特斯拉,新能源汽车",
600160.SH,巨化股份,376.6,376.6,13.95,6.49,基础化工-化学制品-氟化工,氟,化工原料,化工,氟化工,国内最大的氟化工制造业基地,国内领先的氟化工、氯碱化工、煤化工综合配套的制造基地,"碳交易,养老金持股,MSCI,氟化工,集成电路,消毒剂,国企改革,浙江国企改革,萤石,类稀土,氢氟酸,杭州亚运会,制冷剂,甲酸,PVDF,中芯国际,地方国企改革,锂电池",中证500
