证券代码,股票名称,概念名称,概念解析
603918.SH,金桥信息,蚂蚁,"2021年4月21日招股书显示云鑫创投成为公司非公开发行后的第三大股东,系蚂蚁集团全资子公司。"
000055.SZ,方大集团,绿色电力,"2022年半年报显示公司积极参与“万企兴万村”行动,先后在广东、江西、西藏等地开展产业帮扶,因地制宜帮助贫困地区种植茶薪菇、百合等经济作物,建设大棚光伏发电站、分布式光伏发电站等乡村产业“造血”项目,培育乡村经济发展新动能。"
603322.SH,超讯通信,数据要素,"2024年半年报披露,数据要素运营:公司立足于自身优势,积极开发数据要素应用场景,为客户提供数据运营分析、数据确权、数据安全检测等服务。"
300581.SZ,晨曦航空,无人机,"2020年6月4日回复称公司无人机系统基于高精度惯性导航及飞行控制技术,具有自主任务能力。"
300443.SZ,金雷股份,创投,"2019年报显示,截至2019年末公司已向深圳市达晨 创联股权投资基 金合伙企业(有限合伙)投资8,000.00万元,对该合伙企业的出资占比2.67%。"
301172.SZ,君逸数码,时空大数据,"2023年7月4日招股书显示公司以智能视频分析技术、音视频接入和处理技术、地理空间信息处理技术、物联网边缘服务网关技术、能源管理节能技术、大数据平台技术等核心技术作为技术支撑,为政府机关、国有企事业单位用户提供智慧市政、智慧管廊、智慧公安、智慧交通及智慧楼宇、智慧场馆、智慧金融安防、智慧校园等领域的智慧城市综合解决方案。"
002723.SZ,小崧股份,地摊经济,"2020年6月5日回复称公司目前有多款多功能应急灯、多功能风扇灯、迷你风扇、电蚊拍等小家电产品,产品实用性强,功能多样,可适用于地摊经济等多种使用需求及场景。公司将积极响应国家号召,参与夜间经济建设。"
002666.SZ,德联集团,燃料电池,2020年5月27日回复称公司目前在燃料电池的热管理方面与相关厂商有合作。
600269.SH,赣粤高速,参股保险,"2016年5月,公司以所持国盛证券的股权参与华声股份重大资产重组顺利完成并成功上市,当期为公司贡献投资收益5.47亿元。8月,华声股份更名为“国盛金控”。7月,公司以自有资金投资4.36亿元参股恒邦保险增资扩股事项获中国保监会批复,同意公司参与恒邦保险增资扩股,并持股20%成为其并列第一大股东。"
300930.SZ,屹通新材,锂电池,"2022年年报显示公司致力于成为行业领先的金属粉体制造商,目前已形成高性能纯铁粉、合金钢粉、添加剂用铁粉、磷酸铁锂电池用铁粉及合金软磁粉等系列产品,被广泛应用于交通工具、家用电器、电动工具、工程机械、消费电子、新能源汽车及医疗器械等终端行业。"
603267.SH,鸿远电子,半导体,"2023年年报显示,报告期末,公司实验室已获得CNAS认可的检测项目79个,覆盖瓷介电容器相关标准及规范的全部检测项目和部分电阻器、电感器、半导体器件、滤波器组件的检测项目;鸿远苏州实验室取得CNAS实验室认可证书。"
300453.SZ,三鑫医疗,医疗器械,"2020年半年报显示公司是专业专注于医疗器械研发、制造、销售和服务的国家高新技术企业,主要产品涵盖血液净化类、留置导管类、注射类、输液输血类、心胸外科类、防护类六大系列。"
600333.SH,长春燃气,油气设服,"公司是吉林省最大的管道燃气供应企业,也是长春市、延吉市、德惠市及双阳区的主要燃气供应商,已获得包括长春市在内七个城市的管道燃气特许经营权。公司为20多家煤化工产品客户提供相关服务,直接服务区域跨越东北三省。主要产品以天然气、人工煤气、液化石油气、煤化工产品等为主,拥有为城市民用、工商业、钢铁行业、车用等终端客户群服务的完整能源供销体系。截至2013年末,公司管道燃气客户数量突达到105万户,两气销售量超过3亿立方米。2013年燃气实现收入66890.47万元,同比增长32.29%。"
301313.SZ,凡拓数创,AIGC,"公司在文本、图像、虚拟人等场景中应用AIGC技术,未来公司也将积极进行探索。"
688456.SH,有研粉材,3D打印,"2021年3月12日招股书显示公司主要产品包括铜基金属粉体材料、微电子锡基焊粉材料和3D打印粉体材料等,是国内铜基金属粉体材料和锡基焊粉材料领域的龙头企业,已成为国际领先的先进有色金属粉体材料生产企业之一。"
300555.SZ,ST路通,量子通信,2020年10月19日回复称公司参股的湖北星燎高投网络新媒体产业投资基金合伙企业(有限合伙)投资国科量子通信网络有限公司。
002297.SZ,博云新材,小金属,"2021年3月1日回复称公司全资子公司伟徽新材是专业从事稀有金属粉体新材料的研发、生产、销售的高新技术企业,公司主要产品分为碳化钽、碳化铬、碳化钒、碳化钛等一元碳化物,以及钨钛固溶体、钽铌固溶体、钨钛钽固溶体等多元复式碳化物。"
002292.SZ,奥飞娱乐,跨境电商,"2023年5月16日回复称公司己在美国、欧洲等地区开设了亚马逊的当地电商店铺,也在阿里巴巴全球速卖通、Temu等平台开通了奥飞官方店。"
688389.SH,普门科技,医疗器械,"公司是一家研发驱动型的医疗器械企业,设立以来专注于治疗与康复解决方案和体外诊断产品线的开发及技术创新。"
300448.SZ,浩云科技,边缘计算,"2019年年报显示公司将边缘计算、云计算、深度学习等人工智能技术结合应用到项目上,实现从大范围的大数据监视系统到特定场景的智能分析。"
601098.SH,中南传媒,华为,"2023年4月27日回复称公司与华为于2021年签署了战略合作框架协议,双方同意利用各自优势资源进行合作。"
300545.SZ,联得装备,半导体,2020年4月29日增发预案显示募集资金拟投入到半导体封测智能装备建设项目。
002607.SZ,中公教育,职业教育,"2021年半年报显示中公教育是一家中国领先的全品类职业教育机构,也是招录考试培训领域的开创者和领导者。"
603630.SH,拉芳家化,婴童,"公司继续聚焦洗护沐,并加大对膏霜、儿童、口腔护理等领域产品的推广力度,通过持续与德之馨、巴斯夫等国际性机构合作,不断研发新产品,优化产品配方,力求产品优质、绿色、健康,满足消费者对产品环保性和安全性的需求,为公司注入持续的发展动力,创造更多更优质的产品。"
300516.SZ,久之洋,军民融合,"公司上述产品应用领域广泛,是典型的军民两用产品。在军用方面,主要用于昼夜监视、情报获取、目标探测、观瞄、测距等;在民用领域,主要应用于海洋监察、维权执法、安防监控、森林防火监控、水上交通安全监管和救助、搜索救援、电力巡线、工业检测、检验检疫以及辅助驾驶等领域。"
300026.SZ,红日药业,血氧仪,"2021年12月31日回复称公司全资子公司超思电子覆盖脉搏血氧仪、基层医疗与家用健康三大产品线,其中脉搏血氧产品包括指夹、手持、腕式和台式等百余款型号,可满足院线诊所以及家庭等多个应用场景下医护人员和呼吸慢病病人的使用需求。"
300423.SZ,昇辉科技,燃料电池,"2021年9月15日公告显示控股子公司昇辉新能源有限公司送往国家新能源汽车质量监督检验中心检验的两款燃料电池发动机产品于近日收到检验报告,报告表明两款燃料电池发动机性能已经达到国家强制性规范要求,可搭载于氢燃料客车、物流车与重卡等新能源车辆。"
000848.SZ,承德露露,新零售,"2022年1月3日回复称在传统电商方面,公司已经打造一支年轻化的电商运营团队,电商销售业绩稳步增加。在新型直播电商和短视频电商运营模块,公司积极与头部主播合作,目前已经与东方甄选、张同学、小杨哥等头部主播展开多次的合作,后续将继续强化与互联网平台的众多头部达人开展销售合作和营销推广合作。"
002005.SZ,ST德豪,贬值受益,"公司的小家电业务以出口为主,人民币的贬值对公司有一定的正面影响"
300063.SZ,天龙集团,网红直播,"拟设立控股子公司北京快道传媒有限公司,经营范围包括提供专业原创短视频内容创意策划及投放服务等。"
000981.SZ,山子高科,新能源车,"2018年5月18日公告,公司全资子公司南京邦奇拟与蔚然动力成立合资公司南京蔚邦传动技术有限公司,主要从事纯电动车变速器等新能源汽车零部件的研发、生产和销售。南京蔚邦注册资本拟定为6,000万元人民币,南京邦奇和蔚然动力以现金方式各出资认缴南京蔚邦注册资本的50%,分别持有南京蔚邦50%股权。"
300375.SZ,鹏翎股份,小米,"2023年10月30日回复称,公司与小米汽车是有合作的,相关合作项目正在稳步推进中。"
002443.SZ,金洲管道,国企改革,实际控制人寿光市国有资产监督管理局。
601886.SH,江河集团,医疗美容,2021年5月13日回复称目前公司国内下属眼科医院涉及眼部医美业务。
603026.SH,石大胜华,氟化工,2020年9月7日回复称公司六氟磷酸锂产能2000吨/年。
002983.SZ,芯瑞达,华为,"公司通过了华为、三星电子、海信、创维、长虹、TCL、夏普、小米、首尔半导体、富士康、冠捷科技、乐轩科技、中新科技、苏州璨宇、毅昌股份、苏州高创、Lumens等国内外知名消费电子企业,以及鸿合科技等智能教育显示产品厂商的审核体系,成为其合格供应商。"
002735.SZ,王子新材,电子烟,"2020年7月8日回复称公司子公司东莞群赞致力于电子烟小烟、HNB电子烟具和CBD电子烟具的研发和生产,目前主要为PodStick、Ammo、悦刻等电子烟品牌商提供ODM服务。"
688317.SH,之江生物,精准医疗,"2021年2月10日回复称公司一直专注于分子诊断试剂及仪器设备的研发、生产和销售,是国内技术先进、产品齐全的分子诊断领军企业。"
002453.SZ,华软科技,独角兽,"2018年1月19日,公司宣布收购倍升互联51%股权,强势介入供应链金融与供应链管理业务领域。倍升互联是一家集ICT产品供应链服务、企业级移动信息化解决方案以及电子商城为一体的综合服务提供商,客户包括阿里巴巴、今日头条、亚马逊中国等企业。"
300579.SZ,数字认证,数据确权,"2023年8月18日回复称,公司将密码技术与身份相结合,依托可信身份管理、可靠电子签名等技术,从数据的源头出发,围绕数据存储、使用、加工、传输、提供、公开等各个环节,帮助客户实现数据加解密、安全存储及传输,并明确数据主体身份、确定权限和责任,从而构建起全生命周期的数据安全防护体系。"
002085.SZ,万丰奥威,碳纤维,"2023年6月29日回复称,目前公司碳纤维复合材料除主要应用在万丰钻石飞机机身机翼上。"
002609.SZ,捷顺科技,蚂蚁,"2019年3月23日回复称蚂蚁金服旗下基金公司2亿入股公司子公司顺易通,共同发展智慧停车业务。"
300042.SZ,朗科科技,知识产权,"主营业务之一的专利运营更专业及专注而成立的,并藉此平台进行知识产权的运营及各项相关业务。"
300614.SZ,百川畅银,碳交易,"2021年5月20日招股书显示公司已有19个垃圾填埋气治理项目在UNFCCC注册成为CDM项目,可以向确定的国外合作方销售CERs,同时有14个垃圾填埋气治理项目取得国家发改委CCER备案注册文件,可以在国内碳排放权相关市场参与交易。"
688159.SH,有方科技,无人驾驶,"2023年年报显示,公司研发项目包括V2X无线通信模块和解决方案。"
600058.SH,五矿发展,国企改革,  公司最终控制人国务院国有资产监督管理委员会持有公司股票比例为54.77%。
301128.SZ,强瑞技术,液冷,"2022年半年报显示公司根据自身业务优势,相继投入到针对芯片、车机、新能源汽车控制器等领域的工装及检测用治具、设备等的研发,并在手机及车载芯片socket、保压注液烘干三合一液冷测试设备、车载快速密封连接器及各类气密性设备方面成功完成研发设计及打样,并实现部分业务订单。"
600259.SH,广晟有色,新材料,子公司河源市广晟稀土高新材料有限公司、广东广晟智威稀土新材料有限公司涉及稀土新材料生产。
600223.SH,福瑞达,流感,"2020年2月3日回复称孙公司山东明仁福瑞达制药股份有限公司生产的小儿解感颗粒,可用于治疗感冒发烧、头痛鼻塞、咳嗽喷嚏、咽喉肿痛。"
300449.SZ,汉邦高科,智慧城市,"2020半年报显示公司参与众多的平安城市和雪亮工程的建设,荣获“智慧城市”优秀解决方案提供商等诸多荣誉。"
002582.SZ,好想你,人造肉,"2019年10月,公司在互动平台表示,公司相关的豆干素食中有部分人造肉产品。"
000758.SZ,中色股份,一带一路,"公司已与东盟合作开发矿产资源,2009年公司控股的SARCO公司与老挝服务有限公司签订了《关于在老挝人民民主共和国占巴塞省帕克松地区进行铝土矿勘探和开采的协议》。为开发老挝帕克松地区铝土矿资源,双方成立合资公司并投资5亿美元建设初始产能为60万吨/年的氧化铝厂。"
002908.SZ,德生科技,职业教育,"公司有在贵州省毕节市成立毕节德生职业技能培训学校有限公司,承接毕节市就业技能培训业务,帮助当地更好地落地职业教育。"
002261.SZ,拓维信息,机器人,"2022年8月15日回复称公司基于在智慧交通领域的丰富技术与经验沉淀,依托“高速AI收费稽核”等成功标杆案例基础,于近期成功打造推出了“高速稽核工单RPA机器人”产品。该稽核工单机器人是基于鲲鹏硬件,针对高速稽核部级工单自动化处理的一款新型软硬一体机,通过RPA算法和流程自动化技术,模拟人工操作系统化执行内置指令,自动完成各类软件系统的工作和业务处理,代替稽核人员操作电脑,准确、高效实现工单流程自动化处理。"
002886.SZ,沃特股份,机器人,"2023年6月27日回复称公司作为机器人产业链材料环节供应商,公司特种高分子材料系列方案能够满足机器人行业客户轻量化、精密集成化、高速信号传输等多种要求。"
002135.SZ,东南网架,装配建筑,2019年年报显示公司钢结构板块主要业务为钢结构建筑及围护系统的设计、制造、安装以及装配式钢结构建筑总承包业务。
600592.SH,龙溪股份,铁路基建,"募资投于四个项目,其中高端关节轴承技术改造项目总投资32000万元,建设期2.5年,达产后预计年产22万套高端关节轴承,年均新增销售收入47800万元,净利润7730万元,重载,耐磨高端轴套技术改造项目总投资23000万元,建设期2年,达产后预计年产240万套高端轴套,年均新增销售收入33600万元,净利润4365万元,免维护十字轴开发项目总投资20800万元,建设期2年,达产后预计年均新增收入31200万元,净利润4759.68万元,特种重载工程车辆液力自动变速箱项目总投资18000万元,建设期2.5年,达产后预计年均新增销售收入29500万元,净利润3310万元。"
600207.SH,安彩高科,3D玻璃," 公司主要从事光伏玻璃、浮法玻璃及其深加工产品的生产和销售。2016年5月公司在互动表示,公司采购招标3D电子玻璃试验设备用于3D电子玻璃试验及技术了解。"
600055.SH,万东医疗,医疗器械,"2019年年报显示公司作为国内专业的医疗器械制造企业,处于同行业领先地位。"
688321.SH,微芯生物,病毒防治,"2021年3月4日回复称公司治疗领域从原有的肿瘤、代谢、自身免疫三大领域扩展到中枢神经和抗病毒共五大领域,研发布局从新靶点原创新药延伸至快速跟踪具有重大市场需求的品种和上市产品的再开发三个层次。"
300473.SZ,德尔股份,氢能源,"2022年7月28日回复称公司自主开发的燃料电池系统核心部件、氢气加注设备等产品,可分别应用于氢燃料电池电堆以及氢气加注,为满足未来氢能市场需求。"
300990.SZ,同飞股份,光刻机(胶),"2023年9月7日回复称,在半导体制造设备领域,液体恒温设备可应用于光刻机"
300890.SZ,翔丰华,钠离子电池,"2022年7月15日回复称除常规石墨负极材料外,公司还研发出硅基、钛基和硬碳等多种高性能负极材料,可广泛应用于锂、钠离子等多种电池中。"
002845.SZ,同兴达,AI手机,"公司主要从事 LCD、OLED 显示模组、光学摄像头模组及半导体先进封测的研发、设计、生产和销售,其中显示模组主要产品包括智能手机类、平板及笔记本电脑类、智能穿戴类及专业显示类;光学摄像头模组主要产品包括手机摄像头、平板及笔记本电脑摄像头、智能产品类(智能手表、视讯通话等)摄像头、感知类(扫地机器人等)摄像头、识别类(智能门锁、人脸识别等)摄像头,上述产品主要应用于智能手机、平板电脑、智能穿戴、NOTEBOOK、车载、无人机、智能家居等领域。"
002962.SZ,五方光电,国家安防,"2020年2月12日,公司互动平台回应称公司主要产品包括红外截止滤光片和生物识别滤光片,可应用领域包括安防摄像头等领域。"
000017.SZ,深中华A,黄金,2019年年报显示公司目前所提供的主要产品或服务包括:阿米尼牌自行车、电动自行车、锂电池材料、黄金珠宝。
300605.SZ,恒锋信息,远程办公,"2020年2月4日公司在互动平台称:公司公共安全业务中指挥中心类项目集情报研判、指挥调度和应急处理为一体,可实现远程指挥。智慧民生业务条线多种应用可实现远程办公功能。"
300275.SZ,梅安森,天然气,"2021年6月16日回复称公司已有可燃气体报警系统、地下管网危险气体在线监测系统以及城市管廊安全监测监控系统等产品,可以实现点、线、面全空间可燃气体、危险气体泄漏监测与在线实时预警,公司在城市危险源气体监测技术领域拥有国内领先的技术水平。"
603088.SH,宁波精达,国企改革,实际控制人宁波市人民政府国有资产监督管理委员会。
600938.SH,中国海油,央企改革,"公司的实际控制人为中国海洋石油集团有限公司,公司的组织形式为中央国有企业。"
000957.SZ,中通客车,无人驾驶,"2020年半年报显示公司开发出新一代智能驾驶客车,智能驾驶水平达到L4级(高度自动驾驶)。"
002818.SZ,富森美,智能家居,"2019年年报显示公司实现从基础建材、主材、辅材、家具、软装、电器、智能家居,以及设计、装修施工、拎包入住等全流程的商品与服务。"
001203.SZ,大中矿业,锂电池,"2022年10月18日公告显示公司审议通过了《关于与临武县人民政府签署<合作备忘录>的议案》,公司及下游企业拟在临武县投资建设含锂多金属露天矿采选、碳酸锂及电池项目,预计总投资160亿元。"
300556.SZ,丝路视觉,职业教育,"2021年10月13日回复称丝路教育主要培训内容为影视后期包装,三维数据制作,三维动画制作,游戏场景道具制作,室内设计,BIM数据制作及应用。"
600246.SH,万通发展,5G,"2022年4月25日公告显示公司拟投资设立北京万通盛安通信科学技术发展有限公司,主要业务为探索在5G基站稀布相控阵天线和低轨卫星基站稀布相控阵天线方面的应用。"
300688.SZ,创业黑马,元宇宙,2022年11月10日回复称公司已开展元宇宙数字人产业加速器。
002579.SZ,中京电子,柔性屏(折叠屏),"公司旗下元盛电子主要从事挠性印制电路板(FPC)及其组件(FPCA)的研发、生产和销售,产品全部为挠性电路板及相关产品,元盛电子已成为京东方、欧菲光、伯恩、天马等行业龙头企业的合格供应商。"
000678.SZ,襄阳轴承,军工,2020年9月21日回复称公司有部分军车产品。
600572.SH,康恩贝,创新药,"2022年8月31日回复称公司子公司金华康恩贝与美国Escend公司的合作研发进展,金华康恩贝的ES-3000(汉防己甲素)用于治疗复发/难治性白血病适应症获准在美国作为创新药开展临床试验,未来若研发成功并上市,金华康恩贝将成为欧美市场ES-3000的独家药品供应商。"
603579.SH,荣泰健康,健康中国,"公司主要从事按摩器具的设计、研发、生产和销售,产品包括:L形导轨按摩椅、S形导轨按摩椅、直形导轨按摩椅、按摩垫、塑身按摩器、腿足按摩器、便携式按摩器、RT1025明眸舒睡宝等。"
300471.SZ,厚普股份,一带一路,2023年3月17日回复称公司天然气加注装备已出口乌兹别克斯坦、新加坡、泰国、马来西亚、俄罗斯、捷克、匈牙利、埃及等“一带一路”国家。
300127.SZ,银河磁体,稀土永磁,"公司主营粘结钕铁硼(Boned NdFeB)稀土磁体元件或部件的研发、设计、生产和销售。公司粘结钕铁硼磁体包括:光盘驱动器主轴电机磁体、硬盘驱动器主轴电机磁体、汽车微电机磁体、步进电机磁体以及各类永磁无刷直流电机转子组件等磁体零部件,产品广泛应用于信息技术、消费类电子、通信、节能家电、汽车、办公自动化设备等多种领域。截止报告期末,公司仍然是全球粘结钕铁硼磁体产销量最大的厂家。"
603131.SH,上海沪工,工业4.0,"公司将紧跟国家产业政策的指导方向,充分利用资本杠杆加大对机器人、激光焊接与切割、智能制造与系统控制等领域的投入。向高附加值、创新驱动、绿色低碳、智能制造的方向发展,将先进绿色低碳技术在产品设计中广泛使用,并推进产品的数字化、网络化和智能化。"
603123.SH,翠微股份,数字货币,"2020年年报显示随着人民银行数字人民币试点的推进,公司已积极与央行数字货币研究所指定运营银行签署合作协议,进行系统对接,推进数字人民币受理的系统建设。"
600101.SH,明星电力,天然气,"2020年1月8日回复称四川华润万通燃气股份有限公司系本公司合营企业,其经营范围包括天然气供应;天然气工程设计、安装;燃气用具维修;LNG项目建设与运营。"
600682.SH,南京新百,健康中国,2015年公司出资390万元参与发起成立专注投资大健康相关领域的股权投资基金。
000868.SZ,安凯客车,新能源车,"公司是国内较早研发和批量生产运营新能源客车的整车企业,现已形成集10~12米纯电动公交客车、12米纯电动旅游和通勤客车、12米增程式电动公交客车、10-12米油电混合动力城市客车于一体的产品平台,共有37款新能源客车获国家公告,有35款节能与新能源汽车被评为国家示范推广应用工程推荐车型。近几年内共承担28项国家及省市重点科研项目,并在适用于电动客车全承载车身技术、动力系统集成技术、电动客车整车控制系统、电动客车电机控制技术、电动客车远程监控技术等核心技术方面取得突破。"
300331.SZ,苏大维格,元宇宙,"2021年9月14日公告显示公司拟与高伟电子子公司东莞高伟光学电子有限公司签署《合资经营协议》,在苏州共同投资设立合资公司苏州立维光学科技有限公司,共同合作进行Tofdiffuser、DOE光学器件、VR光学器件、AR光波导镜片、AR-HUD光学材料、多层衍射光学镜片以及Metalens等光学材料及器件的研究开发、产业化应用、规模化生产,并实现向全球领先的移动设备制造商等终端客户的应用和销售。"
300729.SZ,乐歌股份,人工智能,"2020年3月9日回复称公司属于人工智能和大数据中心这两个领域。乐歌智慧工作站自带人工智能语音识别和语音交互技术,利用人工智能技术给用户提供高效办公、健康办公的人机交互环境;通过图像识别技术无接触无感知监测用户心率状况,结合大数据分析提供健康提醒。"
603025.SH,大豪科技,半导体,"2020年9月2日回复称公司投资的兴感半导体公司,主要产品为电流传感器芯片。"
001227.SZ,兰州银行,互联金融,"2021年12月7日招股书显示2019年起公司深度融合金融科技与业务,强化金融科技的赋能作用,陆续推出百合生活网、供应链平台、生物认证平台、互联网开放平台、网贷平台、大数据分析决策平台、智能客户关系管理平台、智能行为风控平台、大数据运维管理平台、安全威胁监测分析平台等。"
300140.SZ,节能环境,垃圾分类,"2018年董事会报告披露公司一方面以中国节能重大科技创新项目“分布式垃圾处理装备开发”研发为抓手积极推进自主研发,另一方面与业内优势公司在餐厨垃圾处理设备、农村废物处理进口设备的国产化等方向开展合作"
600238.SH,海南椰岛,健康中国,"未来,公司将做强“三大平台”:即以椰岛鹿龟酒,海王酒为主导产品的酒业发展平台,以椰岛椰子汁为主导产品的食品饮料发展平台及以健康休闲,旅游,养生为主的地产发展平台,力争成为中国保健酒行业乃至保健品产业的龙头企业,同时逐步推行资本助力实业的外延式发展路径,借助投资,并购等方式实现原有业务在大健康上下游产业链的延伸。"
301234.SZ,五洲医疗,医疗美容,2022年8月17日回复称公司有在研产品微针应用于医疗美容行业。
600110.SH,诺德股份,超级电容,"公司主营锂电池用电解铜箔,公司生产的锂电池用电解铜箔的国内市场占有率达50%左右,国内市场排名第一,成为国内高档铜箔加工行业的龙头企业;研发成功的汽车电路板用超厚铜箔已开始进入市场,目前国内也只有公司一家生产该类产品。"
002036.SZ,联创电子,英伟达,"2023年5月31日回复称,在车载ADAS镜头和影像模组方面,公司保持与Nvidia等国际知名高级汽车辅助安全驾驶方案公司的深度合作。"
300051.SZ,琏升科技,互联金融,"收购网络游戏  公司后,将进一步完善公司大互联网战略布局,预计移动办公、移动游戏、移动电商和虚拟转售未来将成为公司四大互联网业务支柱。"
601177.SH,杭齿前进,核能核电,2020年9月14日回复称公司的核电齿轮箱产品已配套多台核电机组。
000881.SZ,中广核技,幽门螺杆菌,"公司在投资者回复称公司与上海化工院联合开展""富集碳-13同位素生产及产业化关键技术开发""科研项目,本项目生产的是非放射性的C13同位素,用于吹气法幽门螺旋杆菌感染检测。"
002462.SZ,嘉事堂,国企改革,最终控制人国务院国有资产监督管理委员会。
002820.SZ,桂发祥,国企改革,公司的实际控制人为天津市河西区人民政府国有资产监督管理委员会。
300260.SZ,新莱应材,高送转,2022年度分配方案为10转8派1.60元(含税)。
688158.SH,优刻得,东数西算,"2022年4月14日回复称公司在东西两大枢纽分别自建了上海青浦云计算中心和内蒙古乌兰察布云计算中心。内蒙古乌兰察布云计算中心,凭借地域优越,电价低廉、低温自然制冷等,更适用于对位置、延时要求不高,对成本控制较为敏感,对扩容需求、数据计算、数据存储有较高需求的用户。"
301516.SZ,中远通,新能源车,"2023年11月15日招股书显示,公司生产的新能源汽车车载电源是新能源汽车“三电”系统的关键零部件,核心功能是将动力电池组或氢燃料电池电堆的电能进行转化,主要产品包括车载充电机(OBC)、车载DC/DC转换器、双向车载充电机、助力转向电源、车载电源集成产品(CDU)、氢燃料电池 DC/DC变换器等。"
002815.SZ,崇达技术,柔性屏(折叠屏),"2023年10月30日回复称,参股子公司三德冠目前生产交付的FPC软板产品,有间接应用在相关折叠屏手机相关显示屏上。"
300571.SZ,平治信息,数字阅读,"2020年2月5日回复称公司一直在努力拓展数字阅读市场,进一步扩充数字阅读优质版权资源,持续改进完善移动阅读平台的产品应用功能,为读者提供更好的阅读体验。"
600138.SH,中青旅,在线旅游,"公司将遨游网的经营实体与中青旅国际商务公司进行了机构与人员的整合,成立了中青旅电子商务总部,并将遨游网与青旅在线合并成为中青旅遨游网,将尽快完成从中青旅百变自由行网站到度假门户网站的升级。经过近3年的培育,入境在线网站既能为需要全程服务的入境度假旅游者提供在线实时定制个性化包价产品,也能为需要简单服务的入境游客提供在线动态打包自由行产品,实时预订,线上支付的优势明显,成为具有个性化和差异化的特色入境旅游网站。"
300128.SZ,锦富技术,智能家居,"北京算云是智能家居领域的平台型公司,研发实力突出。目前其主要产品包括微型网络数据终端、智能无线AP、微型网络数据终端单机版和智能遥控器等,并且能够提供基于上述产品和配套系统的智能家居解决方案。"
600201.SH,生物股份,流感,"2019年年报显示公司拥有口蹄疫和高致病性禽流感两大强制免疫疫苗农业部定点生产资质,工艺技术和产品质量保持国内领先水平。"
300265.SZ,通光线缆,军民融合,"2019年年报显示公司拥有民品产品生产准入资质,包括《电力专用通信设备进网许可证》、《全国工业产品生产许可证》等,同时还具有军工产品生产准入资质。"
603139.SH,康惠制药,农业种植,公司控股子公司春盛药业是集中药材种植、生产、加工、贸易为一体的全产业链公司。
300489.SZ,光智科技,军工,"由于核燃料加工专用设备与核安全及核能的应用密切相关,资质和技术壁垒很高,国内只有公司,西北铝和北京621所三家参研单位被遴选为专用设备用铝合金材料的供应商,三家供应商所供应的高性能铝合金材料销售额大约各占市场总采购额的1/3,2014年公司为该行业提供产品的销售额占市场采购总额比约为38%,预计未来随着核燃料加工专用设备的发展及公司募投项目投产,公司的市场占有率将保持在40%左右。截止2015年4月30日,公司在手订单达6297.33万元。"
002229.SZ,鸿博股份,数字水印,"2023年2月15日回复称公司自成立以来,不断引进新的产线和技术,引导全国各生产基地朝智能化工厂方向推进。防伪技术方面,公司主要产品为安全票证,采用了综合防伪,已将主要的防伪技术(含数字水印、数字印刷等技术)应用于主要产品并获得相关的专利授权。"
300523.SZ,辰安科技,国企改革,公司的实际控制人为国务院国有资产监督管理委员会。
300510.SZ,金冠股份,特高压,"公司在互动平台称:公司生产产品涉及到40.5kV及以下产品,该电压等级隶属于特高压1000kV下游的配电侧及需求侧,产业之间互相关联,并且分处于电网的上下游,相互之间关联。"
300241.SZ,瑞丰光电,MicroLED,2020年7月20日回复称公司目前重点将资金和人才投入到激光、MiniLED和MicroLED等新型显示技术。
688582.SH,芯动联科,商业航天,"2024年4月28日投资者关系活动记录表显示,预计未来三到五年内国内将发射数万颗微纳卫星,这个规划对公司产生了积极影响,因为公司已经有产品在该领域上运用并持续多年,未来几年微纳卫星的需求将成为主要的下游需求之一。"
300213.SZ,佳讯飞鸿,空间站,2020年5月6日回复称公司曾承担了“神舟”、“嫦娥”、“天宫”、“长征”系列的载人航天和运载火箭发射的通信保障任务。
002312.SZ,川发龙蟒,农业种植,"2020年年报显示公司实行“肥盐结合,梯级开发”的经营模式,主要利用磷资源生产精细磷酸盐,同时具备利用工业级磷酸盐副产品生产各种专用复合肥,通过资源的综合利用实现了磷酸盐与复合肥效益最大化。"
300480.SZ,光力科技,华为,2023年4月11日回复称公司在煤矿领域已经成为华为认证级开发伙伴。
300470.SZ,中密控股,西部大开发,注册地址是四川省成都市武侯区武科西四路八号。
300460.SZ,惠伦晶体,光刻机(胶),"2021年5月31日回复称公司掌握了实现高基频、小型化的关键技术——基于半导体技术的光刻工艺,且已完成光刻生产线的安装调试并开始小批量生产。公司的光刻工艺主要应用于MHz领域,既能实现晶片的小型化,也能实现晶片的高基频。"
300169.SZ,天晟新材,OLED,2023年6月20日回复称公司全资子公司常州昊天新材料科技有限公司生产的Ackron高吸震复合材料、OLED屏下一体化泡棉胶带、PI胶带、铜箔胶带等产品可用于OLED产品。
688777.SH,中控技术,新型工业化,"公司致力于面向流程工业企业的“工业3.0+工业4.0”需求,提供以自动化控制系统为核心,涵盖工业软件、自动化仪表及运维服务的技术和产品,形成具有行业特点的智能制造解决方案,赋能用户提升自动化、数字化、智能化水平,实现工业企业高效自动化生产和智能化管理。"
