股票代码,股票简称,最新价,最新涨跌幅,所属概念,公司亮点,所属同花顺行业,所属指数类,所属概念数量,a股市值(不含限售股)[20230920],最新dde大单净额,总股本[20230920],市盈率(pe)[20230920],market_code,code
002855.SZ,捷荣技术,29.70,10.000,智能穿戴;华为概念;三星;无线耳机;VR设备;虚拟现实;智能制造;消费电子概念;智能家居,多家全球知名品牌厂商精密模具和精密结构件的主要供应商,电子-消费电子-消费电子零部件及组装,中小综指;中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;深证A指;深证综指;电子指数,9,7309663600.000,230048272.000,246419682.00,-78.043,33,002855
003015.SZ,日久光电,11.99,10.000,触摸屏;小米概念;消费电子概念;PET铜箔;华为概念;柔性屏,江苏省光学导电薄膜工程技术研究中心,电子-光学光电子-光学元件,中小综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;深证A指;深证综指;电子指数,6,2322219100.000,9990140.000,281066667.00,919.334,33,003015
603270.SH,金帝股份,44.45,9.998,专精特新;新能源汽车;风电;转融券标的;注册制次新股;新股与次新股;融资融券,国家级专精特新“小巨人”，主营轴承保持架、汽车精密零部件,机械设备-通用设备-金属制品,同花顺全A,7,2179806800.000,83810797.000,219106667.00,54.116,17,603270
002896.SZ,中大力德,36.45,9.988,工业4.0;国产替代;机器人概念;减速器;智能制造;共同富裕示范区;长三角一体化,较早进入减速器和减速电机行业,机械设备-通用设备-金属制品,中小综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;深证A指;深证综指;通用指数,7,5510193300.000,164849838.000,151171285.00,82.800,33,002896
000004.SZ,国华网安,16.64,9.980,壳资源;网络安全;5G;车联网;电力物联网;中科系;物联网;华为概念;数据安全;鸿蒙概念;摘帽;信创,子公司智游网安是目前国内同行业中拥有各类经营资质或许可较全的企业之一,计算机-计算机应用-软件开发,IT指数;中证A股;中证流通;同花顺全A;新指数;深证A指;深证综指,12,2101433900.000,76364074.000,132380282.00,-39.440,33,000004
002481.SZ,双塔食品,4.63,9.976,燃料乙醇;转融券标的;深股通;渤海粮仓;富时罗素概念;富时罗素概念股;预制菜;海底捞概念;人民币贬值受益;人造肉;融资融券;地方国企改革;国企改革,全国最大的豌豆蛋白生产企业，已研制“人造肉”新品,农林牧渔-农产品加工-其他农产品加工,中小300;中小创新;中小基础;中小综指;中证1000;中证1000USD;中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;深证1000;深证700;深证A指;深证综指;食品指数,13,5177004900.000,52179716.900,1233696500.00,-41.763,33,002481
600630.SH,龙头股份,7.17,9.969,国产伟哥;埃博拉概念;进口博览会;网红经济;新零售;跨境电商;迪士尼;融资融券;转融券标的;上海国企改革;地方国企改革;国企改革;参股银行;三胎概念;电子商务,上海国资委控股企业，拥有现代化纺织品制造基地,纺织服装-服装家纺-服装,A股指数;上证指数;上证流通;中型综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,15,3046257700.000,115739311.000,424861597.00,142.362,17,600630
600355.SH,精伦电子,3.87,9.943,数字电视;语音技术;智能电视;电子信息;物联网平台层;物联网;壳资源;新基建;OLED;云计算;国产软件;人脸识别;人工智能;国产操作系统;在线教育;电子身份证;机器视觉;机器人概念;充电桩;华为概念;工业互联网,智能控制产品拥有技术优势，缝制机械数控系统行业排名第一,通信-通信设备-通信终端及配件,A股指数;上证指数;上证流通;中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,21,1904385200.000,101307678.000,492089200.00,-47.758,17,600355
002406.SZ,远东传动,6.97,9.937,军民融合;工业4.0;军工;中原经济区;新能源汽车;中俄贸易概念;华为概念;机器人概念,国内最大的非等速传动轴生产企业,交运设备-汽车零部件-汽车零部件Ⅲ,中小综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;汽车指数;深证A指;深证综指,8,3458872600.000,210869312.000,624261047.00,50.876,33,002406
300921.SZ,南凌科技,26.08,9.488,转融券标的;云计算;VPN;数据中心;网络安全;华为概念;大数据;阿里巴巴概念;东数西算（算力）;融资融券;信创;数字经济;区块链;一带一路;数据安全;智慧政务;智慧党建;边缘计算;算力租赁,通信行业领先的专用网络服务提供商,通信-通信服务-通信服务Ⅲ,IT指数;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;创业板综;同花顺全A;新指数;深证A指;深证综指,19,1604998900.000,11861533.300,131557770.00,104.939,33,300921
300479.SZ,神思电子,20.00,9.349,智能终端;独角兽概念;人脸识别;移动支付;互联网医疗;机器人概念;无人零售;网络安全;国产操作系统;专精特新;服务机器人;商汤科技概念;电子身份证;数字货币;人工智能;信创;融资融券;转融券标的;华为概念;智慧政务;智慧灯杆;边缘计算;地方国企改革;山东国企改革;国企改革;ChatGPT概念;百度概念;机器视觉,专注于身份识别领域，行业处于领先优势,计算机-计算机设备-计算机设备Ⅲ,中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指;电子指数,28,3940817300.000,11260396.000,197040865.00,-91.541,33,300479
300765.SZ,新诺威,17.57,8.725,保健品;深股通;维生素;转融券标的;融资融券;送转填权;创新药,公司“果维康”商标为中国驰名商标，产品为维生素C含片和咖啡因,医药生物-化学制药-原料药,中小创新;中证1000;中证1000USD;中证A股;中证全指;中证流通;创业300;创业基础;创业板综;制造指数;同花顺全A;新指数;深证1000;深证700;深证A指;深证综指;食品指数,7,18263318000.000,46346805.000,1170742154.00,25.673,33,300765
301509.SZ,金凯生科,90.34,8.321,氟化工概念;生物医药;人民币贬值受益;转融券标的;新股与次新股;注册制次新股;融资融券;CRO概念;减肥药;氢能源;新冠特效药;深股通,面向全球生命科技领域客户的小分子CDMO服务商,医药生物-医疗服务-医疗研发外包,创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,12,1842814500.000,-880246.000,86033335.00,34.730,33,301509
603933.SH,睿能科技,20.36,7.327,工业4.0;集成电路概念;存储芯片;机器人概念;汽车电子;福建自贸区,拥有了多项针织横机电控系统 、IC产品行业领先的核心技术,电子-其他电子-其他电子Ⅲ,A股指数;上证150;上证指数;上证流通;中型综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,6,4172154900.000,28514037.000,210508200.00,48.250,17,603933
603768.SH,常青股份,16.01,7.162,汽车制造概念;新能源汽车;比亚迪概念;一体化压铸;半年报预增,国内较早从事并持续专注于汽车冲压及焊接零部件业务的专业生产企业,交运设备-汽车零部件-汽车零部件Ⅲ,A股指数;上证指数;上证流通;中型综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,5,3266040000.000,19059268.000,204000000.00,18.088,17,603768
688716.SH,中研股份,31.78,7.148,转融券标的;科创次新股;注册制次新股;新股与次新股;融资融券,国内最大、全球前四的PEEK(聚醚醚酮)生产商,基础化工-化工合成材料-合成树脂,同花顺全A,5,868194230.000,199187992.000,121680000.00,81.871,17,688716
002261.SZ,拓维信息,18.17,7.134,SNS概念;电子商务;移动支付;电子信息;融资融券;转融券标的;动漫;大数据;边缘计算;云计算;工业互联网;手机游戏;深股通;富时罗素概念;国产操作系统;华为概念;鸿蒙概念;幼儿教育;SAAS;托育服务;三胎概念;东数西算（算力）;国产软件;智能交通;华为鲲鹏;智能制造;物联网;在线教育;人工智能;机器人概念;虚拟数字人;信创;智慧政务;算力租赁;液冷服务器,以教育科技、软件服务、移动游戏为主营业务的互联网公司,计算机-计算机应用-软件开发,IT指数;中创400;中创500;中小300;中小创新;中小基础;中小综指;中证1000;中证1000USD;中证A股;中证全指;中证流通;同花顺全A;新指数;深证1000;深证700;深证A指;深证综指,35,20377029000.000,670168090.000,1253855174.00,197.031,33,002261
300238.SZ,冠昊生物,14.58,7.127,人工角膜;细胞免疫治疗;医疗器械概念;创投;干细胞;银屑病;眼科医疗;流感;口罩;生物医药;生物疫苗;医美概念;医保目录;化妆护肤品;创新药,再生医学材料及再生型医用植入器械的研发、生产的高科技企业,医药生物-医疗器械-医疗耗材,专用指数;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;创业基础;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,15,3865654900.000,9729005.000,265155701.00,62.875,33,300238
002685.SZ,华东重机,4.20,6.599,高端装备;航运概念;一带一路;机械装备;口罩;富时罗素概念股;机器人概念;工业母机;工业4.0;融资融券;转融券标的;光伏概念;TOPCON电池;华为概念,全球领先的港口装卸设备供应商，消费电子数控机床整体销售规模国内居前,机械设备-通用设备-机床工具,中小综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;制造指数;同花顺全A;新指数;深证A指;深证综指;通用指数,14,3414131600.000,-4316994.000,1007690641.00,-46.494,33,002685
832089.BJ,禾昌聚合,14.05,6.520,融资融券,全国领先的改性塑料专业服务商,基础化工-化工合成材料-改性塑料,中证A股;中证流通;北证50,1,938347500.000,,107620000.00,14.325,151,832089
300106.SZ,西部牧业,10.08,6.441,新疆建设兵团;家庭农场;奶牛养殖;新疆振兴;牛羊肉;乳业;乳粉;饲料;西部开发;三胎概念;地方国企改革;国企改革;平安资管持股;新零售,位于我国三大牧区之一的新疆，拥有国内连续的科研成果,食品饮料-食品加工制造-乳品,中证A股;中证全指;中证流通;农林指数;创业板综;同花顺全A;新指数;深证A指;深证综指,14,2130229700.000,1072620.000,211332310.00,343.799,33,300106
603987.SH,康德莱,10.61,6.419,分拆上市意愿;医疗器械概念;专精特新;沪股通,国内拥有完整医用穿刺器械产业链的综合性生产企业,医药生物-医疗器械-医疗耗材,A股指数;上证指数;上证流通;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;商业指数;新综指,4,4679028900.000,61576507.000,441001780.00,17.511,17,603987
600075.SH,新疆天业,5.21,6.327,循环经济;抗旱;新疆建设兵团;新疆发展;新疆振兴;新能源;乙二醇;生态农业;水利;电石;PVC;一带一路;煤化工;融资融券;烧碱;转融券标的;西部开发;富时罗素概念股;标普道琼斯A股;可降解塑料;沪股通;水泥概念;节水灌溉;地方国企改革;国企改革;平安资管持股,新疆兵团首家上市公司，树脂生产技术、节水滴灌技术优势明显,基础化工-化学原料-氯碱,A股指数;上证380;上证指数;上证流通;中证1000;中证1000USD;中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,26,6610374800.000,-5917793.200,1707361193.00,-7.564,17,600075
688205.SH,德科立,57.99,6.131,融资融券;转融券标的;5G;专精特新;共封装光学（CPO）;芯片概念;F5G概念;沪股通,光模块厂商，最大客户为中兴通讯,通信-通信设备-通信网络设备及器件,A股指数;上证指数;上证流通;中证A股;中证流通;同花顺全A;工业指数;新综指,8,2717741100.000,661230.500,100744021.00,61.121,17,688205
301293.SZ,三博脑科,69.15,6.058,转融券标的;民营医院;新股与次新股;融资融券;智能医疗;注册制次新股;脑机接口;深股通,国内知名的神经专科医疗集团，累计完成神经外科手术量居全国前列,医药生物-医疗服务-其他医疗服务,创业板综;同花顺全A;新指数;深证A指;深证综指,8,2359691300.000,-5792509.000,158451529.00,125.482,33,301293
301298.SZ,东利机械,17.10,5.751,融资融券;转融券标的;新能源汽车;人民币贬值受益;汽车制造概念;高铁;智能制造;油气装备;机器人概念;机器视觉;减速器,一家专业从事汽车机械零件生产加工、国际销售的现代化企业,交运设备-汽车零部件-汽车零部件Ⅲ,中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;创业板综;制造指数;同花顺全A;新指数;深证A指;深证综指,11,1399696000.000,5069949.000,146800000.00,42.282,33,301298
603083.SH,剑桥科技,44.41,5.713,宽带中国;物联网;智能家居;5G;工业互联网;新基建;边缘计算;华为概念;融资融券;转融券标的;人民币贬值受益;F5G概念;WiFi 6;共封装光学（CPO）;沪股通,外销为主的ICT终端设备制造商，主要客户已基本涵盖了下游全球主要的通信设备提供商,通信-通信设备-通信终端及配件,A股指数;上证150;上证指数;上证流通;中型综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指;科技100,15,11568946300.000,366166714.000,268104941.00,38.180,17,603083
603496.SH,恒为科技,19.29,5.468,云计算;网络切片;国产软件;网络安全;IPV6;数字孪生;国产操作系统;物联网;国产替代;智慧城市;人工智能;大数据;机器学习;工业4.0;华为概念;数据中心;边缘计算;鸿蒙概念;数据安全;专精特新;东数西算（算力）;5G;能源互联网;工业互联网;智能制造;智能电网;机器人概念;信创;创投;军工;新能源,国产自主可控硬件、软件和系统级技术能力上均达到了领先水平,计算机-计算机设备-计算机设备Ⅲ,A股指数;上证150;上证指数;上证流通;中型综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,31,6176836300.000,17681145.200,320209243.00,183.313,17,603496
603256.SH,宏和科技,9.12,5.312,苹果概念;国产替代;专精特新;智能制造;5G;华为概念;消费电子概念,主营中高端电子级玻璃纤维布的研发、生产和销售,建筑材料-建筑材料-玻璃玻纤,A股指数;上证指数;上证流通;中型综指;中证2000;中证2000EUR;中证2000GBP;中证2000HKD;中证2000USD;中证2000USD(CNH);中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,7,8023114800.000,18664417.000,882512500.00,-194.195,17,603256
002776.SZ,*ST柏龙,2.01,5.236,虚拟现实;体育产业;网红经济;口罩;C2M概念;医疗器械概念;ST板块,国内最具规模，配套服务最齐全的服装设计企业之一,纺织服装-服装家纺-服装,中小综指;同花顺全A;深证A指;深证综指,7,1081358100.000,3096290.500,537989106.00,-22.369,33,002776
300134.SZ,大富科技,10.09,5.214,电子信息;基站射频;虚拟现实;小米概念;OLED材料;石墨烯;转融券标的;苹果概念;特斯拉;深股通;富时罗素概念;华为概念;消费电子概念;元宇宙;新型烟草;5G;融资融券;工业母机;在线教育;AIGC概念;人工智能;锂电池;空间计算;云游戏;文化传媒;新能源汽车;3D打印,国内领先的移动通信基站射频器件、射频结构件的提供商,通信-通信设备-通信网络设备及器件,中小创新;中证1000;中证1000USD;中证A股;中证全指;中证流通;创业300;创业基础;创业板综;制造指数;同花顺全A;新指数;深证1000;深证700;深证A指;深证综指;电子指数,27,7188297700.000,35769050.000,767498006.00,757.797,33,300134
002656.SZ,ST摩登,2.23,5.189,虚拟现实;腾讯概念;分拆上市意愿;区块链;ST板块;三胎概念;新能源汽车,专业经营卡奴迪路(CANUDILO)品牌高级男装服饰的企业,纺织服装-服装家纺-服装,中小综指;同花顺全A;深证A指;深证综指,7,1359090300.000,-1694487.600,712519844.00,-20.302,33,002656
600759.SH,ST洲际,2.84,5.185,参股保险;土地流转;三沙;海南旅游岛;一带一路;海南自贸区;油品改革;俄乌冲突概念;ST板块;人民币贬值受益,立足中亚的专业化石油勘探开发企业,石油石化-油气开采及服务-油气开采,同花顺全A,10,6413242600.000,4941410.000,2263507518.00,-204.189,22,600759
600530.SH,*ST交昂,2.65,5.159,养老概念;保健品;高校;电子商务;幽门螺杆菌概念;ST板块,中国保健品十大最具公信力品牌,食品饮料-食品加工制造-其他食品,同花顺全A,6,2053538000.000,5285938.500,774920000.00,-49.664,22,600530
000046.SZ,*ST泛海,3.08,5.120,土地流转;金控平台;参股券商;期货概念;参股保险;宁德时代概念;信托概念;富时罗素概念;蚂蚁金服概念;北汽新能源;标普道琼斯A股;蔚来汽车概念;物业管理;一带一路;富时罗素概念股;ST板块,房地产项目均位于国内外重点城市核心地段，区位优势明显,房地产-房地产开发-住宅开发,同花顺全A;深证A指;深证综指,16,15934508000.000,-110183250.000,5196200656.00,-1.905,33,000046
603863.SH,松炀资源,22.60,5.116,节能环保;粤港澳大湾区;循环经济,环保再生纸的研发、 生产及销售为一体的国家高新技术企业,轻工制造-造纸-造纸Ⅲ,A股指数;上证指数;上证流通;中型综指;中证A股;中证全指;中证流通;同花顺全A;工业指数;新综指,3,4625090000.000,9286556.000,204650000.00,-30.604,17,603863
000839.SZ,ST国安,2.26,5.116,数字电视;虚拟现实;VR直播;广播电视;文化传媒;富时罗素概念;富时罗素概念股;ST板块;央企国企改革;富媒体,信息产业为主营的高科技上市企业，在广电行业具有较强的影响力,通信-通信服务-通信服务Ⅲ,同花顺全A;深证A指;深证综指,10,8858807600.000,7448808.000,3919826352.00,66.279,33,000839
002586.SZ,*ST围海,2.88,5.110,舟山自贸区;文化传媒;海洋经济;海绵城市;海岛整治修复;雄安新区;影视娱乐;水利;PPP概念;ST板块;facebook概念;地方国企改革;国企改革,国内现代海堤工程施工专业化水平位居前列的企业,建筑装饰-建筑装饰-基础建设,中小综指;同花顺全A;深证A指;深证综指,13,2583239900.000,2357742.000,1144223714.00,-32.680,33,002586
002808.SZ,ST恒久,6.44,5.057,区块链;激光;燃料电池;网络安全;信创;医疗器械概念;智能制造;安防;光伏概念;数字经济;数据安全;NFT概念;云计算;ST板块,世界少数几家掌握激光光导鼓行业一整套核心技术并拥有专用设备系统集成能力的厂家，市占率国内居前,电子-光学光电子-光学元件,中小综指;同花顺全A;深证A指;深证综指;通用指数,14,1199286420.000,2868306.900,268800000.00,-217.113,33,002808
000584.SZ,ST工智,4.80,5.033,工业4.0;高端装备;蔚来汽车概念;工业机器人;人工智能;机器人概念;新能源汽车;特斯拉;军工;比亚迪概念;理想汽车概念;专精特新;智能制造;锂电池;医疗机器人;ST板块;医美概念,以智能制造和工业机器人为主营业务，人工智能为研究方向,机械设备-自动化设备-机器人,专用指数;同花顺全A;深证A指;深证综指,17,3596295800.000,14961732.000,760937577.00,568.839,33,000584
600365.SH,ST通葡,4.60,5.023,振兴东北;健康中国;电子商务;老字号;ST板块;白酒概念,通化产区拥有众多的葡萄酒代表品牌，国内甜型葡萄酒的代表,商贸零售-互联网电商-互联网电商Ⅲ,中型综指;同花顺全A,6,1886736000.000,1172553.900,427400000.00,-13.784,22,600365
600599.SH,ST熊猫,13.60,5.019,互联网金融;ST板块,中国最大的出口鞭炮烟花公司，国际烟花行业唯一的上市公司,轻工制造-家用轻工-其他家用轻工,同花顺全A,2,2257600000.000,6639757.700,166000000.00,27.337,22,600599
000752.SZ,*ST西发,11.73,5.013,啤酒概念;ST板块;大消费,西藏自治区唯一的啤酒生产企业,食品饮料-饮料制造-啤酒,同花顺全A;深证A指;深证综指,3,3093887100.000,-29018317.000,263758491.00,-84.343,33,000752
000971.SZ,ST高升,2.11,4.975,京津冀一体化;云计算;大数据;ST板块;VPN;网络切片;数据安全;华为概念;智慧政务;工业互联网,中国领先的综合云基础服务集成商,通信-通信服务-通信服务Ⅲ,同花顺全A;深证A指;深证综指,10,1786449400.000,6207077.000,1048590126.00,-108.179,33,000971
600671.SH,*ST目药,9.94,4.963,眼科医疗;养老概念;中医药;健康中国;医保目录;壳资源;ST板块,公司拥有两大驰名商标，薄荷素油占国内近一半市场份额,医药生物-中药-中药Ⅲ,同花顺全A,7,1209902100.000,1806314.000,121778885.00,-25.842,22,600671
002592.SZ,ST八菱,5.29,4.960,文化传媒;燃料电池;ST板块;新能源汽车;细胞免疫治疗;网络游戏;专精特新;汽车热管理;华为概念,热交换器产品的设计、制造领域领先企业,交运设备-汽车零部件-汽车零部件Ⅲ,中小综指;同花顺全A;深证A指;深证综指,9,1389765000.000,13534937.300,283331157.00,48.190,33,002592
000996.SZ,*ST中期,4.89,4.936,互联网期货;期货概念;ST板块,以期货、物流、电子信息为核心业务的现代服务企业,交运设备-汽车服务-汽车服务Ⅲ,同花顺全A;深证A指;深证综指,3,1687050000.000,4693250.850,345000000.00,6368.073,33,000996
600112.SH,ST天成,3.21,4.902,黔中经济区;互联网金融;稀有金属;辉钼;小额贷款;高端装备;融资租赁;智慧城市;智能电网;移动金融;钼;中非合作;小金属概念;壳资源;ST板块;参股保险,高压电器元件领域享有较高的知名度,电力设备-电力设备-输变电设备,同花顺全A,16,1634547600.000,6920422.000,509204846.00,-13.116,22,600112
000976.SZ,ST华铁,2.14,4.902,线型;高铁;新基建;富时罗素概念;锂电池;标普道琼斯A股;新能源汽车;富时罗素概念股;铁路基建;ST板块;污水处理,中国高铁和轨道交通行业配套设备的龙头企业,交运设备-非汽车交运-轨交设备,交运指数;同花顺全A;深证A指;深证综指,11,3412530200.000,9829176.000,1595678796.00,42.603,33,000976
000007.SZ,*ST全新,4.71,4.900,口罩;粤港澳大湾区;金融科技;ST板块,物业管理和房屋租赁业稳定发展,商贸零售-零售-商业物业经营,同花顺全A;深证A指;深证综指,4,1455145300.000,-2873414.430,346448044.00,67.224,33,000007
