证券代码,证券名称,流通市值,总市值,最新价,涨跌幅,振幅,成交额,换手率,所属同花顺行业,三级行业,二级行业,一级行业,主营产品,投资逻辑,公司亮点,沪深指数,所属概念,异动值
001696.SZ,宗申动力,91.81,117.94,10.3,10.04,13.89,19.94,22.57,机械设备-通用设备-其他通用设备,摩托车,两轮车,汽车,通机产品,国内小型紧凑型动力产品制造龙头企业,摩托发动机、通机系列产品销量一直稳居国内市场前列,中证1000,"军工,农机,乡村振兴,新能源汽车,航空发动机,人民币贬值受益,小额贷款,汽车电商,军民融合,军用无人机,通用航空,两江新区,北交所,氢能源,东盟自贸区,储能,两轮车,机器人,专精特新,燃料电池,成渝特区,无人机",69.89186302365668
002296.SZ,辉煌科技,27.79,31.17,8.0,10.04,0.0,0.42,1.52,通信-通信设备-通信网络设备及器件,交通管理,计算机,科技,轨道交通监控产品,铁路监控产品领域领先企业,大交通互联网基础设施产品和服务供应商，向飞机、高铁提供WiFi系统,中证2000,"智能交通,空铁WIFI,卫星导航,轨道交通,工业互联网,新基建,大飞机,高端装备,河南自贸区,铁路基建,区块链,地震,安防,高铁,信创,储能,专精特新,互联网彩票",1.2198657037028582
002207.SZ,准油股份,14.87,14.94,5.7,10.04,6.76,1.63,11.05,石油石化-油气开采及服务-油服工程,油服工程,石油,资源,石油技术,西部地区首屈一指的一体化油田稳产、增产技术服务企业,新疆唯一的大中型储油罐机械清洗等新兴石油技术服务提供商,,"天然气,新疆发展,页岩气,新疆振兴,国企改革,地方国企改革,油气开采,俄乌冲突,油品改革",5.483278904520938
603309.SH,维力医疗,33.82,34.07,11.62,10.04,9.19,0.5,1.51,医药生物-医疗器械-医疗耗材,医疗耗材,医疗器械,生物医药,留置导尿管,公司是全球医用导管主要供应商之一,公司是全球医用导管主要供应商之一,中证2000,"医疗器械,人民币贬值受益",1.391529147812518
002590.SZ,万安科技,66.92,70.46,14.69,10.04,8.16,11.22,17.18,交运设备-汽车零部件-汽车零部件Ⅲ,刹车,汽车零部件,汽车,制动系统,汽车底盘控制系统一级供应商,致力于汽车制动系统零部件的研发和制造,中证2000,"军工,飞行汽车(eVTOL),新能源汽车,无人驾驶,长安汽车,独角兽,比亚迪,低空经济,蔚来汽车,理想汽车,小鹏汽车,无线充电,年报预增,车联网,汽车电子,毫米波雷达",27.227846383342445
002566.SZ,益盛药业,16.53,23.6,7.13,10.03,3.09,0.4,2.41,医药生物-中药-中药Ⅲ,中药,中药,生物医药,振源胶囊,吉林地区中医药行业的骨干企业,医药、中药饮片、化妆品、保健食品四大事业综合型企业,中证2000,"流感,贸易战受益股,乡村振兴,肝炎,毛发医疗,农业种植,健康中国,保健品,高血压药,人参,中医药,新零售,化妆护肤品,新冠特效药,医保目录",1.309214911008009
002343.SZ,慈文传媒,36.48,36.48,7.68,10.03,11.32,2.77,7.9,传媒-传媒-影视院线,影视,传媒,科技,影视+游戏,影视剧制作龙头企业,国内第一批被授予电视剧制作经营许可证的民营影视公司,中证2000,"腾讯,元宇宙,国企改革,动漫,文化传媒,养老金持股,地方国企改革,短剧游戏,虚拟现实,影视娱乐,手机游戏,IP",8.888617650895226
603500.SH,祥和实业,28.55,28.83,11.74,10.03,9.65,0.3,1.06,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,轨道扣件,国内轨道扣件、电子元器件配件行业知名龙头企业,国内轨道扣件非金属部件领域具有较高知名度的企业,,"轨道交通,互联网金融,高铁,新基建",0.8650131401245004
603017.SH,中衡设计,25.74,25.74,9.33,10.02,0.0,0.48,1.87,建筑装饰-建筑装饰-工程咨询服务,工程设计,工程设计,建筑业,工程设计咨询,境内建筑设计领域第一家IPO上市公司,工程设计、项目管理及总承包业务中达到了国内领先水平,中证2000,"新型城镇化,建筑节能,光伏建筑一体化,装配式建筑,杭州亚运会,虚拟现实,数字孪生,独角兽,一带一路,数据中心,元宇宙",1.4144151822933473
002483.SZ,润邦股份,49.57,49.64,5.6,10.02,8.64,4.48,9.36,机械设备-专用设备-能源及重型设备,船舶,军工,公共事业,物料搬运装备,全球最专业、最具规模的船舶舱口盖制造基地之一,全球最专业、最具规模的船舶舱口盖制造基地之一,中证2000,"国企改革,固废处理,海上风电,机械装备,海洋经济,天然气,高端装备,医疗废物处理,风电,地方国企改革,广东国企改革,危废处理,一带一路,污水处理,海工装备,航运港口",11.492662708236894
603324.SH,盛剑环境,31.97,32.05,25.7,10.02,1.93,0.71,2.22,环保-环保-环保设备,环保设备,环保,公共事业,大气治理,A股首家泛半导体工艺废气治理行业上市公司,中国泛半导体产业提供工艺废气治理系统解决方案的国内具有较强综合实力企业,中证2000,"节能环保,中芯国际,华为,光刻胶,华为海思,集成电路,专精特新,宁德时代",1.994688035956815
002835.SZ,同为股份,30.62,52.81,24.06,10.01,0.0,1.44,4.7,计算机-计算机设备-计算机设备Ⅲ,安防,计算机,科技,硬盘录像机,视频安全领域国际一流产品和系统方案提供商,国内为数不多的视频监控设备供应商之一，海外营收占比维持在90%以上,中证2000,"流媒体,网络安全,安防,数据安全,人民币贬值受益,人脸识别,人工智能,数字经济,智慧城市",4.078138861584722
600301.SH,华锡有色,45.38,104.25,16.48,10.01,6.01,5.12,11.44,有色金属-小金属-其他小金属,小金属,有色金属,资源,锡,旗下矿山铟储量世界第一.锡、锑储量量全国居前,主要从事贸易业务，也是广西最大的综合性化工企业,中证2000,"地方国企改革,小金属,国企改革",13.351649794504267
605198.SH,安德利,119.2,153.77,44.06,10.01,13.68,1.66,1.46,食品饮料-饮料制造-软饮料,软饮,饮料,必需消费,浓缩果汁,公司浓缩果汁加工能力和生产规模居世界首位,世界浓缩果汁主要生产与供应商之一,中证2000,"大消费,乡村振兴",5.44962729767327
603929.SH,亚翔集成,56.5,56.5,26.48,10.01,11.97,3.88,7.2,建筑装饰-建筑装饰-专业工程,洁净室,半导体,科技,洁净系统集成工程,高端洁净室工程领域拥有较高的市场份额，行业知名品牌,高端洁净室工程领域拥有较高的市场份额，行业知名品牌,中证2000,"柔性屏,中芯国际,环境监测,华为,富士康,芯片设备,台湾,OLED,年报预增",12.262354241421557
001360.SZ,南矿集团,11.42,28.48,13.96,10.01,11.51,0.48,4.26,机械设备-专用设备-能源及重型设备,煤矿设备,机械设备,机械,矿机装备,国内技术领先的中高端矿机装备供应服务商之一,国家级“专精特新”小巨人，主营砂石骨料和金属矿山相关的破碎、筛分设备,中证2000,"高端装备,智能制造,中俄贸易,一带一路,专精特新",2.068426651326667
603209.SH,兴通股份,28.0,42.78,15.28,10.01,11.23,1.14,4.16,交通运输-港口航运-航运,航运,水运,交通运输,石化产品水运,在交通运输部的新增船舶运力评审中连续多次排名第一,在交通运输部的新增船舶运力综合评审中连续多次排名第一,中证2000,航运,3.8325348916075694
002992.SZ,宝明科技,35.08,82.48,44.76,10.0,11.53,1.47,4.34,电子-光学光电子-LED,LED,消费电子,科技,LED背光模组,LED背光源行业领先企业之一和PET铜箔行业潜力龙头,主营LED背光源模组及电容式触摸屏，拟投建PET铜箔,,"MiniLED,华为,消费电子,新能源汽车,锂电池,PET铜箔,虚拟现实,小米,锂电原料,比亚迪,无人机",4.872531940263706
603610.SH,麒盛科技,42.19,42.19,11.77,10.0,0.0,0.43,1.03,轻工制造-家用轻工-家具,家具,家居装修,建筑业,智能电动床,智能电动床生产领域知名企业,睡眠科技助力2022北京冬奥,中证2000,"年报预增,大数据,鸿蒙,人民币贬值受益,冬奥会,脑机接口,养老,智能家居,三胎",1.1365899234195058
603261.SH,立航科技,9.37,27.91,35.64,10.0,11.36,3.15,34.74,国防军工-国防军工-航空装备,飞机,军工,公共事业,飞机地面保障设备,航空工业重要主机厂飞机地面保障设备的重要供应商,飞机地面保障设备开发制造龙头企业，为业内首家A股上市公司,中证2000,"高端装备,军工,低空经济,成飞,可控核聚变,智能制造,军民融合,大飞机,无人机",14.062857221862757
600968.SH,海油发展,469.63,469.63,4.62,10.0,10.0,8.33,1.82,石油石化-油气开采及服务-油服工程,油服工程,石油,资源,能源技术服务,海油生产服务、FPSO运营等综合能源技术服务公司,海洋石油生产服务 、FPSO生产技术服务等综合类采掘服务企业,中证500,"卫星导航,国企改革,碳交易,锂电池,航运,天然气,碳中和,风电,氢能源,LNG动力船,节能减排,储能,机器人",14.667139856736332
603486.SH,科沃斯,221.08,223.9,38.84,10.0,12.43,5.52,2.64,家用电器-小家电-小家电Ⅲ,小家电,家电,可选消费,家庭服务机器人,国内领先的家庭服务机器人和清洁类小家电制造商,国内领先的家庭服务机器人和清洁类小家电制造商,沪深300,"服务机器人,家用电器,MSCI,人工智能,机器人,数据中心,智能家居",14.460289238512711
603657.SH,春光科技,29.31,29.84,21.68,9.99,6.75,2.86,9.94,家用电器-白色家电-其他白色家电,小家电,家电,可选消费,清洁电器软管,清洁电器软管及配件产品的领域拥有较强的技术优势,清洁电器软管及配件产品的领域拥有较强的技术优势,,"专精特新,小米",8.155669135265333
002085.SZ,万丰奥威,341.21,341.21,16.07,9.99,12.05,64.12,19.74,交运设备-汽车零部件-汽车零部件Ⅲ,轮胎,汽车零部件,汽车,涂装轮,全球最大的铝轮生产基地,镁合金深加工业务全球领导者，全球最大的铝合金轮毂生产基地,中证1000,"特斯拉,航空航天,飞行汽车(eVTOL),新能源汽车,航空发动机,碳纤维,比亚迪,汽车制造,通用航空,碳中和,风电,低空经济,节能环保,蔚来汽车,共同富裕示范区,小鹏汽车,一体化压铸,北汽新能源,MSCI,恒大,海工装备,无人机",151.079444968524
000422.SZ,湖北宜化,100.93,106.0,10.02,9.99,10.43,2.42,2.45,基础化工-化学制品-磷肥及磷化工,化肥,化学制品,化工,尿素与磷酸二铵,公司的磷酸二铵、气头尿素的市场竞争力行业领先,公司的磷酸二铵、气头尿素的市场竞争力行业领先,中证1000,"片碱,甲醛,国企改革,己二酸,光刻胶,PVC,煤头尿素,煤炭,尿素,湖北国企改革,煤化工,宁德时代,天然气,可降解塑料,地方国企改革,磷化工,化肥,MSCI,烧碱,六氟磷酸锂",5.730723294610795
605169.SH,洪通燃气,11.52,24.61,8.7,9.99,7.96,0.22,1.88,公用事业-燃气-燃气Ⅲ,燃气,石油,资源,交通燃气供应,新疆地区的重要交通天然气供应商之一,专注清洁交通能源供应领域的天然气专业运营商,,"天然气,新疆发展,新疆振兴,节能环保",0.7846113134597008
603353.SH,和顺石油,29.41,29.41,16.96,9.99,9.21,0.81,2.81,石油石化-石油加工贸易-油品石化贸易,石油贸易,石油,资源,成品油,首家全产业链民营加油站上市企业,获国家商务部批准取得成品油批发资质的石油企业,,俄乌冲突,2.3080990453627344
001376.SZ,百通能源,8.78,87.85,19.06,9.98,12.69,3.13,37.07,公用事业-电力-热力,热电,电力,公共事业,0,0,主营工业园区集中供热与热电联产业务，主要覆盖江苏、山东等省份,,碳中和,16.44358602950314
000099.SZ,中信海直,158.09,172.69,22.26,9.98,6.23,31.4,20.23,交通运输-机场航运-航空运输,航空公司,空运,交通运输,通航运输,国内通用航空业首家上市公司,全国性甲类通用航空企业，我国通用航空业首家上市公司,中证2000,"军工,国企改革,华为,飞行汽车(eVTOL),海上风电,通用航空,海洋经济,粤港澳大湾区,三沙,风电,低空经济,无人机",64.99497959010863
002395.SZ,双象股份,41.09,41.09,15.32,9.98,14.64,4.56,11.72,基础化工-化工合成材料-合成树脂,体育,社会服务,可选消费,人造革合成革,中国人造革合成革行业的龙头企业之一,国内唯一一家同时具备超细纤维超真皮革、PU合成革和PVC人造革产品生产能力的企业，首家实现规模化量产高端光学级PMMA材料的内资企业，中高端足球革市占率第一,中证2000,"足球,新材料,露营经济,消费电子,合成革,丙烯酸,体育用品,体育产业,煤化工,MR（混合现实）",19.96586312713289
002828.SZ,贝肯能源,22.64,23.5,11.69,9.97,4.61,3.25,14.37,石油石化-油气开采及服务-油服工程,油服工程,石油,资源,钻井工程,国内规模较大的一体化钻井工程技术服务商,国内规模较大的一体化钻井工程技术服务商,,"天然气,西部开发,页岩气,新疆振兴,油气开采,俄乌冲突,一带一路",9.795053147311192
000520.SZ,凤凰航运,31.27,31.27,3.09,9.96,13.17,2.77,9.1,交通运输-港口航运-航运,航运,水运,交通运输,干散货水运,我国内河经营干散货专业化运输规模最大的企业之一,我国内河经营干散货专业化运输规模最大的企业,中证2000,"航运港口,债转股(AMC),航运,一带一路",11.19881405765518
603879.SH,永悦科技,21.42,21.5,5.96,9.96,14.02,4.14,20.37,基础化工-化工合成材料-合成树脂,合成树脂,合成材料,化工,不饱和聚酯树脂,不饱和聚酯树脂领域品种较为齐全的厂商之一,福建地区较大的不饱和聚酯树脂生产企业之一，拥有区位优势,,"农机,贸易战受益股,无人机",19.764518334568177
600727.SH,鲁北化工,31.5,31.5,5.96,9.96,11.25,0.78,2.56,基础化工-化学制品-其他化学制品,钛白粉,化学原料,化工,钛白粉,石膏制硫酸联产水泥技术国际领先水平,石膏制硫酸联产水泥技术国际领先水平,,"片碱,溴素,国企改革,地方国企改革,钛白粉,磷化工,小额贷款,化肥,山东国企改革,水泥,循环经济,煤化工,抗旱",2.5615746908235018
002554.SZ,惠博普,38.65,38.65,2.87,9.96,9.58,1.08,2.88,石油石化-油气开采及服务-油服工程,油服工程,石油,资源,油气田装备,国内油气田地面系统装备领域的知名企业,国内油气田地面系统装备领域的知名企业,中证2000,"油页岩,国企改革,碳交易,人民币贬值受益,油气开采,油气装备,垃圾分类,光伏,天然气,碳中和,地下管网,节能环保,氢能源,湖南国企改革,地方国企改革,俄乌冲突,一带一路",2.891446233567354
600127.SH,金健米业,43.96,43.96,6.85,9.95,10.91,4.03,9.37,农林牧渔-农产品加工-粮油加工,食品加工,农业,必需消费,粮油食品,我国境内粮食系统的第一家上市公司,中国粮食第一股,中证2000,"乡村振兴,国企改革,新零售,粮食,循环经济,湖南国企改革,面粉,地方国企改革,食用油,俄乌冲突,电子商务,预制菜,乳业,玉米",11.85223625395529
605001.SH,威奥股份,24.32,24.32,6.19,9.95,0.0,0.36,1.49,交运设备-非汽车交运-轨交设备,高铁,铁路,交通运输,轨道交通车辆配套装备,公司在轨道交通车辆配套产品领域处于领先地位,国内高速列车辆配套产品线最为丰富的企业之一,,"高压氧舱,轨道交通,健康中国,高铁,噪声防治,医美,电子商务,新基建,比亚迪,一带一路,新材料,芯片,养老",1.0645487069222448
000949.SZ,新乡化纤,70.03,73.19,4.99,9.91,12.11,5.61,8.2,基础化工-化工合成材料-氨纶,氨纶,合成材料,化工,氨纶纤维,国际领先的氨纶纤维、粘胶长丝和粘胶短纤维的生产企业,国际领先的氨纶纤维、粘胶长丝和粘胶短纤维的生产企业,中证2000,"粘胶短纤,国企改革,涤纶,氨纶,地方国企改革",17.27920228774751
301302.SZ,华如科技,15.55,28.41,17.96,9.38,14.62,1.76,11.71,国防军工-国防军工-军工电子,军工电子,军工,公共事业,军事仿真,国内军事仿真行业的领先企业,国内为数极少的以军事仿真为主营业务的民营企业之一,中证2000,"军工,腾讯,卫星导航,网络游戏,人工智能,数字经济,元宇宙,国产软件,空间计算,成飞,虚拟现实,数字孪生,机器人,MR（混合现实）,手机游戏",9.578893699826136
688600.SH,皖仪科技,24.4,24.4,18.18,9.32,9.08,0.28,1.19,环保-环保-环保设备,环保设备,环保,公共事业,环保在线监测仪器,掌握了中高端分析检测仪器的核心技术,国际化标准运营的全球分析仪器专业供应商,中证2000,"氢能源,专精特新,节能环保",0.7584718901533208
