涨停日期,一字板,涨停数,跌停数,开板数,开板率,连板数,最高 连板,两市 总成交,两市 总涨幅,涨停 总成交,涨停 总封单,涨停 最大封单,涨停封单,涨停 最大成交,涨停成交额,当日题材,连板股,反包股,长腿股,开板股,趋势股,大成交股,page
"2022-09-13
周二
涨停明细",1,46,10,16,25.80%,8,3,7714亿,0.22%,175.15亿,25.63亿,3.79亿,"3.79亿西藏矿业, 1.24亿郑煤机, 1.16亿国光连锁, 0.97亿润贝航科, 0.96亿中百集团",18.6亿,"18.6亿西藏矿业, 16.3亿贵广网络, 13.2亿安凯客车, 12.5亿山西路桥, 9.1亿宏创控股",商业百货/贸易行业/铁路公路/文化传媒/多元金融/有色金属/医疗服务,"3板润贝航科/中百集团/山西路桥, 2板光正眼科/贵广网络/中洲控股/民生控股/宏创控股",弘业期货/恒银科技,21.16%国力股份/20.58%昆工科技/18.33%山西路桥/17.53%世华科技/17.01%安凯客车/16.95%弘业期货/16.77%贝肯能源,"2板京北方(4.06%), 1板方大集团(6.69%), 1板皇庭国际(6.22%), 1板炼石航空(6.76%)","108天ST红太阳, 102天派能科技, 94天东尼电子, 94天普源精电, 93天国恩股份, 93天奥特维, 91天莱克电气, 89天鲁阳节能, 89天联化科技, 88天元力股份",58亿药明康德/54亿贵州茅台/51亿招商银行/49亿天齐锂业/46亿宁德时代/37亿五 粮 液/32亿比亚迪/31亿通威股份/30亿长安汽车/29亿格力电器/28亿立讯精密/28亿通策医疗,
"2022-09-09
周五
涨停明细",2,34,7,21,38.20%,5,7,7795亿,0.97%,173.73亿,29.89亿,4.14亿,"4.14亿通策医疗, 2.25亿壶化股份, 2.08亿运机集团, 1.98亿融捷股份, 1.5亿南山控股",27.67亿,"27.7亿东方雨虹, 22亿南京证券, 15亿融捷股份, 10.7亿山西路桥, 6.9亿中国武夷",物流行业/通用设备/铁路公路/商业百货/贸易行业/装修建材/房地产开,"7板天顺股份, 3板博深股份, 2板山西路桥/中百集团/润贝航科",,41.36%广脉科技/18.56%中铁装配/15.05%迈普医学,"2板中成股份(-5.17%), 2板新华联(1.14%), 2板宇顺电子(6.15%), 1板中国天楹(1.4%), 1板冀东装备(4.9%), 1板新乡化纤(6.94%)","107天ST红太阳, 101天派能科技, 93天东尼电子, 93天普源精电, 92天国恩股份, 92天奥特维, 90天莱克电气, 88天鲁阳节能, 88天联化科技, 88天爱旭股份",55亿宁德时代/54亿天齐锂业/50亿贵州茅台/46亿招商银行/43亿通威股份/42亿东方财富/38亿格力电器/33亿五 粮 液/29亿紫金矿业/29亿美的集团/28亿东方雨虹/28亿上海电力,
"2022-09-08
周四
涨停明细",2,41,8,18,30.50%,11,6,7883亿,-0.60%,203.18亿,24.4亿,1.7亿,"1.7亿瑞玛精密, 1.44亿山西路桥, 1.37亿天顺股份, 1.22亿金奥博, 1.18亿佳电股份",32.69亿,"32.7亿上海电力, 15.8亿贵绳股份, 12.7亿北纬科技, 11.7亿航天彩虹, 9.7亿粤宏远Ａ",物流行业/房地产开/通用设备/电力行业/专用设备/化学制品/汽车整车,"6板天顺股份, 5板粤宏远Ａ, 3板德邦股份, 2板博深股份/金奥博/安凯客车/冀凯股份/佳电股份/上海港湾/上海电力/贵绳股份",,20.00%盛德鑫泰/14.12%贵绳股份/14.06%欢瑞世纪,"4板贝肯能源(-0.9%), 2板东南网架(5.68%), 1板方大集团(4.43%), 1板宝新能源(1.61%), 1板欢瑞世纪(2.61%)","106天ST红太阳, 100天派能科技, 92天东尼电子, 92天普源精电, 91天国恩股份, 91天奥特维, 89天莱克电气, 88天环旭电子, 87天鲁阳节能, 87天联化科技",98亿宁德时代/36亿通威股份/34亿天齐锂业/33亿比亚迪/33亿上海电力/30亿贵州茅台/29亿中国能建/27亿紫金矿业/26亿传艺科技/25亿阳光电源/25亿神火股份/24亿五 粮 液,
"2022-09-07
周三
涨停明细",3,58,8,26,30.90%,10,5,8720亿,0.25%,358.97亿,40.1亿,3.72亿,"3.72亿中国能建, 3.71亿西陇科学, 2.43亿上海电力, 2.13亿东南网架, 1.91亿天顺股份",28.19亿,"28.2亿大港股份, 26.4亿神火股份, 26.4亿中国能建, 26.1亿云铝股份, 21亿传艺科技",物流行业/消费电子/房地产开/农药兽药/采掘行业/电源设备/纺织服装,"5板天顺股份/传艺科技, 4板粤宏远Ａ/绿康生化, 3板贝肯能源, 2板普路通/德邦股份/泰慕士/龙星化工/华西能源",贵绳股份/三羊马,23.60%多瑞医药/22.46%昆工科技/21.27%粤宏远Ａ/18.75%明志科技/18.62%万和电气/16.70%长盛轴承/16.37%龙源技术/15.32%元琛科技/14.39%德龙激光/14.30%永福股份,"4板红 宝 丽(-2.85%), 3板德龙汇能(5.27%), 2板蓝丰生化(-3.6%), 2板红墙股份(1.48%), 2板合锻智能(4.33%), 1板华锦股份(3.69%), 1板吉电股份(9.54%), 1板粤 水 电(8.83%)","105天ST红太阳, 99天派能科技, 91天东尼电子, 91天普源精电, 90天国恩股份, 90天奥特维, 88天莱克电气, 87天环旭电子, 86天鲁阳节能, 86天联化科技",101亿宁德时代/54亿比亚迪/52亿通威股份/52亿贵州茅台/43亿天齐锂业/38亿隆基绿能/34亿阳光电源/31亿北方华创/31亿亿纬锂能/28亿大港股份/28亿中国铝业/28亿长安汽车,
"2022-09-06
周二
涨停明细",3,61,1,26,29.90%,13,4,8690亿,1.20%,314.72亿,42.56亿,3.47亿,"3.47亿海螺新材, 2.46亿红 宝 丽, 1.9亿天顺股份, 1.63亿传艺科技, 1.57亿爱旭股份",39.09亿,"39.1亿中矿资源, 15.1亿科信技术, 13.4亿金晶科技, 13.2亿三维通信, 12.8亿富通信息",物流行业/消费电子/房地产开/农药兽药/计算机设/通信服务/综合行业,"4板天顺股份/传艺科技, 3板云鼎科技/粤宏远Ａ/绿康生化/三维通信/智微智能, 2板红 宝 丽/贝肯能源/宇晶股份/维科技术/富通信息",山东章鼓,20.00%英诺激光/19.92%科信技术/18.37%奥克股份/16.24%绿的谐波/15.73%联合化学/15.56%正帆科技/14.04%蓝丰生化,"3板通宇通讯(7.43%), 3板九丰能源(7.38%), 2板凯中精密(5.68%), 2板锦州港(6.91%), 2板京能置业(1.53%), 1板沙河股份(3.92%), 1板中交地产(5.9%), 1板四川九洲(5.63%)","104天ST红太阳, 98天派能科技, 90天东尼电子, 90天普源精电, 89天国恩股份, 89天奥特维, 87天莱克电气, 86天环旭电子, 85天鲁阳节能, 85天联化科技",124亿宁德时代/66亿通威股份/64亿天齐锂业/53亿隆基绿能/52亿比亚迪/44亿阳光电源/39亿中矿资源/38亿贵州茅台/32亿亿纬锂能/31亿东方财富/31亿长安汽车/30亿招商银行,
"2022-09-05
周一
涨停明细",3,54,7,29,34.90%,8,3,7697亿,0.11%,182.64亿,41.76亿,7.03亿,"7.03亿利仁科技, 3.92亿三维通信, 3.63亿常宝股份, 2.05亿九丰能源, 1.83亿传艺科技",15.68亿,"15.7亿合众思壮, 15.6亿招商南油, 7.5亿成都路桥, 7.3亿德龙汇能, 6.7亿云鼎科技",物流行业/消费电子/房地产开/计算机设/农药兽药/通信服务/综合行业,"3板传艺科技/天顺股份, 2板三维通信/合众思壮/绿康生化/云鼎科技/智微智能/粤宏远Ａ",九丰能源/红 宝 丽/富通信息,19.14%怡达股份/16.42%*ST和佳/15.62%富瑞特装/15.49%数源科技/14.71%青达环保,"4板波导股份(9.76%), 2板创新医疗(-0.92%), 2板中锐股份(2.39%), 2板冀凯股份(5.75%), 2板通宇通讯(-1.82%), 1板中国武夷(7.69%), 1板南天信息(4.56%), 1板盛航股份(5%)","103天ST红太阳, 97天派能科技, 89天东尼电子, 89天普源精电, 88天国恩股份, 88天奥特维, 86天莱克电气, 85天环旭电子, 84天鲁阳节能, 84天联化科技",94亿比亚迪/68亿贵州茅台/42亿宁德时代/42亿阳光电源/36亿五 粮 液/30亿广汇能源/30亿天齐锂业/29亿隆基绿能/28亿长安汽车/25亿通威股份/24亿赣锋锂业/23亿药明康德,
"2022-09-02
周五
涨停明细",3,63,6,38,37.60%,10,3,7468亿,-0.02%,229.98亿,49.26亿,5.49亿,"5.49亿五芳斋, 2.48亿盈方微, 2.32亿华控赛格, 2.27亿烽火电子, 2.23亿三维通信",15.87亿,"15.9亿北纬科技, 15.8亿盈方微, 15.2亿合盛硅业, 12.9亿寒武纪, 8.6亿贵绳股份",食品饮料/通信设备/半导体/文化传媒/消费电子/商业百货/物流行业,"3板桂发祥, 2板欢瑞世纪/波导股份/人人乐/天顺股份/华控赛格/传艺科技/盈方微/天奥电子/实益达",寒武纪/粤宏远Ａ/北纬科技,21.34%神宇股份/20.62%灿勤科技/19.73%寒武纪/19.28%华力创通/18.83%震有科技/18.31%北纬科技/17.18%桂发祥/16.74%欧比特/14.57%铭利达,"3板保利联合(4.99%), 3板京投发展(2.83%), 2板红旗连锁(3.49%), 1板民生控股(4.67%), 1板永安林业(4.41%), 1板四川九洲(6.18%)","102天ST红太阳, 96天派能科技, 88天东尼电子, 88天普源精电, 87天国恩股份, 87天奥特维, 85天莱克电气, 84天环旭电子, 83天鲁阳节能, 83天联化科技",54亿宁德时代/51亿天齐锂业/46亿比亚迪/37亿阳光电源/36亿贵州茅台/26亿隆基绿能/25亿格力电器/25亿五 粮 液/25亿通威股份/25亿立讯精密/24亿中远海控/22亿中国中免,
"2022-09-01
周四
涨停明细",0,41,14,25,37.90%,6,2,7949亿,-0.71%,149.79亿,26.88亿,2.17亿,"2.17亿常宝股份, 1.72亿华控赛格, 1.51亿保利联合, 1.44亿拓维信息, 1.39亿沙河股份",18.45亿,"18.4亿盈方微, 14.3亿黑芝麻, 11.4亿宝塔实业, 8亿欢瑞世纪, 7.3亿郑州煤电",化学制品/文化传媒/房地产开/食品饮料/工程建设/商业百货/通用设备,2板桂发祥/慈文传媒/保利联合/成都路桥/京投发展/黑芝麻,波导股份/剑桥科技,22.21%因赛集团/19.79%美农生物/19.02%捷安高科/17.09%华特气体/16.87%万和电气/16.56%国恩股份/15.62%新 华 都/14.07%宝塔实业,"2板北纬科技(-8.3%), 2板天威视讯(-9.86%), 2板顺威股份(-2.48%), 2板合锻智能(5.66%), 1板英特集团(7.43%), 1板渝 开 发(9.31%), 1板粤宏远Ａ(6.27%)","101天ST红太阳, 95天派能科技, 87天东尼电子, 87天普源精电, 86天国恩股份, 86天奥特维, 84天莱克电气, 83天环旭电子, 82天鲁阳节能, 82天联化科技",73亿宁德时代/57亿天齐锂业/56亿比亚迪/52亿格力电器/51亿贵州茅台/35亿美的集团/34亿中远海控/31亿阳光电源/31亿九安医疗/28亿隆基绿能/26亿通威股份/26亿五 粮 液,
"2022-08-31
周三
涨停明细",3,30,54,23,43.40%,2,3,10022亿,-1.04%,148.8亿,17.71亿,2.11亿,"2.11亿诚志股份, 1.63亿三维通信, 1.49亿欢瑞世纪, 1.05亿北纬科技, 0.9亿黑芝麻",15.48亿,"15.5亿五方光电, 11.1亿贵绳股份, 10.9亿数源科技, 10.8亿源飞宠物, 10.4亿保利联合",文化传媒/通信服务/食品饮料/家用轻工/多元金融/化学制品/医疗服务,"3板欢瑞世纪, 2板三维通信",,22.86%*ST新文/22.50%读客文化/22.28%黑芝麻/20.56%睿智医药/18.54%神雾节能/17.45%五方光电/15.82%德固特/15.38%保利联合/14.70%东方网络/14.26%实丰文化,"1板浩物股份(5.49%), 1板北京文化(9.77%), 1板桂林旅游(6.83%)","100天ST红太阳, 94天派能科技, 86天东尼电子, 86天普源精电, 85天国恩股份, 85天奥特维, 83天莱克电气, 82天环旭电子, 81天鲁阳节能, 81天联化科技",118亿比亚迪/86亿天齐锂业/85亿贵州茅台/84亿宁德时代/73亿阳光电源/58亿招商银行/57亿中远海控/49亿通威股份/46亿隆基绿能/45亿格力电器/44亿五 粮 液/40亿赣锋锂业,
"2022-08-30
周二
涨停明细",2,30,1,4,11.80%,6,4,8384亿,-0.75%,129.89亿,23.57亿,3.75亿,"3.75亿惠博普, 1.81亿荣联科技, 1.63亿豪尔赛, 1.62亿方大集团, 1.59亿中成股份",28.67亿,"28.7亿亨通光电, 12.1亿五方光电, 8.7亿贝因美, 8.7亿深南电A, 6.4亿欧菲光",家电行业/采掘行业/电力行业/文化传媒/农药兽药/通信服务/贸易行业,"4板万和电气, 3板惠博普/深南电A, 2板欢瑞世纪/北纬科技/蓝丰生化",蓝丰生化,22.19%*ST光一/20.48%*ST美尚/20.21%值得买/16.18%嘉益股份,"1板新金路(4.58%), 1板*ST金洲(5.81%), 1板正虹科技(3.21%)","99天ST红太阳, 93天派能科技, 85天东尼电子, 85天普源精电, 84天盛路通信, 84天国恩股份, 84天天成自控, 84天奥特维, 82天雪天盐业, 82天莱克电气",77亿宁德时代/42亿中远海控/38亿天齐锂业/37亿广汇能源/36亿阳光电源/35亿比亚迪/34亿歌尔股份/34亿贵州茅台/34亿九安医疗/31亿五 粮 液/30亿国光电器/30亿隆基绿能,
"2022-08-26
周五
涨停明细",4,40,23,41,50.60%,9,6,9291亿,-0.09%,208.73亿,34.9亿,6.53亿,"6.53亿博纳影业, 2.65亿弘业期货, 2.49亿源飞宠物, 2.04亿动力源, 1.71亿深南电A",29.17亿,"29.2亿智光电气, 17.6亿京运通, 17亿三维化学, 14.6亿远大智能, 12.4亿北汽蓝谷",燃气/物流行业/食品饮料/文化传媒/化学制品/游戏/家电行业,"6板德龙汇能, 3板西部创业/黑芝麻, 2板万和电气/动力源/大庆华科/新经典/文投控股/长久物流",国机重装,22.39%远大智能/21.56%德固特/21.18%达志科技/17.01%黑芝麻/15.41%文投控股/14.10%瑞丰新材/14.07%安科瑞,"4板雪迪龙(-8.36%), 2板石化机械(6.11%), 2板南 京 港(-1.65%), 2板中国海诚(3.25%), 2板威星智能(-2.81%), 1板金圆股份(7.27%), 1板英 力 特(6.17%), 1板航锦科技(9.9%)","98天ST红太阳, 92天派能科技, 84天京能电力, 84天东尼电子, 84天普源精电, 83天盛路通信, 83天国恩股份, 83天天成自控, 83天奥特维, 81天雪天盐业",73亿天齐锂业/62亿宁德时代/58亿立讯精密/48亿山西汾酒/47亿赣锋锂业/44亿贵州茅台/42亿五 粮 液/41亿通威股份/39亿比亚迪/38亿中矿资源/36亿阳光电源/36亿隆基绿能,
