,0,1,2,3,4,5,6,7,8,9,10,11
17,FR0013185857-XPAR,40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203050,Recreational Products,,,
18,NO0003021909-XOSL,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
19,FR0012616852-XPAR,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
20,IT0005445280-MTAA,40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202010,Home Construction,,,
21,FR0012333284-XPAR,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
22,FR001400AHX6-XPAR,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202000,Diversified Financial Services ,,,
23,NO0010715394-XOSL,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205020,Professional Business Support Services,,,
24,BE0974278104-XBRU,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101015,Engineering and Contracting Services,,,
25,FR0000064602-XPAR,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102030,Office REITs,,,
26,BE0003696102-XBRU,35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101010,Real Estate Holding and Development,,,
27,FR0000120404-XPAR,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501025,Hotels and Motels,,,
28,GB00BQQFX454-XAMS,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101035,Building Materials: Other,,,
29,IT0001207098-MTAA,65,Utilities,6510,Utilities,651010,Electricity,65101015,Conventional Electricity,,,
30,FR001400BJ77-ALXP,10,Technology,1010,Technology,101010,Software and Computer Services,10101020,Consumer Digital Services,,,
31,IT0001382024-MTAA,65,Utilities,6510,Utilities,651020,Gas,Water and Multi-utilities,65102000,Multi-utilities,,
32,BE0003764785-XBRU,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202000,Diversified Financial Services ,,,
33,NL0000313286-XAMS,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102020,Food Products,,
34,IT0005443061-EXGM,40,Consumer Discretionary,4030,Media,403010,Media,40301020,Media Agencies,,,
35,FR0000076861-XPAR,10,Technology,1010,Technology,101010,Software and Computer Services,10101015,Software,,,
36,FR0000076655-ALXP,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202025,Electronic Equipment: Gauges and Meters,,,
37,FR0014005OJ5-ALXP,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
38,FR0010979377-XMLI,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
39,BE0974269012-XPAR,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102040,Residential REITs,,,
40,FR0013284627-ALXP,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202025,Electronic Equipment: Gauges and Meters,,,
41,NO0010844038-XOSL,40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services ,40201070,Consumer Services: Misc.,,,
42,DE000A1EWWW0-BGEM,40,Consumer Discretionary,4020,Consumer Products and Services,402040,Personal Goods,40204025,Footwear,,,
43,FR0011184241-XPAR,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
44,FR0013247244-ALXP,35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101015,Real Estate Services,,,
45,FR0010340141-XPAR,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206060,Transportation Services,,,
46,CY0108052115-MERK,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206030,Marine Transportation,,,
47,FR0012821890-XPAR,40,Consumer Discretionary,4030,Media,403010,Media,40301020,Media Agencies,,,
48,FR0013296746-ALXP,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
49,FR0000053043-ALXP,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451010,Beverages,45101015,Distillers and Vintners,,
50,NL0012969182-XAMS,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205015,Transaction Processing Services,,,
51,BE0003851681-XBRU,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102010,Health Care REITs,,,
52,IT0001384590-MTAA,40,Consumer Discretionary,4020,Consumer Products and Services,402040,Personal Goods,40204020,Clothing and Accessories,,,
53,NO0012958539-XOAS,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202000,Diversified Financial Services ,,,
54,NL0000303709-MTAH,30,Financials,3030,Insurance,303010,Life Insurance,30301010,Life Insurance,,,
55,NL0000303709-BGEM,30,Financials,3030,Insurance,303010,Life Insurance,30301010,Life Insurance,,,
56,NL0000303709-XAMS,30,Financials,3030,Insurance,303010,Life Insurance,30301010,Life Insurance,,,
57,FR0014007ZB4-XPAR,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
58,US00774B2088-XPAR,15,Telecommunications,1510,Telecommunications,151020,Telecommunications Service Providers ,15102015,Telecommunications Services,,,
59,IT0001006128-MTAA,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206060,Transportation Services,,,
60,NO0003078107-XOSL,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101010,Construction,,,
61,FR001400FL38-XPAR,20,Health Care,2010,Health Care,201020,Medical Equipment and Services,20102010,Medical Equipment,,,
62,FR0013333077-XPAR,20,Health Care,2010,Health Care,201020,Medical Equipment and Services,20102010,Medical Equipment,,,
63,FR0014005AC9-ALXP,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201020,Specialty Chemicals,,,
64,FR0011908045-XMLI,40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services ,40201070,Consumer Services: Misc.,,,
65,IT0005421919-EXGM,65,Utilities,6510,Utilities,651010,Electricity,65101010,Alternative Electricity,,,
66,BE0974264930-XBRU,30,Financials,3030,Insurance,303010,Life Insurance,30301010,Life Insurance,,,
67,BE0974264930-MTAH,30,Financials,3030,Insurance,303010,Life Insurance,30301010,Life Insurance,,,
68,BE0974264930-BGEM,30,Financials,3030,Insurance,303010,Life Insurance,30301010,Life Insurance,,,
69,FR0014005WE9-XMLI,40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services ,40201070,Consumer Services: Misc.,,,
70,BE0003755692-XBRU,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202025,Electronic Equipment: Gauges and Meters,,,
71,NO0010872468-XOSL,65,Utilities,6510,Utilities,651030,Waste and Disposal Services,65103035,Waste and Disposal Services,,,
72,ES0105478004-XMLI,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102000,Diversified REITs,,,
73,FR0013452281-ALXP,60,Energy,6010,Energy,601020,Alternative Energy,60102020,Renewable Energy Equipment,,,
74,FR0010641449-ALXP,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102010,Farming,Fishing,Ranching and Plantations
75,PTCUR0AP0000-ENXL,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501025,Hotels and Motels,,,
76,NL0011794037-XAMS,45,Consumer Staples ,4520,Personal Care,Drug and Grocery Stores ,452010,Personal Care,Drug and Grocery Stores ,45201010,Food Retailers and Wholesalers,
77,NL0011794037-MTAH,45,Consumer Staples ,4520,Personal Care,Drug and Grocery Stores ,452010,Personal Care,Drug and Grocery Stores ,45201010,Food Retailers and Wholesalers,
78,NL0011794037-BGEM,45,Consumer Staples ,4520,Personal Care,Drug and Grocery Stores ,452010,Personal Care,Drug and Grocery Stores ,45201010,Food Retailers and Wholesalers,
79,IE00BF0L3536-XMSM,30,Financials,3010,Banks,301010,Banks,30101010,Banks,,,
80,FR0000031122-XPAR,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501010,Airlines,,,
81,FR0000031122-MTAH,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501010,Airlines,,,
82,FR0000031122-BGEM,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501010,Airlines,,,
83,FR0000120073-XPAR,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201020,Specialty Chemicals,,,
84,NL0000235190-BGEM,50,Industrials,5020,Industrial Goods and Services,502010,Aerospace and Defense,50201010,Aerospace,,,
85,NL0000235190-XPAR,50,Industrials,5020,Industrial Goods and Services,502010,Aerospace and Defense,50201010,Aerospace,,,
86,NO0010895568-XOSL,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202025,Electronic Equipment: Gauges and Meters,,,
87,FR0014003V77-ALXP,40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202020,Household Appliance,,,
88,NL0000018034-XAMS,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501030,Recreational Services,,,
89,NO0010215684-XOSL,60,Energy,6010,Energy,601010,Oil,Gas and Coal,60101030,Oil Equipment and Services,,
90,NO0010234552-XOSL,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202000,Diversified Financial Services ,,,
91,NO0010886625-XOSL,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102010,Farming,Fishing,Ranching and Plantations
92,NO0010345853-XOSL,60,Energy,6010,Energy,601010,Oil,Gas and Coal,60101010,Oil: Crude Producers,,
93,NO0010890304-XOSL,65,Utilities,6510,Utilities,651030,Waste and Disposal Services,65103035,Waste and Disposal Services,,,
94,NO0010921232-XOSL,65,Utilities,6510,Utilities,651010,Electricity,65101010,Alternative Electricity,,,
95,NO0010716582-XOSL,60,Energy,6010,Energy,601010,Oil,Gas and Coal,60101030,Oil Equipment and Services,,
96,SE0015193412-MERK,55,Basic Materials,5510,Basic Resources,551030,Precious Metals and Mining,55103025,Gold Mining,,,
97,NO0003097503-XOSL,50,Industrials,5020,Industrial Goods and Services,502040,Industrial Engineering,50204000,Machinery: Industrial,,,
98,FR0000053027-XPAR,40,Consumer Discretionary,4010,Automobiles and Parts,401010,Automobiles and Parts,40101025,Auto Parts,,,
99,NL0013267909-XAMS,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201020,Specialty Chemicals,,,
100,IT0005446700-EXGM,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205010,Industrial Suppliers,,,
101,FR0000062465-XPAR,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202000,Diversified Financial Services ,,,
102,FR0014000JX7-ALXP,10,Technology,1010,Technology,101010,Software and Computer Services,10101020,Consumer Digital Services,,,
103,FR0013258662-XPAR,40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services ,40201040,Rental and Leasing Services: Consumer,,,
104,GB00BJ9M4V82-XMLI,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
105,IT0004720733-MTAA,65,Utilities,6510,Utilities,651010,Electricity,65101010,Alternative Electricity,,,
106,NL0012817175-XAMS,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202025,Electronic Equipment: Gauges and Meters,,,
107,IT0005244030-EXGM,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205025,Business Training and Employment Agencies,,,
108,IT0005466039-EXGM,40,Consumer Discretionary,4020,Consumer Products and Services,402010,Consumer Services ,40201070,Consumer Services: Misc.,,,
109,IT0004359037-MTAA,65,Utilities,6510,Utilities,651010,Electricity,65101010,Alternative Electricity,,,
110,FR001400GZ72-ALXP,45,Consumer Staples ,4520,Personal Care,Drug and Grocery Stores ,452010,Personal Care,Drug and Grocery Stores ,45201010,Food Retailers and Wholesalers,
111,IT0005314635-MTAA,40,Consumer Discretionary,4030,Media,403010,Media,40301020,Media Agencies,,,
112,IT0005461303-EXGM,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205020,Professional Business Support Services,,,
113,GB00BNTJ3546-XAMS,30,Financials,3020,Financial Services,302010,Finance and Credit Services,30201030,Financial Data Providers,,,
114,DE0008404005-MTAH,30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance,,,
115,DE0008404005-BGEM,30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance,,,
116,IT0005434615-EXGM,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
117,NL0010696704-XAMS,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205020,Professional Business Support Services,,,
118,FR0000053324-XPAR,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501030,Recreational Services,,,
119,FR0013421286-ALXP,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202020,Electronic Equipment: Control and Filter,,,
120,FR0010220475-XPAR,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202010,Electrical Components,,,
121,FR0000053837-XPAR,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
122,FR0000033219-XPAR,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102045,Retail REITs,,,
123,FR0000039216-XPAR,35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101010,Real Estate Holding and Development,,,
124,IT0005472730-EXGM,65,Utilities,6510,Utilities,651010,Electricity,65101010,Alternative Electricity,,,
125,FR0000071946-XPAR,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
126,IE00BLRPRP89-MERK,65,Utilities,6510,Utilities,651010,Electricity,65101010,Alternative Electricity,,,
127,FR0000061244-ALXP,50,Industrials,5020,Industrial Goods and Services,502030,General Industrials,50203000,Diversified Industrials,,,
128,PTALT0AE0002-XLIS,55,Basic Materials,5510,Basic Resources,551010,Industrial Materials,55101015,Paper,,,
129,FR0010395681-XPAR,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
130,NL0012194724-XAMS,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201000,Chemicals: Diversified,,,
131,FR0013253812-XMLI,35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101015,Real Estate Services,,,
132,GB00BNKGZC51-ALXP,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205020,Professional Business Support Services,,,
133,NL0010273694-XMLI,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102010,Farming,Fishing,Ranching and Plantations
134,IT0004779515-EXGM,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202000,Diversified Financial Services ,,,
135,NL0000888691-XAMS,50,Industrials,5020,Industrial Goods and Services,502040,Industrial Engineering,50204000,Machinery: Industrial,,,
136,FR0011051598-ALXP,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201020,Specialty Chemicals,,,
137,IT0004056880-MTAA,20,Health Care,2010,Health Care,201020,Medical Equipment and Services,20102015,Medical Supplies,,,
138,FR0012789667-XPAR,20,Health Care,2010,Health Care,201020,Medical Equipment and Services,20102010,Medical Equipment,,,
139,NO0010272065-XOSL,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206030,Marine Transportation,,,
140,FR0004125920-XPAR,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
141,NO0010829765-MERK,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102010,Farming,Fishing,Ranching and Plantations
142,BE0974293251-BGEM,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451010,Beverages,45101010,Brewers,,
143,BE0974293251-MTAH,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451010,Beverages,45101010,Brewers,,
144,IT0004998065-MTAA,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
145,IT0005366601-MTAA,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202020,Electronic Equipment: Control and Filter,,,
146,FR0014005AL0-XPAR,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
147,LU0569974404-XAMS,55,Basic Materials,5510,Basic Resources,551020,Industrial Metals and Mining,55102010,Iron and Steel,,,
148,ES0105658001-XMLI,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102000,Diversified REITs,,,
149,NO0010307135-XOAS,45,Consumer Staples ,4520,Personal Care,Drug and Grocery Stores ,452010,Personal Care,Drug and Grocery Stores ,45201020,Personal Products,
150,IT0005241192-MTAA,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201000,Chemicals: Diversified,,,
151,FR0010340711-ALXP,50,Industrials,5020,Industrial Goods and Services,502050,Industrial Support Services,50205020,Professional Business Support Services,,,
152,NO0010778095-XOAS,60,Energy,6010,Energy,601010,Oil,Gas and Coal,60101030,Oil Equipment and Services,,
153,FR0014003U94-XPAR,40,Consumer Discretionary,4040,Retail,404010,Retailers ,40401030,Specialty Retailers,,,
154,NL0006237562-XAMS,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101015,Engineering and Contracting Services,,,
155,LU1598757687-XAMS,55,Basic Materials,5510,Basic Resources,551020,Industrial Metals and Mining,55102010,Iron and Steel,,,
156,BMG0451H1170-XOSL,60,Energy,6010,Energy,601010,Oil,Gas and Coal,60101030,Oil Equipment and Services,,
157,FR0014007XT1-ALXP,40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203010,Consumer Electronics,,,
158,NO0010859580-MERK,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102020,Food Products,,
159,NO0010917719-MERK,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102010,Farming,Fishing,Ranching and Plantations
160,NO0010014632-XOSL,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
161,FR0013398997-ALXP,50,Industrials,5020,Industrial Goods and Services,502020,Electronic and Electrical Equipment,50202025,Electronic Equipment: Gauges and Meters,,,
162,FR0005057635-XMLI,40,Consumer Discretionary,4040,Retail,404010,Retailers ,40401030,Specialty Retailers,,,
163,FR0004070795-XMLI,40,Consumer Discretionary,4040,Retail,404010,Retailers ,40401030,Specialty Retailers,,,
164,ES0105661005-XMLI,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102040,Residential REITs,,,
165,NO0003572802-XOSL,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202000,Diversified Financial Services ,,,
166,FR0010481960-XPAR,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102030,Office REITs,,,
167,NL0010832176-XBRU,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
168,NO0010946593-MERK,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101015,Engineering and Contracting Services,,,
169,ES0105601001-XMLI,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102015,Hotel and Lodging REITs,,,
170,NL0015000N33-MTAA,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101025,Building: Climate Control,,,
171,FR0010313833-XPAR,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201000,Chemicals: Diversified,,,
172,ES0105486007-XMLI,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102000,Diversified REITs,,,
173,NO0012861667-XOSL,40,Consumer Discretionary,4020,Consumer Products and Services,402020,Household Goods and Home Construction,40202015,Household Furnishings,,,
174,FR0012185536-XPAR,35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101010,Real Estate Holding and Development,,,
175,IT0005386369-EXGM,20,Health Care,2010,Health Care,201030,Pharmaceuticals and Biotechnology,20103010,Biotechnology,,,
176,FR0000074783-XPAR,40,Consumer Discretionary,4030,Media,403010,Media,40301030,Publishing,,,
177,FR0000076952-XPAR,30,Financials,3020,Financial Services,302010,Finance and Credit Services,30201025,Mortgage Finance,,,
178,BE0003856730-XBRU,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102045,Retail REITs,,,
179,IT0004093263-MTAA,65,Utilities,6510,Utilities,651020,Gas,Water and Multi-utilities,65102020,Gas Distribution,,
180,DK0060477263-XOSL,10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102030,Computer Hardware,,,
181,FR0012968485-XMLI,30,Financials,3030,Insurance,303020,Non-life Insurance,30302015,Insurance Brokers,,,
182,IT0005337123-EXGM,40,Consumer Discretionary,4010,Automobiles and Parts,401010,Automobiles and Parts,40101020,Automobiles,,,
183,NL0000334118-XAMS,10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102020,Production Technology Equipment,,,
184,NL0010273215-MTAH,10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102020,Production Technology Equipment,,,
185,NL0010273215-BGEM,10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102020,Production Technology Equipment,,,
186,NL0010273215-XAMS,10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102020,Production Technology Equipment,,,
187,NL0011872643-XAMS,30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance,,,
188,IT0000062072-TNLB,30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance,,,
189,FR0000074148-XPAR,50,Industrials,5010,Construction and Materials,501010,Construction and Materials,50101015,Engineering and Contracting Services,,,
190,CH1122548808-MERK,15,Telecommunications,1510,Telecommunications,151020,Telecommunications Service Providers ,15102015,Telecommunications Services,,,
191,FR0010478248-ALXP,40,Consumer Discretionary,4020,Consumer Products and Services,402030,Leisure Goods,40203040,Electronic Entertainment,,,
192,NO0004822503-XOSL,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
193,FR0011992700-XPAR,10,Technology,1010,Technology,101010,Software and Computer Services,10101015,Software,,,
194,BE0003837540-XBRU,35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101010,Real Estate Holding and Development,,,
195,FR0013455482-XPAR,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102020,Industrial REITs,,,
196,NO0010768500-XOSL,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102010,Farming,Fishing,Ranching and Plantations
197,IT0005449464-EXGM,60,Energy,6010,Energy,601020,Alternative Energy,60102020,Renewable Energy Equipment,,,
198,FR0000051732-XPAR,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
199,PTTBI0AM0006-ENXL,35,Real Estate,3510,Real Estate,351020,Real Estate Investment Trusts,35102000,Diversified REITs,,,
200,FR0000063737-XPAR,10,Technology,1010,Technology,101010,Software and Computer Services,10101010,Computer Services,,,
201,FR00140059B5-ALXP,30,Financials,3020,Financial Services,302020,Investment Banking and Brokerage Services ,30202010,Asset Managers and Custodians,,,
202,FR0011896463-XMLI,10,Technology,1010,Technology,101010,Software and Computer Services,10101020,Consumer Digital Services,,,
203,FR0000061780-XPAR,50,Industrials,5020,Industrial Goods and Services,502030,General Industrials,50203030,Containers and Packaging,,,
204,FR0013410370-ALXP,55,Basic Materials,5510,Basic Resources,551030,Precious Metals and Mining,55103025,Gold Mining,,,
205,FR0000039232-XPAR,65,Utilities,6510,Utilities,651030,Waste and Disposal Services,65103035,Waste and Disposal Services,,,
206,FR0013183589-ALXP,10,Technology,1010,Technology,101020,Technology Hardware and Equipment,10102030,Computer Hardware,,,
207,NO0011032310-MERK,35,Real Estate,3510,Real Estate,351010,Real Estate Investment and Services,35101010,Real Estate Holding and Development,,,
208,NO0006001601-XOSL,30,Financials,3010,Banks,301010,Banks,30101010,Banks,,,
209,NO0010073489-XOSL,45,Consumer Staples ,4510,Food,Beverage and Tobacco ,451020,Food Producers,45102010,Farming,Fishing,Ranching and Plantations
210,IT0001137345-MTAA,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501040,Restaurants and Bars,,,
211,IT0001137345-MTAH,40,Consumer Discretionary,4050,Travel and Leisure,405010,Travel and Leisure,40501040,Restaurants and Bars,,,
212,BMG0670A1099-XOSL,50,Industrials,5020,Industrial Goods and Services,502040,Industrial Engineering,50204000,Machinery: Industrial,,,
213,IT0000084043-MTAA,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206060,Transportation Services,,,
214,BMG067231032-XOSL,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206030,Marine Transportation,,,
215,NL0012047823-XAMS,55,Basic Materials,5520,Chemicals,552010,Chemicals,55201020,Specialty Chemicals,,,
216,FR001400CFI7-XPAR,15,Telecommunications,1510,Telecommunications,151010,Telecommunications Equipment,15101010,Telecommunications Equipment,,,
217,IT0005119810-MTAA,50,Industrials,5020,Industrial Goods and Services,502010,Aerospace and Defense,50201010,Aerospace,,,
218,NO0012785098-MERK,60,Energy,6010,Energy,601010,Oil,Gas and Coal,60101015,Offshore Drilling and Other Services,,
219,NO0010607971-XOAS,50,Industrials,5020,Industrial Goods and Services,502060,Industrial Transportation,50206030,Marine Transportation,,,
220,FR0000120628-BGEM,30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance,,,
221,FR0000120628-XPAR,30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance,,,
222,FR0000120628-MTAH,30,Financials,3030,Insurance,303020,Non-life Insurance,30302010,Full Line Insurance,,,
