,0,1,2,3,4,5,6,7,8,9
978,,<a href='/en/product/equities/GG00BMB5XY22-XAMS/gig-warrants/gigwt/quotes' data-order='GIG WARRANTS' data-title-hover='Global InterConnection Group Limited'>GIG WARRANTS</a>,GG00BMB5XY22,GIGWT,<div class='nowrap pointer' title='Euronext Amsterdam' >XAMS</div>,<div class='text-right pd_currency_es'>GBP <span class='pd_last_price_es'>0.18</span></div>,<div class='text-right pd_percent'><span class=red>-18.18%</span></div>,"<div class='text-right pointer tooltipDesign' >06 Dec 2022<span class=""tooltiptext"">09:38 CET</span></div>","<div class=""text-right"">0.18</div>","<div class=""text-right"">17 Jul 2023</div>"
979,,<a href='/en/product/equities/NO0011013765-MERK/gigante-salmon/giga/quotes' data-order='GIGANTE SALMON' data-title-hover='GIGANTE SALMON AS'>GIGANTE SALMON</a>,NO0011013765,GIGA,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>11.35</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>2.25%</span></div>,"<div class='text-right pointer tooltipDesign' >15:55 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">11.35</div>","<div class=""text-right"">17 Jul 2023</div>"
980,,<a href='/en/product/equities/IT0005122400-MTAA/giglio-group/gg/quotes' data-order='GIGLIO GROUP' data-title-hover='GIGLIO GROUP'>GIGLIO GROUP</a>,IT0005122400,GG,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.65</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >16:13 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.65</div>","<div class=""text-right"">17 Jul 2023</div>"
981,,<a href='/en/product/equities/IT0005453003-EXGM/gigliocom/gcom/quotes' data-order='GIGLIO.COM' data-title-hover='GIGLIO.COM'>GIGLIO.COM</a>,IT0005453003,GCOM,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.46</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>2.50%</span></div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">11:35 CEST</span></div>","<div class=""text-right"">2.46</div>","<div class=""text-right"">17 Jul 2023</div>"
982,,<a href='/en/product/equities/US3755581036-BGEM/gilead-sciences/1gild/quotes' data-order='GILEAD SCIENCES' data-title-hover='GILEAD SCIENCES'>GILEAD SCIENCES</a>,US3755581036,1GILD,<div class='nowrap pointer' title='Borsa Italiana Global Equity Market' >BGEM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>68.10</span></div>,<div class='text-right pd_percent'><span class=red>-1.13%</span></div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">13:15 CEST</span></div>","<div class=""text-right"">68.10</div>","<div class=""text-right"">17 Jul 2023</div>"
983,,<a href='/en/product/equities/US3755581036-MTAH/gilead-sciences/2gild/quotes' data-order='GILEAD SCIENCES' data-title-hover='GILEAD SCIENCES'>GILEAD SCIENCES</a>,US3755581036,2GILD,<div class='nowrap pointer' title='Trading After Hours' >MTAH</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>71.08</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >05 Jul 2023<span class=""tooltiptext"">18:35 CEST</span></div>","<div class=""text-right"">68.10</div>","<div class=""text-right"">17 Jul 2023</div>"
984,,<a href='/en/product/equities/BE0003699130-XBRU/gimv/gimb/quotes' data-order='GIMV' data-title-hover='GIMV'>GIMV</a>,BE0003699130,GIMB,<div class='nowrap pointer' title='Euronext Brussels' >XBRU</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>41.95</span></div>,<div class='text-right pd_percent'><span class=red>-0.36%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">41.95</div>","<div class=""text-right"">17 Jul 2023</div>"
985,,<a href='/en/product/equities/IT0005391138-EXGM/gismondi-1754/gis/quotes' data-order='GISMONDI 1754' data-title-hover='GISMONDI 1754'>GISMONDI 1754</a>,IT0005391138,GIS,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.90</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.72%</span></div>,"<div class='text-right pointer tooltipDesign' >17:29 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.90</div>","<div class=""text-right"">17 Jul 2023</div>"
986,,<a href='/en/product/equities/NO0010582521-XOSL/gjensidige-forsikr/gjf/quotes' data-order='GJENSIDIGE FORSIKR' data-title-hover='GJENSIDIGE FORSIKRING'>GJENSIDIGE FORSIKR</a>,NO0010582521,GJF,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>154.10</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>3.22%</span></div>,"<div class='text-right pointer tooltipDesign' >16:28 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">154.10</div>","<div class=""text-right"">17 Jul 2023</div>"
987,,<a href='/en/product/equities/FR0000066672-XPAR/gl-events/glo/quotes' data-order='GL EVENTS' data-title-hover='GL EVENTS'>GL EVENTS</a>,FR0000066672,GLO,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>20.05</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">20.05</div>","<div class=""text-right"">17 Jul 2023</div>"
988,,<a href='/en/product/equities/IE0000669501-XMSM/glanbia-plc/gl9/quotes' data-order='GLANBIA PLC' data-title-hover='GLANBIA PLC'>GLANBIA PLC</a>,IE0000669501,GL9,<div class='nowrap pointer' title='Euronext Dublin' >XMSM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>13.50</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >16:36 IST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">13.50</div>","<div class=""text-right"">17 Jul 2023</div>"
989,,<a href='/en/product/equities/IT0005454167-XMLI/glass-to-power-a/mlgla/quotes' data-order='GLASS TO POWER A' data-title-hover='GLASS TO POWER CLASS A'>GLASS TO POWER A</a>,IT0005454167,MLGLA,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>-</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >-<span class=""tooltiptext""></span></div>","<div class=""text-right"">48.00</div>","<div class=""text-right"">17 Jul 2023</div>"
990,,<a href='/en/product/equities/IT0005454175-XMLI/glass-to-power-b/mlglb/quotes' data-order='GLASS TO POWER B' data-title-hover='GLASS TO POWER CLASS B'>GLASS TO POWER B</a>,IT0005454175,MLGLB,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.50</span></div>,<div class='text-right pd_percent'><span class=red>-8.33%</span></div>,"<div class='text-right pointer tooltipDesign' >07 Jul 2023<span class=""tooltiptext"">14:19 CEST</span></div>","<div class=""text-right"">5.50</div>","<div class=""text-right"">17 Jul 2023</div>"
991,,<a href='/en/product/equities/IT0005454134-XMLI/glass-to-power-war/mlglw/quotes' data-order='GLASS TO POWER WAR' data-title-hover='GLASS TO POWER'>GLASS TO POWER WAR</a>,IT0005454134,MLGLW,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>-</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >-<span class=""tooltiptext""></span></div>","<div class=""text-right"">50.00</div>","<div class=""text-right"">17 Jul 2023</div>"
992,,<a href='/en/product/equities/IE00BD6JX574-XMSM/glenveagh-propplc/gvr/quotes' data-order='GLENVEAGH PROP.PLC' data-title-hover='GLENVEAGH PROPERTIES PLC'>GLENVEAGH PROP.PLC</a>,IE00BD6JX574,GVR,<div class='nowrap pointer' title='Euronext Dublin' >XMSM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.10</span></div>,<div class='text-right pd_percent'><span class=red>-1.96%</span></div>,"<div class='text-right pointer tooltipDesign' >16:41 IST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.10</div>","<div class=""text-right"">17 Jul 2023</div>"
993,,<a href='/en/product/equities/PTPAD0AM0007-XLIS/glintt/glint/quotes' data-order='GLINTT' data-title-hover='GLINTT'>GLINTT</a>,PTPAD0AM0007,GLINT,<div class='nowrap pointer' title='Euronext Lisbon' >XLIS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.266</span></div>,<div class='text-right pd_percent'><span class=red>-1.48%</span></div>,"<div class='text-right pointer tooltipDesign' >10:37 WEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.266</div>","<div class=""text-right"">17 Jul 2023</div>"
994,,<a href='/en/product/equities/FR0011052257-ALXP/global-bioenergies/algbe/quotes' data-order='GLOBAL BIOENERGIES' data-title-hover='GLOBALBIOENERGIES'>GLOBAL BIOENERGIES</a>,FR0011052257,ALGBE,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.07</span></div>,<div class='text-right pd_percent'><span class=red>-1.60%</span></div>,"<div class='text-right pointer tooltipDesign' >17:36 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.07</div>","<div class=""text-right"">17 Jul 2023</div>"
995,,<a href='/en/product/equities/ES0105537007-XMLI/global-pielago/mlndg/quotes' data-order='GLOBAL PIELAGO' data-title-hover='GLOBAL PIELAGO SOCIMI S.A.'>GLOBAL PIELAGO</a>,ES0105537007,MLNDG,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>4.92</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >16 Apr 2021<span class=""tooltiptext"">02:00 CEST</span></div>","<div class=""text-right"">4.92</div>","<div class=""text-right"">17 Jul 2023</div>"
996,,<a href='/en/product/equities/IT0005038002-EXGM/go-internet/go/quotes' data-order='GO INTERNET' data-title-hover='GO INTERNET'>GO INTERNET</a>,IT0005038002,GO,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.0322</span></div>,<div class='text-right pd_percent'><span class=red>-6.94%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">0.0322</div>","<div class=""text-right"">17 Jul 2023</div>"
997,,<a href='/en/product/equities/FR0011208693-ALXP/gold-by-gold/algld/quotes' data-order='GOLD BY GOLD' data-title-hover='GOLD BY GOLD'>GOLD BY GOLD</a>,FR0011208693,ALGLD,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.36</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>7.09%</span></div>,"<div class='text-right pointer tooltipDesign' >11:30 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.36</div>","<div class=""text-right"">17 Jul 2023</div>"
998,,<a href='/en/product/equities/NO0010813843-MERK/golden-energy-off/geos/quotes' data-order='GOLDEN ENERGY OFF' data-title-hover='GOLDEN ENERGY OFFSHORE SERVICES'>GOLDEN ENERGY OFF</a>,NO0010813843,GEOS,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>1.17</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>3.54%</span></div>,"<div class='text-right pointer tooltipDesign' >16:05 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.17</div>","<div class=""text-right"">17 Jul 2023</div>"
999,,<a href='/en/product/equities/BMG396372051-XOSL/golden-ocean-group/gogl/quotes' data-order='GOLDEN OCEAN GROUP' data-title-hover='GOLDEN OCEAN GROUP'>GOLDEN OCEAN GROUP</a>,BMG396372051,GOGL,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>74.54</span></div>,<div class='text-right pd_percent'><span class=red>-3.60%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">74.54</div>","<div class=""text-right"">17 Jul 2023</div>"
1000,,<a href='/en/product/equities/NO0004913609-XOSL/goodtech/god/quotes' data-order='GOODTECH' data-title-hover='GOODTECH'>GOODTECH</a>,NO0004913609,GOD,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>10.25</span></div>,<div class='text-right pd_percent'><span class=red>-1.44%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">10.25</div>","<div class=""text-right"">17 Jul 2023</div>"
1001,,<a href='/en/product/equities/BE0011395465-VPXB/gosson-kessales/quotes' data-order='GOSSON KESSALES' data-title-hover='Charbonnages de Gosson Kessales'>GOSSON KESSALES</a>,BE0011395465,,<div class='nowrap pointer' title='Euronext Expert Market' >VPXB</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>55.11</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >09 Jun 2015<span class=""tooltiptext"">11:30 CEST</span></div>","<div class=""text-right"">55.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1002,,<a href='/en/product/equities/FR0013371507-XMLI/gour-medical/mlgml/quotes' data-order='GOUR MEDICAL' data-title-hover='GOUR MEDICAL'>GOUR MEDICAL</a>,FR0013371507,MLGML,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.04</span></div>,<div class='text-right pd_percent'><span class=red>-20.00%</span></div>,"<div class='text-right pointer tooltipDesign' >30 Jun 2023<span class=""tooltiptext"">11:30 CEST</span></div>","<div class=""text-right"">0.04</div>","<div class=""text-right"">17 Jul 2023</div>"
1003,,<a href='/en/product/equities/FR0010214064-XPAR/gpe-group-pizzorno/gpe/quotes' data-order='GPE GROUP PIZZORNO' data-title-hover='GPE GROUP PIZZORNO'>GPE GROUP PIZZORNO</a>,FR0010214064,GPE,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>54.00</span></div>,<div class='text-right pd_percent'><span class=red>-2.17%</span></div>,"<div class='text-right pointer tooltipDesign' >17:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">54.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1004,,<a href='/en/product/equities/FR0013204070-ALXP/gpe-parot-auto/alpar/quotes' data-order='GPE PAROT (AUTO)' data-title-hover='GROUPE PAROT'>GPE PAROT (AUTO)</a>,FR0013204070,ALPAR,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.86</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>4.49%</span></div>,"<div class='text-right pointer tooltipDesign' >12:59 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.86</div>","<div class=""text-right"">17 Jul 2023</div>"
1005,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/IT0005221517-MTAA/gpi/gpi/quotes' data-order='GPI' data-title-hover='GPI'>GPI</a>,IT0005221517,GPI,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>10.98</span></div>,<div class='text-right pd_percent'><span class=red>-1.26%</span></div>,"<div class='text-right pointer tooltipDesign' >17:00 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">10.98</div>","<div class=""text-right"">17 Jul 2023</div>"
1006,,<a href='/en/product/equities/FR0000065971-XPAR/graines-voltz/grvo/quotes' data-order='GRAINES VOLTZ' data-title-hover='GRAINES VOLTZ'>GRAINES VOLTZ</a>,FR0000065971,GRVO,<div class='nowrap pointer' title='Euronext Paris' >XPAR</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>38.40</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.13%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">38.40</div>","<div class=""text-right"">17 Jul 2023</div>"
1007,,<a href='/en/product/equities/NO0011109563-XOSL/gram-car-carriers/gcc/quotes' data-order='GRAM CAR CARRIERS' data-title-hover='GRAM CAR CARRIERS ASA'>GRAM CAR CARRIERS</a>,NO0011109563,GCC,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>160.60</span></div>,<div class='text-right pd_percent'><span class=red>-1.47%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">160.60</div>","<div class=""text-right"">17 Jul 2023</div>"
1008,,<a href='/en/product/equities/IE00B1FR8863-XESM/great-western-min/8gw/quotes' data-order='GREAT WESTERN MIN.' data-title-hover='GREAT WESTERN MINING CORPORATION PLC'>GREAT WESTERN MIN.</a>,IE00B1FR8863,8GW,<div class='nowrap pointer' title='Euronext Growth Dublin' >XESM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.001</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >05 Jul 2023<span class=""tooltiptext"">16:31 IST</span></div>","<div class=""text-right"">0.001</div>","<div class=""text-right"">17 Jul 2023</div>"
1009,,<a href='/en/product/equities/NO0010907744-MERK/green-minerals/gem/quotes' data-order='GREEN MINERALS' data-title-hover='GREEN MINERALS AS'>GREEN MINERALS</a>,NO0010907744,GEM,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>4.90</span></div>,<div class='text-right pd_percent'><span class=red>-2.39%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">4.90</div>","<div class=""text-right"">17 Jul 2023</div>"
1010,,<a href='/en/product/equities/IT0005549768-EXGM/green-oleo/grn/quotes' data-order='GREEN OLEO' data-title-hover='GREEN OLEO'>GREEN OLEO</a>,IT0005549768,GRN,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.475</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>2.43%</span></div>,"<div class='text-right pointer tooltipDesign' >17:23 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.475</div>","<div class=""text-right"">17 Jul 2023</div>"
1011,,<a href='/en/product/equities/IE00BF2NR112-XESM/greencoat-ren/grp/quotes' data-order='GREENCOAT REN.' data-title-hover='GREENCOAT RENEWABLES PLC'>GREENCOAT REN.</a>,IE00BF2NR112,GRP,<div class='nowrap pointer' title='Euronext Growth Dublin' >XESM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>1.018</span></div>,<div class='text-right pd_percent'><span class=red>-1.36%</span></div>,"<div class='text-right pointer tooltipDesign' >16:30 IST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">1.018</div>","<div class=""text-right"">17 Jul 2023</div>"
1012,,<a href='/en/product/equities/IT0001042297-MTAA/greenthesis/gth/quotes' data-order='GREENTHESIS' data-title-hover='GREENTHESIS'>GREENTHESIS</a>,IT0001042297,GTH,<div class='nowrap pointer' title='Euronext Milan' >MTAA</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>0.90</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">11:45 CEST</span></div>","<div class=""text-right"">0.90</div>","<div class=""text-right"">17 Jul 2023</div>"
1013,"<button type='button' class='btn btn-link p-0 ml-auto' role='button' data-toggle='popover' data-placement='bottom' data-trigger='focus' data-html='true' data-content='<img class=""tech_logo_large mb-2"" src=""/sites/default/files/tech_leaders/euronext_tech_leaders_full.svg"" width=""160"" height=""48""><br>
Euronext Initiative dedicated to highlighting the visibility and attractiveness of high-growth and leading Tech companies towards international investors<br>
<a href=""https://www.euronext.com/en/raise-capital/euronext-tech-leaders"" target=""_blank"">More info</a>'><img class='lookup_instrument_logo' src='/sites/default/files/tech_leaders/euronext_tech_leaders_small.svg' alt=''></button>",<a href='/en/product/equities/PTGNV0AM0001-XLIS/greenvolt/gvolt/quotes' data-order='GREENVOLT' data-title-hover='GREENVOLT  ENERGIAS RENOVAVEIS S.A.'>GREENVOLT</a>,PTGNV0AM0001,GVOLT,<div class='nowrap pointer' title='Euronext Lisbon' >XLIS</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>6.155</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>0.90%</span></div>,"<div class='text-right pointer tooltipDesign' >16:35 WEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">6.155</div>","<div class=""text-right"">17 Jul 2023</div>"
1014,,<a href='/en/product/equities/BE0003765790-XBRU/greenyard/green/quotes' data-order='GREENYARD' data-title-hover='GREENYARD'>GREENYARD</a>,BE0003765790,GREEN,<div class='nowrap pointer' title='Euronext Brussels' >XBRU</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>6.79</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>1.65%</span></div>,"<div class='text-right pointer tooltipDesign' >17:35 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">6.79</div>","<div class=""text-right"">17 Jul 2023</div>"
1015,,<a href='/en/product/equities/NO0010365521-XOSL/grieg-seafood/gsf/quotes' data-order='GRIEG SEAFOOD' data-title-hover='GRIEG SEAFOOD'>GRIEG SEAFOOD</a>,NO0010365521,GSF,<div class='nowrap pointer' title='Oslo Børs' >XOSL</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>68.15</span></div>,<div class='text-right pd_percent'><span class=red>-1.23%</span></div>,"<div class='text-right pointer tooltipDesign' >16:25 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">68.15</div>","<div class=""text-right"">17 Jul 2023</div>"
1016,,<a href='/en/product/equities/IT0005332595-EXGM/grifal/gral/quotes' data-order='GRIFAL' data-title-hover='GRIFAL'>GRIFAL</a>,IT0005332595,GRAL,<div class='nowrap pointer' title='Euronext Growth Milan' >EXGM</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>2.70</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >17:09 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">2.70</div>","<div class=""text-right"">17 Jul 2023</div>"
1017,,<a href='/en/product/equities/FR0014005ZM5-ALXP/grolleau/algro/quotes' data-order='GROLLEAU' data-title-hover='GROLLEAU'>GROLLEAU</a>,FR0014005ZM5,ALGRO,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>5.38</span></div>,<div class='text-right pd_percent'><span class=text-brand-kelly-green>3.46%</span></div>,"<div class='text-right pointer tooltipDesign' >16:44 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">5.38</div>","<div class=""text-right"">17 Jul 2023</div>"
1018,,<a href='/en/product/equities/NO0010636491-MERK/grong-sparebank/grong/quotes' data-order='GRONG SPAREBANK' data-title-hover='GRONG SPAREBANK'>GRONG SPAREBANK</a>,NO0010636491,GRONG,<div class='nowrap pointer' title='Euronext Growth Oslo' >MERK</div>,<div class='text-right pd_currency_es'>NOK <span class='pd_last_price_es'>149.00</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >14 Jul 2023<span class=""tooltiptext"">14:39 CEST</span></div>","<div class=""text-right"">149.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1019,,<a href='/en/product/equities/BE0057677594-VPXB/grottes-de-han-s-l/quotes' data-order='GROTTES DE HAN/s/L' data-title-hover='GROTTES DE HAN-SUR-LESSE ET DE ROCHEFORT'>GROTTES DE HAN/s/L</a>,BE0057677594,,<div class='nowrap pointer' title='Euronext Expert Market' >VPXB</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>122.00</span></div>,<div class='text-right pd_percent'><span class=red>-0.08%</span></div>,"<div class='text-right pointer tooltipDesign' >21 Nov 2017<span class=""tooltiptext"">11:30 CET</span></div>","<div class=""text-right"">122.00</div>","<div class=""text-right"">17 Jul 2023</div>"
1020,,<a href='/en/product/equities/FR00140069V2-ALXP/groupe-berkem/alkem/quotes' data-order='GROUPE BERKEM' data-title-hover='GROUPE BERKEM'>GROUPE BERKEM</a>,FR00140069V2,ALKEM,<div class='nowrap pointer' title='Euronext Growth Paris' >ALXP</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>3.90</span></div>,<div class='text-right pd_percent'><span class=red>-7.14%</span></div>,"<div class='text-right pointer tooltipDesign' >17:16 CEST<span class=""tooltiptext"">17 Jul 2023</span></div>","<div class=""text-right"">3.90</div>","<div class=""text-right"">17 Jul 2023</div>"
1021,,<a href='/en/product/equities/FR0000076960-XMLI/groupe-carnivor/mlgrc/quotes' data-order='GROUPE CARNIVOR' data-title-hover='GROUPE CARNIVOR'>GROUPE CARNIVOR</a>,FR0000076960,MLGRC,<div class='nowrap pointer' title='Euronext Access Paris' >XMLI</div>,<div class='text-right pd_currency_es'>EUR <span class='pd_last_price_es'>28.60</span></div>,<div class='text-right pd_percent'>-</div>,"<div class='text-right pointer tooltipDesign' >24 Apr 2023<span class=""tooltiptext"">11:30 CEST</span></div>","<div class=""text-right"">28.60</div>","<div class=""text-right"">17 Jul 2023</div>"
